mode,training_seed,checkpoint_path,checkpoint_sha256,total_parameters,trainable_parameters,effectively_participating_parameters,structurally_inactive_parameters
full_density,0,ml4phy-paper/runs/phase2/training/20260909-phase2-b5000-ours-seed0-train3000/artifacts/cnp.ckpt,7dddb8ef16eea4c1b34d514effa1ea74bb14f2b82437d62a1dae5a4f17e44005,130693,130693,130693,0
full_density,1,ml4phy-paper/runs/phase2/training/20260909-phase2-b5000-ours-seed1-train3000/artifacts/cnp.ckpt,083bed45923670adf5b9a99ca749d064150f66aead9bc38ae6cc8a6434d7310f,130693,130693,130693,0
full_density,2,ml4phy-paper/runs/phase2/training/20260909-phase2-b5000-ours-seed2-train3000/artifacts/cnp.ckpt,f09d7ed49d9027152d1e6c72d7eec3f42ab9fba006c94d2ce8d25df6949b8585,130693,130693,130693,0
global_gate,0,ml4phy-paper/review_followup_20260910/runs/training/20260910-mechanism-global_gate-seed0-train3000-attempt2/artifacts/control.ckpt,95e6d7dd569fcfa3b01f04d0eebf8d312e9bbb7fbf7a802a5fed08e61031bd71,130693,130693,130693,0
global_gate,1,ml4phy-paper/review_followup_20260910/runs/training/20260910-mechanism-global_gate-seed1-train3000/artifacts/control.ckpt,434e0f056670afed2958ea8f57920cd0c2a9a826f1c9f4130c1ec8cde4210e01,130693,130693,130693,0
global_gate,2,ml4phy-paper/review_followup_20260910/runs/training/20260910-mechanism-global_gate-seed2-train3000/artifacts/control.ckpt,8e5fac342df6a4f9e42775686f081c5972bbcd148ca1a2009cf4ad0aab65afbc,130693,130693,130693,0
global_attention,0,ml4phy-paper/review_followup_20260910/runs/training/20260910-mechanism-global_attention-seed0-train3000/artifacts/control.ckpt,3b9320e14fdd4b46243f715fb2a590f502486473d04e485e6425006dd0e750c3,130693,130693,130629,64
global_attention,1,ml4phy-paper/review_followup_20260910/runs/training/20260910-mechanism-global_attention-seed1-train3000/artifacts/control.ckpt,5b4456ae2421bd1f2baaae89a043f9203ebfa2fb6f75c2d36b84f95e497fc6b6,130693,130693,130629,64
global_attention,2,ml4phy-paper/review_followup_20260910/runs/training/20260910-mechanism-global_attention-seed2-train3000/artifacts/control.ckpt,df6530f7d633b0c1b5dac4baf6d94b45f638a321b98570d210ad6d5645114bcc,130693,130693,130629,64
global_both,0,ml4phy-paper/review_followup_20260910/runs/training/20260910-mechanism-global_both-seed0-train3000/artifacts/control.ckpt,5a9cec6bdd230f2b3b8760f5ac4c050cdfced8d0e489b9c15cbdb4f8348e56a3,130693,130693,130629,64
global_both,1,ml4phy-paper/review_followup_20260910/runs/training/20260910-mechanism-global_both-seed1-train3000/artifacts/control.ckpt,2a207594bcfb492bfb31cddd8727b3e64b7d36e1324ac293d3aec8bc6c23ad2b,130693,130693,130629,64
global_both,2,ml4phy-paper/review_followup_20260910/runs/training/20260910-mechanism-global_both-seed2-train3000/artifacts/control.ckpt,327a484064157333e4d427dd6ab02da2501c12670978923caeca3a4cdb06241e,130693,130693,130629,64
density_free_global,0,ml4phy-paper/review_followup_20260910/runs/training/20260910-mechanism-density_free_global-seed0-train3000/artifacts/control.ckpt,b965d8b24e6edd7a0998b73d62aaf265806f65af576cedc93378bdd4c911410e,130693,130693,130501,192
density_free_global,1,ml4phy-paper/review_followup_20260910/runs/training/20260910-mechanism-density_free_global-seed1-train3000/artifacts/control.ckpt,d140375b34552ce3901759dd8c2c4629750ef440966dc82fc42acb932b25ca51,130693,130693,130501,192
density_free_global,2,ml4phy-paper/review_followup_20260910/runs/training/20260910-mechanism-density_free_global-seed2-train3000/artifacts/control.ckpt,5c35e79af250c75f0e1b0b5d97c160a4991f28607857d0e08f92ec61b8439a44,130693,130693,130501,192
