cell_index,mode,mode_label,run_id,training_seed,context_seed,event_path,event_sha256,curve_path,curve_sha256,checkpoint_sha256,provenance,target_identity_sha256
0,full_density,Full density guidance,20260909-phase2-b5000-ours-seed0-final-ctx-s100-n500-drop10100-mc50,0,100,ml4phy-paper/runs/phase2/evaluation/20260909-phase2-b5000-ours-seed0-final-ctx-s100-n500-drop10100-mc50/event_predictions.npz,f9d47d244d789cc1a4ea0474b2f685936284727f07c4f8ebe0aec60deb0d433e,ml4phy-paper/runs/phase2/evaluation/20260909-phase2-b5000-ours-seed0-final-ctx-s100-n500-drop10100-mc50/curve.npz,71d104f878dd2b6f8ca5fb2e9507ca9df6bcde4d2ccc3ab56c2e4408a24ecd94,7dddb8ef16eea4c1b34d514effa1ea74bb14f2b82437d62a1dae5a4f17e44005,reused_original_5k_full_density,1cbb4d87c9f36db7ea11ea64bf56d19646fc7be2e304bcb7f01a356d31b21c30
1,full_density,Full density guidance,20260909-phase2-b5000-ours-seed0-final-ctx-s101-n500-drop10100-mc50,0,101,ml4phy-paper/runs/phase2/evaluation/20260909-phase2-b5000-ours-seed0-final-ctx-s101-n500-drop10100-mc50/event_predictions.npz,e39bd0c7d379d87b0cf9d52f49198edf817956c45407d1940cae0a5f916f7fb2,ml4phy-paper/runs/phase2/evaluation/20260909-phase2-b5000-ours-seed0-final-ctx-s101-n500-drop10100-mc50/curve.npz,618e0d58ea741d9116c779b6f8c1341abc918dfbd3963369ba6b94ca7c4031a8,7dddb8ef16eea4c1b34d514effa1ea74bb14f2b82437d62a1dae5a4f17e44005,reused_original_5k_full_density,1cbb4d87c9f36db7ea11ea64bf56d19646fc7be2e304bcb7f01a356d31b21c30
2,full_density,Full density guidance,20260909-phase2-b5000-ours-seed0-final-ctx-s102-n500-drop10100-mc50,0,102,ml4phy-paper/runs/phase2/evaluation/20260909-phase2-b5000-ours-seed0-final-ctx-s102-n500-drop10100-mc50/event_predictions.npz,1388835443df3be922100e46d0c4881909a33c3cdfa1ce34756dd1e402430582,ml4phy-paper/runs/phase2/evaluation/20260909-phase2-b5000-ours-seed0-final-ctx-s102-n500-drop10100-mc50/curve.npz,1203008f5ce25a2ed50a51742fbd5c5a02085076122eb9a74feb7f3a8e67af71,7dddb8ef16eea4c1b34d514effa1ea74bb14f2b82437d62a1dae5a4f17e44005,reused_original_5k_full_density,1cbb4d87c9f36db7ea11ea64bf56d19646fc7be2e304bcb7f01a356d31b21c30
3,full_density,Full density guidance,20260909-phase2-b5000-ours-seed0-final-ctx-s103-n500-drop10100-mc50,0,103,ml4phy-paper/runs/phase2/evaluation/20260909-phase2-b5000-ours-seed0-final-ctx-s103-n500-drop10100-mc50/event_predictions.npz,11b849b1647cec5527fb81c9cf03e40945c5157b7ac166c90e639c8be09c111a,ml4phy-paper/runs/phase2/evaluation/20260909-phase2-b5000-ours-seed0-final-ctx-s103-n500-drop10100-mc50/curve.npz,ba52f51c51ab5af0264de2fc3c1e909dfb3f5b4611ac4c4a31de66a6a34c4dc7,7dddb8ef16eea4c1b34d514effa1ea74bb14f2b82437d62a1dae5a4f17e44005,reused_original_5k_full_density,1cbb4d87c9f36db7ea11ea64bf56d19646fc7be2e304bcb7f01a356d31b21c30
4,full_density,Full density guidance,20260909-phase2-b5000-ours-seed0-final-ctx-s104-n500-drop10100-mc50,0,104,ml4phy-paper/runs/phase2/evaluation/20260909-phase2-b5000-ours-seed0-final-ctx-s104-n500-drop10100-mc50/event_predictions.npz,a28e8f93a428e5ac6379973a6fa87317dd882cffc7194521a106617cb6a4fbb0,ml4phy-paper/runs/phase2/evaluation/20260909-phase2-b5000-ours-seed0-final-ctx-s104-n500-drop10100-mc50/curve.npz,642ba2f941ebeae30aeaca82d4636dd28a5605d697ed830e64df595ded8cc00a,7dddb8ef16eea4c1b34d514effa1ea74bb14f2b82437d62a1dae5a4f17e44005,reused_original_5k_full_density,1cbb4d87c9f36db7ea11ea64bf56d19646fc7be2e304bcb7f01a356d31b21c30
5,full_density,Full density guidance,20260909-phase2-b5000-ours-seed0-final-ctx-s105-n500-drop10100-mc50,0,105,ml4phy-paper/runs/phase2/evaluation/20260909-phase2-b5000-ours-seed0-final-ctx-s105-n500-drop10100-mc50/event_predictions.npz,097e59aedc00d4034fd63578325302aa22dd18ccc6f2626dc474e5b7d7d6d632,ml4phy-paper/runs/phase2/evaluation/20260909-phase2-b5000-ours-seed0-final-ctx-s105-n500-drop10100-mc50/curve.npz,eca0c8b9bc91704fcd95bf172d666a8a445c2d31eb9a32abf6ff3e3db59e0609,7dddb8ef16eea4c1b34d514effa1ea74bb14f2b82437d62a1dae5a4f17e44005,reused_original_5k_full_density,1cbb4d87c9f36db7ea11ea64bf56d19646fc7be2e304bcb7f01a356d31b21c30
6,full_density,Full density guidance,20260909-phase2-b5000-ours-seed0-final-ctx-s106-n500-drop10100-mc50,0,106,ml4phy-paper/runs/phase2/evaluation/20260909-phase2-b5000-ours-seed0-final-ctx-s106-n500-drop10100-mc50/event_predictions.npz,f33b69f3c2aff2e1923ab0efcdf6f6791ebf6f43106e01caaca5e918f5f70487,ml4phy-paper/runs/phase2/evaluation/20260909-phase2-b5000-ours-seed0-final-ctx-s106-n500-drop10100-mc50/curve.npz,1a10c0f20846730790e6253b4b74332b92fa5ba3479a957b972947189f323281,7dddb8ef16eea4c1b34d514effa1ea74bb14f2b82437d62a1dae5a4f17e44005,reused_original_5k_full_density,1cbb4d87c9f36db7ea11ea64bf56d19646fc7be2e304bcb7f01a356d31b21c30
7,full_density,Full density guidance,20260909-phase2-b5000-ours-seed0-final-ctx-s107-n500-drop10100-mc50,0,107,ml4phy-paper/runs/phase2/evaluation/20260909-phase2-b5000-ours-seed0-final-ctx-s107-n500-drop10100-mc50/event_predictions.npz,417ac6563fbacc5e4a0574e3dfa26ccf2d64af70f308d7ea5675e755cc21eacd,ml4phy-paper/runs/phase2/evaluation/20260909-phase2-b5000-ours-seed0-final-ctx-s107-n500-drop10100-mc50/curve.npz,0b4f58526dde7d01f7848fb8ebff03cabbeef6aa39e873c26b6a840818dea012,7dddb8ef16eea4c1b34d514effa1ea74bb14f2b82437d62a1dae5a4f17e44005,reused_original_5k_full_density,1cbb4d87c9f36db7ea11ea64bf56d19646fc7be2e304bcb7f01a356d31b21c30
8,full_density,Full density guidance,20260909-phase2-b5000-ours-seed0-final-ctx-s108-n500-drop10100-mc50,0,108,ml4phy-paper/runs/phase2/evaluation/20260909-phase2-b5000-ours-seed0-final-ctx-s108-n500-drop10100-mc50/event_predictions.npz,0e546d6e7651b4ef5808e5f609f55c53812dcfb757064fe11172b729795897be,ml4phy-paper/runs/phase2/evaluation/20260909-phase2-b5000-ours-seed0-final-ctx-s108-n500-drop10100-mc50/curve.npz,8f33316124c52068d5b66b0f1896d46fc4ac79aa4c98b98618c6ceb48fbd01d2,7dddb8ef16eea4c1b34d514effa1ea74bb14f2b82437d62a1dae5a4f17e44005,reused_original_5k_full_density,1cbb4d87c9f36db7ea11ea64bf56d19646fc7be2e304bcb7f01a356d31b21c30
9,full_density,Full density guidance,20260909-phase2-b5000-ours-seed0-final-ctx-s109-n500-drop10100-mc50,0,109,ml4phy-paper/runs/phase2/evaluation/20260909-phase2-b5000-ours-seed0-final-ctx-s109-n500-drop10100-mc50/event_predictions.npz,173a5590e85235fa476708d364a2b7597e57471a292fa96d2c84891520729dbc,ml4phy-paper/runs/phase2/evaluation/20260909-phase2-b5000-ours-seed0-final-ctx-s109-n500-drop10100-mc50/curve.npz,c6885dc6c76a27cd4389e9a9af529d378d5c83857ef0e56bd9ec6f7c16cf4d29,7dddb8ef16eea4c1b34d514effa1ea74bb14f2b82437d62a1dae5a4f17e44005,reused_original_5k_full_density,1cbb4d87c9f36db7ea11ea64bf56d19646fc7be2e304bcb7f01a356d31b21c30
