subset_id,nominal_budget,sampling_eligible_budget,density_buffer_budget,region_id,nominal_region_events,sampling_eligible_region_events,density_buffer_region_events,subset_file_sha256
original_n2000,2000,1895,2000,overall,2000,1895,2000,b602b8aadccac3af699c9aa346281def2e7f399d26cf30c2cf9f32237c3d12c1
original_n2000,2000,1895,2000,DEP_core,12,12,12,b602b8aadccac3af699c9aa346281def2e7f399d26cf30c2cf9f32237c3d12c1
original_n2000,2000,1895,2000,feature_1620_core,8,5,8,b602b8aadccac3af699c9aa346281def2e7f399d26cf30c2cf9f32237c3d12c1
original_n2000,2000,1895,2000,SE_core,26,26,26,b602b8aadccac3af699c9aa346281def2e7f399d26cf30c2cf9f32237c3d12c1
original_n2000,2000,1895,2000,FE_core,135,135,135,b602b8aadccac3af699c9aa346281def2e7f399d26cf30c2cf9f32237c3d12c1
original_n2000,2000,1895,2000,DEP_broad,21,20,21,b602b8aadccac3af699c9aa346281def2e7f399d26cf30c2cf9f32237c3d12c1
original_n2000,2000,1895,2000,feature_1620_broad,12,8,12,b602b8aadccac3af699c9aa346281def2e7f399d26cf30c2cf9f32237c3d12c1
original_n2000,2000,1895,2000,SE_broad,36,36,36,b602b8aadccac3af699c9aa346281def2e7f399d26cf30c2cf9f32237c3d12c1
original_n2000,2000,1895,2000,FE_broad,139,139,139,b602b8aadccac3af699c9aa346281def2e7f399d26cf30c2cf9f32237c3d12c1
original_n2000,2000,1895,2000,continuum_1700_2000,147,127,147,b602b8aadccac3af699c9aa346281def2e7f399d26cf30c2cf9f32237c3d12c1
original_n2000,2000,1895,2000,continuum_2200_2400,141,134,141,b602b8aadccac3af699c9aa346281def2e7f399d26cf30c2cf9f32237c3d12c1
original_n2000,2000,1895,2000,sparse_tail_2700_3000,2,0,2,b602b8aadccac3af699c9aa346281def2e7f399d26cf30c2cf9f32237c3d12c1
original_n5000,5000,4984,5000,overall,5000,4984,5000,97e406572d2c986a0ba1cbfbf88d9c9a2d57d86c60c71fb1b7ef181a6bc6becf
original_n5000,5000,4984,5000,DEP_core,29,29,29,97e406572d2c986a0ba1cbfbf88d9c9a2d57d86c60c71fb1b7ef181a6bc6becf
original_n5000,5000,4984,5000,feature_1620_core,30,30,30,97e406572d2c986a0ba1cbfbf88d9c9a2d57d86c60c71fb1b7ef181a6bc6becf
original_n5000,5000,4984,5000,SE_core,52,52,52,97e406572d2c986a0ba1cbfbf88d9c9a2d57d86c60c71fb1b7ef181a6bc6becf
original_n5000,5000,4984,5000,FE_core,357,357,357,97e406572d2c986a0ba1cbfbf88d9c9a2d57d86c60c71fb1b7ef181a6bc6becf
original_n5000,5000,4984,5000,DEP_broad,50,50,50,97e406572d2c986a0ba1cbfbf88d9c9a2d57d86c60c71fb1b7ef181a6bc6becf
original_n5000,5000,4984,5000,feature_1620_broad,44,44,44,97e406572d2c986a0ba1cbfbf88d9c9a2d57d86c60c71fb1b7ef181a6bc6becf
original_n5000,5000,4984,5000,SE_broad,75,75,75,97e406572d2c986a0ba1cbfbf88d9c9a2d57d86c60c71fb1b7ef181a6bc6becf
original_n5000,5000,4984,5000,FE_broad,362,362,362,97e406572d2c986a0ba1cbfbf88d9c9a2d57d86c60c71fb1b7ef181a6bc6becf
