model,region,n_valid_bins,n_target_events_in_valid_bins,mae,rmse,prediction_location
True CNP,full,205,5057,0.11188094738508203,0.141025521098329,bin center
True CNP,DEP,3,60,0.16220626102653063,0.18983253503783495,bin center
True CNP,Bi-214,2,45,0.04280672384056483,0.05479199268088204,bin center
True CNP,continuum_1700_2000,30,392,0.10454437486522118,0.12631248382634747,bin center
True CNP,SE,3,86,0.22211315350926686,0.24434904552036146,bin center
True CNP,continuum_2200_2400,20,405,0.11003713259164476,0.13378829428275757,bin center
True CNP,FE,2,404,0.014008937025454513,0.01487874682602005,bin center
True CNP,sparse_tail,0,0,,,bin center
Base 1,full,205,5057,0.11264480746928567,0.14066815635697688,bin center
Base 1,DEP,3,60,0.1706603251573137,0.1936354195113804,bin center
Base 1,Bi-214,2,45,0.05506055635961932,0.06408177875041404,bin center
Base 1,continuum_1700_2000,30,392,0.10631101802412161,0.12749688180713323,bin center
Base 1,SE,3,86,0.22123934365507725,0.24362681202958675,bin center
Base 1,continuum_2200_2400,20,405,0.11638193255726481,0.14105524574435352,bin center
Base 1,FE,2,404,0.06570115796664046,0.0657705905247115,bin center
Base 1,sparse_tail,0,0,,,bin center
Base 3,full,205,5057,0.12643655796734957,0.1590653111708723,bin center
Base 3,DEP,3,60,0.1381820425070019,0.1688218145056308,bin center
Base 3,Bi-214,2,45,0.06631615527486992,0.0744277322543739,bin center
Base 3,continuum_1700_2000,30,392,0.12178069101339259,0.1492844331535833,bin center
Base 3,SE,3,86,0.10558934125818331,0.13271113922382463,bin center
Base 3,continuum_2200_2400,20,405,0.09890626091311305,0.1189341417842376,bin center
Base 3,FE,2,404,0.03667919293603612,0.03691587518805892,bin center
Base 3,sparse_tail,0,0,,,bin center
Cell 15 v5,full,205,5057,0.11028924658253342,0.13900755469226966,bin center
Cell 15 v5,DEP,3,60,0.17157682842778085,0.19877123350528933,bin center
Cell 15 v5,Bi-214,2,45,0.04886930686983498,0.05761607405017835,bin center
Cell 15 v5,continuum_1700_2000,30,392,0.10360431373310802,0.12529772271640924,bin center
Cell 15 v5,SE,3,86,0.11319393999573356,0.14595089097341213,bin center
Cell 15 v5,continuum_2200_2400,20,405,0.10943008327547696,0.1330675973243752,bin center
Cell 15 v5,FE,2,404,0.029526529902604084,0.032101839321664646,bin center
Cell 15 v5,sparse_tail,0,0,,,bin center
Cell 17,full,205,5057,0.10906794542447248,0.13665104510447001,bin center
Cell 17,DEP,3,60,0.17899226791428444,0.20803007632097337,bin center
Cell 17,Bi-214,2,45,0.05064256650957499,0.05793774336550643,bin center
Cell 17,continuum_1700_2000,30,392,0.10073223479780279,0.12280411236510032,bin center
Cell 17,SE,3,86,0.09525960323410003,0.13030051050831312,bin center
Cell 17,continuum_2200_2400,20,405,0.09233677769466454,0.11112448612214015,bin center
Cell 17,FE,2,404,0.030300348768022525,0.03037602477678078,bin center
Cell 17,sparse_tail,0,0,,,bin center
