architecture,architecture_id,training_seed_count,context_draws_per_seed,region,mean_of_training_seed_means,std_across_training_seed_means,minimum_training_seed_mean,maximum_training_seed_mean
M2 attentive PE10,m2,3,10,full,0.2306233491927394,0.0009802353554432687,0.23003935915901313,0.23175503348692023
M2 attentive PE10,m2,3,10,DEP,0.20760902781969418,0.003426929162727937,0.20370900110418297,0.21013885770022173
M2 attentive PE10,m2,3,10,Bi-214,0.29221891052707405,0.005063318814086059,0.28756838483625374,0.29761283032827823
M2 attentive PE10,m2,3,10,continuum_1700_2000,0.266127536394523,0.003363826935330942,0.2633531985296839,0.26986898201196663
M2 attentive PE10,m2,3,10,SE,0.19003748289265224,0.0061301855989581155,0.18414527635937525,0.19638073232991388
M2 attentive PE10,m2,3,10,continuum_2200_2400,0.24963197472181106,0.000806750131431619,0.2487004558587616,0.25010482149432217
M2 attentive PE10,m2,3,10,FE,0.18187380937461398,0.0012652703778566034,0.18088894259685195,0.1833008213859912
M2 attentive PE10,m2,3,10,equal_region_mean,0.23597794278213483,0.0012004235327941644,0.23465896857520824,0.23700654631598667
Cell 17,cell17,3,10,full,0.22525887519528962,0.00031549902743100604,0.2250407385881908,0.22562063293627652
Cell 17,cell17,3,10,DEP,0.19851015617894632,0.004081853453629479,0.1955533722789074,0.20316732137398658
Cell 17,cell17,3,10,Bi-214,0.2744540412204829,0.006970441208275238,0.2689563489739796,0.28229391726017333
Cell 17,cell17,3,10,continuum_1700_2000,0.2505467101580982,0.001229168336900588,0.2491274124968143,0.25126345912568304
Cell 17,cell17,3,10,SE,0.2021872385352945,0.001620497026420212,0.2004189192569282,0.20360129987286646
Cell 17,cell17,3,10,continuum_2200_2400,0.2525160909094392,0.0011048814489537356,0.2512476933806468,0.25326919635134787
Cell 17,cell17,3,10,FE,0.18641951431740034,0.001459008641647929,0.18492442693621242,0.18783954704757994
Cell 17,cell17,3,10,equal_region_mean,0.23322471902814298,0.0008356843113852637,0.23266657193267495,0.2341854978884285
