training_seed,region,paired_context_draw_count,mean_brier_difference_cell17_minus_m2,std_difference_across_context,cell17_better_draws,ties,m2_better_draws
0,full,10,-0.006134400550643787,0.00041917572815781474,10,0,0
0,DEP,10,-0.0005416797301963678,0.0012124514598172867,5,0,5
0,Bi-214,10,-0.015318913068104918,0.0009944997088029547,10,0,0
0,continuum_1700_2000,10,-0.020741569515152332,0.0002622756610939339,10,0,0
0,SE,10,0.016273642897552936,0.000427273745653612,0,0,10
0,continuum_2200_2400,10,0.0011428718863246035,0.00029558589646753287,0,0,10
0,FE,10,0.004538725661588766,0.0003607459932112477,0,0,10
0,equal_region_mean,10,-0.0028210484275581873,0.0002803610972551532,10,0,0
1,full,10,-0.004960400870883314,0.00023384175232921267,10,0,0
1,DEP,10,-0.012169449770732735,0.0008934899508030648,10,0,0
1,Bi-214,10,-0.015456527408957981,0.0007622843752017761,10,0,0
1,continuum_1700_2000,10,-0.013896969516235425,0.00019349160810835128,10,0,0
1,SE,10,0.012955056487421082,0.0003632861612713723,0,0,10
1,continuum_2200_2400,10,0.0031785495389984597,0.0003109464883037104,0,0,10
1,FE,10,0.004035484339360429,0.00017228237187755097,0,0,10
1,equal_region_mean,10,-0.001836881311882682,0.0001804200026374319,10,0,0
2,full,10,-0.004998620570822315,0.00021783849293040066,10,0,0
2,DEP,10,-0.014585485421314322,0.0008140672473684883,10,0,0
2,Bi-214,10,-0.02251916744271058,0.0008247385217902582,10,0,0
2,continuum_1700_2000,10,-0.012103939677886833,0.0002451513923285542,10,0,0
2,SE,10,0.007220567542952536,0.0006297542273637289,0,0,10
2,continuum_2200_2400,10,0.004330927137561438,0.00012503633049744807,0,0,10
2,FE,10,0.005062904827409928,0.0002775124419105632,0,0,10
2,equal_region_mean,10,-0.003601741522534699,0.00010631133533249787,10,0,0
