architecture,architecture_id,training_seed,context_draw_count,region,brier_mean_across_context,brier_std_across_context,brier_min,brier_max
M2 attentive PE10,m2,0,10,full,0.23175503348692023,0.00045571431444976714,0.23123703808779358,0.23235673519464242
M2 attentive PE10,m2,0,10,DEP,0.20370900110418297,0.0012091457148941838,0.20238257752971797,0.20538506708799031
M2 attentive PE10,m2,0,10,Bi-214,0.29761283032827823,0.0010237289887253744,0.2963702742450294,0.29912389041947823
M2 attentive PE10,m2,0,10,continuum_1700_2000,0.26986898201196663,0.000258979428211769,0.2696047835830712,0.270217833374038
M2 attentive PE10,m2,0,10,SE,0.18414527635937525,0.000439594301918438,0.1835234782193256,0.1847007336708041
M2 attentive PE10,m2,0,10,continuum_2200_2400,0.25010482149432217,0.00029091448918723827,0.2498078709647717,0.2504924301268199
M2 attentive PE10,m2,0,10,FE,0.1833008213859912,0.00043762892297029423,0.18281346034104334,0.18389408805947605
M2 attentive PE10,m2,0,10,equal_region_mean,0.23700654631598667,0.00030843152263656615,0.23665954847977883,0.2374503440398276
M2 attentive PE10,m2,1,10,full,0.23007565493228488,0.00022683607784505113,0.2297911932123357,0.23035877170316982
M2 attentive PE10,m2,1,10,DEP,0.20897922465467783,0.0008911483682489197,0.20783428692629755,0.2102435582960822
M2 attentive PE10,m2,1,10,Bi-214,0.28756838483625374,0.000826113547164062,0.2864203362386225,0.2887824691063345
M2 attentive PE10,m2,1,10,continuum_1700_2000,0.2651604286419184,0.00019258454138180685,0.26470857693145017,0.2653996424392529
M2 attentive PE10,m2,1,10,SE,0.1895864399886677,0.00036791844593586176,0.1891174671683696,0.19008353617332863
M2 attentive PE10,m2,1,10,continuum_2200_2400,0.2500906468123493,0.0002123138234355313,0.24979247127886484,0.2503771571570046
M2 attentive PE10,m2,1,10,FE,0.18088894259685195,0.0002178500365763334,0.18063284254026815,0.18121465229160183
M2 attentive PE10,m2,1,10,equal_region_mean,0.23465896857520824,0.00018006126569682267,0.23443728316408552,0.23493817641787573
M2 attentive PE10,m2,2,10,full,0.23003935915901313,0.00021603940630838758,0.22979505197652003,0.23029292160066253
M2 attentive PE10,m2,2,10,DEP,0.21013885770022173,0.0008279777328068518,0.20919121575424662,0.211217772916935
M2 attentive PE10,m2,2,10,Bi-214,0.2914755164166902,0.0009088210159688687,0.2900847199476012,0.2926943719700807
M2 attentive PE10,m2,2,10,continuum_1700_2000,0.2633531985296839,0.0002520807754264417,0.26276708170980145,0.26368236223803876
M2 attentive PE10,m2,2,10,SE,0.19638073232991388,0.0006404218426257878,0.19559993019221444,0.19711196627064664
M2 attentive PE10,m2,2,10,continuum_2200_2400,0.2487004558587616,0.0001349058199996287,0.24848422215563568,0.24894106521456524
M2 attentive PE10,m2,2,10,FE,0.18143166414099882,0.00028933405190156847,0.18108964248405268,0.18191881902806958
M2 attentive PE10,m2,2,10,equal_region_mean,0.23626831345520966,0.0001131238943001916,0.23612614235281235,0.23641535790595974
Cell 17,cell17,0,10,full,0.22562063293627652,4.5009340254116144e-05,0.22555564905082898,0.2256843400351902
Cell 17,cell17,0,10,DEP,0.20316732137398658,9.611098996359527e-05,0.20303646373201123,0.20334844554569007
Cell 17,cell17,0,10,Bi-214,0.28229391726017333,0.0001773679136213375,0.28205253626920507,0.2825951101343217
Cell 17,cell17,0,10,continuum_1700_2000,0.2491274124968143,1.473184016558917e-05,0.249094343692873,0.24914827357421165
Cell 17,cell17,0,10,SE,0.2004189192569282,1.7289606726442646e-05,0.20038194013923036,0.2004406879770793
Cell 17,cell17,0,10,continuum_2200_2400,0.2512476933806468,2.3388636124349167e-05,0.2512128089783744,0.2512823318842936
Cell 17,cell17,0,10,FE,0.18783954704757994,0.000274323832916743,0.1874687008314737,0.1881731884403852
Cell 17,cell17,0,10,equal_region_mean,0.2341854978884285,6.678918553307689e-05,0.23408155038560752,0.23428601293851128
Cell 17,cell17,1,10,full,0.22511525406140157,3.1469944407509986e-05,0.22506697670091078,0.2251825685547026
Cell 17,cell17,1,10,DEP,0.19680977488394508,0.0001439982475273194,0.1965888992212157,0.1970542882194884
Cell 17,cell17,1,10,Bi-214,0.2721118574272958,0.00019451351102534628,0.27186529496191775,0.2724631443990647
Cell 17,cell17,1,10,continuum_1700_2000,0.25126345912568304,7.081138143667796e-05,0.25112111520470115,0.25136671455087534
Cell 17,cell17,1,10,SE,0.20254149647608877,7.842460357751892e-05,0.2024391783033926,0.20267099841742814
Cell 17,cell17,1,10,continuum_2200_2400,0.25326919635134787,0.00014154448174818405,0.25313152982348863,0.25348443191637743
Cell 17,cell17,1,10,FE,0.18492442693621242,0.00015413373911185897,0.1846718401081261,0.18515145866836247
Cell 17,cell17,1,10,equal_region_mean,0.23282208726332554,4.788590306387949e-05,0.23275416707862712,0.23288395648048937
Cell 17,cell17,2,10,full,0.2250407385881908,2.3892533897550096e-05,0.22499748721271612,0.22508448003360518
Cell 17,cell17,2,10,DEP,0.1955533722789074,9.984941375402561e-05,0.19541374184925103,0.19574225271145929
Cell 17,cell17,2,10,Bi-214,0.2689563489739796,0.00038163324790216346,0.26846325557985107,0.2695799447922696
Cell 17,cell17,2,10,continuum_1700_2000,0.2512492588517971,4.35911315055637e-05,0.25115702920554234,0.25130922984057114
Cell 17,cell17,2,10,SE,0.20360129987286646,7.746899484270248e-05,0.20349469802733622,0.20372490023655182
Cell 17,cell17,2,10,continuum_2200_2400,0.253031382996323,9.746302550685279e-05,0.2529333196878194,0.25317401242078424
Cell 17,cell17,2,10,FE,0.1864945689684087,0.0002685804800233302,0.18610398667942363,0.18684355432625768
Cell 17,cell17,2,10,equal_region_mean,0.23266657193267495,8.619498900241064e-05,0.23254741448905758,0.2328032525590405
