role,unique_event_count,identity_sha256,parent,selection_or_filter,information_used
classifier_training_denominator,377330,fe264ae45ea95b063babc7ab01ee9bdae6a47f3b718a744ab95a4fb92ea6fbf5,16 raw MAJORANA train files,500 <= energy < 3000 keV before fixed 5% selection,"identity, energy; establishes the subset denominator"
classifier_training_subset,18866,ad2e418ef8d5751b44f6f2731ac29562b10d05fcc5ad75ac9b51cb2b003879cd,classifier_training_denominator,"round(0.05 * 377330), NumPy seed 0, without replacement","waveform, psd_label_low_avse, energy, identity"
classifier_monitoring_subset,7074,90ce96e0db33f7c405c953c17f6d1dc9872b784217b33705818351f44d65313d,141474-event filtered test split,"round(0.05 * 141474), NumPy seed 0, without replacement",per-epoch weighted monitoring; not checkpoint selection
acceptance_input_pool,18866,ad2e418ef8d5751b44f6f2731ac29562b10d05fcc5ad75ac9b51cb2b003879cd,classifier_training_subset,inclusive target class and 500 <= energy <= 3000 keV,energy and frozen-classifier score
acceptance_effective_sampling_pool,18836,e99eefb92fc474466758555f71eeefa93549425e432384f4da942d4f9e2cf72d,acceptance_input_pool,events in 10-keV bins with at least four pool events,sampled with replacement to construct meta-learning trials
density_pool,18866,ad2e418ef8d5751b44f6f2731ac29562b10d05fcc5ad75ac9b51cb2b003879cd,acceptance_input_pool,no minimum-bin filter; exact full acceptance input pool,energy only; fixed nonpersistent density buffer for our model
threshold_calibration,2000,9e6985c6138726fdbc2c05035c5daa3779826842e735985c7441e61a23cb1021,historical 7074-event subset,frozen role from split seed 20260908,classifier labels for threshold selection
development_context_reservoir,3000,4a96d126e6dc38a738d5746267a655f936a4d58aeab4fa6a394b9b7769d93fbf,historical 7074-event subset,frozen role from split seed 20260908,fixed-threshold outcomes used for conditioning
development_context_draw_union,3000,4a96d126e6dc38a738d5746267a655f936a4d58aeab4fa6a394b9b7769d93fbf,historical 7074-event subset,union of ten nested-study source draws at n_context=2000,fixed-threshold outcomes used for conditioning
development_target,2074,fbbaefc5ab880c8837ce8582c21bac0f5286dafc67775726edbbe3ea8bb3c6f3,historical 7074-event subset,frozen role from split seed 20260908,fixed-threshold outcomes used for evaluation
final_context_reservoir,20000,2ea72e8682c10a6d09e7dfc0981525394c6f834d981aaca6f076e39aa0594347,full test minus historical 7074-event subset,frozen role from split seed 20260908,fixed-threshold outcomes used for conditioning
final_context_draw_union,13060,9e268352429f7786b79d990f1f833f4e111693543ff58005797e736f5ef88682,full test minus historical 7074-event subset,union of ten nested-study source draws at n_context=2000,fixed-threshold outcomes used for conditioning
final_target,114400,03853bd1c4a3f596b4e0614152b3a1f5306f4ea1a0485a4cb384c70b17faec73,full test minus historical 7074-event subset,frozen role from split seed 20260908,fixed-threshold outcomes used for evaluation
