set_a,set_b,count_a,count_b,intersection_count,union_count,jaccard
classifier_training_denominator,classifier_training_denominator,377330,377330,377330,377330,1.0
classifier_training_denominator,classifier_training_subset,377330,18866,18866,377330,0.049998674899954944
classifier_training_denominator,classifier_monitoring_subset,377330,7074,0,384404,0.0
classifier_training_denominator,acceptance_input_pool,377330,18866,18866,377330,0.049998674899954944
classifier_training_denominator,acceptance_effective_sampling_pool,377330,18836,18836,377330,0.049919168897251745
classifier_training_denominator,density_pool,377330,18866,18866,377330,0.049998674899954944
classifier_training_denominator,threshold_calibration,377330,2000,0,379330,0.0
classifier_training_denominator,development_context_reservoir,377330,3000,0,380330,0.0
classifier_training_denominator,development_target,377330,2074,0,379404,0.0
classifier_training_denominator,final_context_reservoir,377330,20000,0,397330,0.0
classifier_training_denominator,final_target,377330,114400,0,491730,0.0
classifier_training_denominator,development_context_draw_union,377330,3000,0,380330,0.0
classifier_training_denominator,final_context_draw_union,377330,13060,0,390390,0.0
classifier_training_subset,classifier_training_subset,18866,18866,18866,18866,1.0
classifier_training_subset,classifier_monitoring_subset,18866,7074,0,25940,0.0
classifier_training_subset,acceptance_input_pool,18866,18866,18866,18866,1.0
classifier_training_subset,acceptance_effective_sampling_pool,18866,18836,18836,18866,0.9984098378034559
classifier_training_subset,density_pool,18866,18866,18866,18866,1.0
classifier_training_subset,threshold_calibration,18866,2000,0,20866,0.0
classifier_training_subset,development_context_reservoir,18866,3000,0,21866,0.0
classifier_training_subset,development_target,18866,2074,0,20940,0.0
classifier_training_subset,final_context_reservoir,18866,20000,0,38866,0.0
classifier_training_subset,final_target,18866,114400,0,133266,0.0
classifier_training_subset,development_context_draw_union,18866,3000,0,21866,0.0
classifier_training_subset,final_context_draw_union,18866,13060,0,31926,0.0
classifier_monitoring_subset,classifier_monitoring_subset,7074,7074,7074,7074,1.0
classifier_monitoring_subset,acceptance_input_pool,7074,18866,0,25940,0.0
classifier_monitoring_subset,acceptance_effective_sampling_pool,7074,18836,0,25910,0.0
classifier_monitoring_subset,density_pool,7074,18866,0,25940,0.0
classifier_monitoring_subset,threshold_calibration,7074,2000,2000,7074,0.2827254735651682
classifier_monitoring_subset,development_context_reservoir,7074,3000,3000,7074,0.42408821034775235
classifier_monitoring_subset,development_target,7074,2074,2074,7074,0.29318631608707946
classifier_monitoring_subset,final_context_reservoir,7074,20000,0,27074,0.0
classifier_monitoring_subset,final_target,7074,114400,0,121474,0.0
classifier_monitoring_subset,development_context_draw_union,7074,3000,3000,7074,0.42408821034775235
classifier_monitoring_subset,final_context_draw_union,7074,13060,0,20134,0.0
acceptance_input_pool,acceptance_input_pool,18866,18866,18866,18866,1.0
acceptance_input_pool,acceptance_effective_sampling_pool,18866,18836,18836,18866,0.9984098378034559
acceptance_input_pool,density_pool,18866,18866,18866,18866,1.0
acceptance_input_pool,threshold_calibration,18866,2000,0,20866,0.0
acceptance_input_pool,development_context_reservoir,18866,3000,0,21866,0.0
acceptance_input_pool,development_target,18866,2074,0,20940,0.0
acceptance_input_pool,final_context_reservoir,18866,20000,0,38866,0.0
acceptance_input_pool,final_target,18866,114400,0,133266,0.0
acceptance_input_pool,development_context_draw_union,18866,3000,0,21866,0.0
acceptance_input_pool,final_context_draw_union,18866,13060,0,31926,0.0
acceptance_effective_sampling_pool,acceptance_effective_sampling_pool,18836,18836,18836,18836,1.0
acceptance_effective_sampling_pool,density_pool,18836,18866,18836,18866,0.9984098378034559
acceptance_effective_sampling_pool,threshold_calibration,18836,2000,0,20836,0.0
acceptance_effective_sampling_pool,development_context_reservoir,18836,3000,0,21836,0.0
acceptance_effective_sampling_pool,development_target,18836,2074,0,20910,0.0
