model_a,model_b,region,paired_draw_count,mean_brier_difference_a_minus_b,std_brier_difference_across_context,a_better_draws,ties,b_better_draws
Cell 17,Cell 15 v9,full,10,-0.00033460486602025774,1.3306244885776173e-05,10,0,0
Cell 17,Cell 15 v9,DEP,10,-0.00011159306834517547,4.8636728225300265e-05,10,0,0
Cell 17,Cell 15 v9,Bi-214,10,-0.0004218330641078072,2.035390203872063e-05,10,0,0
Cell 17,Cell 15 v9,continuum_1700_2000,10,-0.0007821813851377091,2.205310895729128e-05,10,0,0
Cell 17,Cell 15 v9,SE,10,-0.001333830674825856,9.424505274477554e-05,10,0,0
Cell 17,Cell 15 v9,continuum_2200_2400,10,-0.0003652878034981044,6.370142877037483e-05,10,0,0
Cell 17,Cell 15 v9,FE,10,-0.00045645540259106333,6.21486311861485e-05,10,0,0
Cell 17,Cell 15 v9,equal_region_mean,10,-0.0006719176660321124,3.6831867802239614e-05,10,0,0
Cell 17,Cell 15 v5,full,10,-0.00018984627389647402,2.925422626635267e-05,10,0,0
Cell 17,Cell 15 v5,DEP,10,0.001303489883924752,8.047362340645681e-05,0,0,10
Cell 17,Cell 15 v5,Bi-214,10,0.0018698924498715408,0.00011275561894187758,0,0,10
Cell 17,Cell 15 v5,continuum_1700_2000,10,-0.0015714375586222934,6.593755566555193e-05,10,0,0
Cell 17,Cell 15 v5,SE,10,-0.00497652264938305,0.0003390320521571017,10,0,0
Cell 17,Cell 15 v5,continuum_2200_2400,10,0.0003571000223536569,6.056939481752866e-05,0,0,10
Cell 17,Cell 15 v5,FE,10,0.0020005532076206286,0.0001185143617676086,0,0,10
Cell 17,Cell 15 v5,equal_region_mean,10,-0.00046408290563189347,8.880515873126265e-05,10,0,0
Cell 17,True CNP,full,10,-0.006586257520193953,4.618754340905168e-05,10,0,0
Cell 17,True CNP,DEP,10,-0.029684108396393034,9.836101852628412e-05,10,0,0
Cell 17,True CNP,Bi-214,10,0.03347809575320439,0.00017758885246457008,0,0,10
Cell 17,True CNP,continuum_1700_2000,10,-0.0023463902327879567,1.4306042774695839e-05,10,0,0
Cell 17,True CNP,SE,10,-0.05682142972299499,1.5614402302851775e-05,10,0,0
Cell 17,True CNP,continuum_2200_2400,10,0.000231628030368769,2.3702957097649037e-05,0,0,10
Cell 17,True CNP,FE,10,0.0049664118028228624,0.0002729555742040506,0,0,10
Cell 17,True CNP,equal_region_mean,10,-0.004098336873877386,6.881753816922033e-05,10,0,0
Cell 17,Base 1,full,10,-0.006571512795572712,0.00013837752192207462,10,0,0
Cell 17,Base 1,DEP,10,-0.026663461461583226,0.0009271009976053231,10,0,0
Cell 17,Base 1,Bi-214,10,0.033253665029917424,0.00023494791681280045,0,0,10
Cell 17,Base 1,continuum_1700_2000,10,-0.0024072432319533904,0.00016112376861328437,10,0,0
Cell 17,Base 1,SE,10,-0.05163857461833323,0.0012185608664033293,10,0,0
Cell 17,Base 1,continuum_2200_2400,10,-0.0011602373800723488,0.00020229684750744294,10,0,0
Cell 17,Base 1,FE,10,-0.002773342989693456,0.00031616042561642444,10,0,0
Cell 17,Base 1,equal_region_mean,10,-0.0049451466380269924,0.00023370525840443596,10,0,0
Cell 17,Base 2,full,10,-0.005246333726481897,9.337935053158027e-05,10,0,0
Cell 17,Base 2,DEP,10,-0.018828860732967325,0.0032198351996486473,10,0,0
Cell 17,Base 2,Bi-214,10,0.031776515524447914,0.0007010236727372838,0,0,10
Cell 17,Base 2,continuum_1700_2000,10,-0.0016412220055569166,0.0003809525026573809,10,0,0
Cell 17,Base 2,SE,10,-0.029495668375390704,0.002574618017548198,10,0,0
Cell 17,Base 2,continuum_2200_2400,10,-0.005181782643544397,0.0007768231832450925,10,0,0
Cell 17,Base 2,FE,10,0.0039002189740738407,0.0005530591011806145,0,0,10
Cell 17,Base 2,equal_region_mean,10,-0.00012838770519404407,0.0006505780325840033,5,0,5
Cell 17,Base 3,full,10,-0.0036150792366749064,0.0002695835760077832,10,0,0
Cell 17,Base 3,DEP,10,-0.005299872764080685,0.003498351363664658,9,0,1
Cell 17,Base 3,Bi-214,10,0.005589557354110641,0.0016333568557441779,0,0,10
Cell 17,Base 3,continuum_1700_2000,10,-0.013987520288142782,0.0006188770655349278,10,0,0
Cell 17,Base 3,SE,10,0.0030939604177290304,0.0012552465838383917,0,0,10
Cell 17,Base 3,continuum_2200_2400,10,0.004440672115532354,0.0006504362112436188,0,0,10
Cell 17,Base 3,FE,10,0.00770065153134569,0.0003944355545165659,0,0,10
Cell 17,Base 3,equal_region_mean,10,0.0013674642261149923,0.00020284726745392704,0,0,10
Cell 17,Kernel,full,10,-0.004564521857646,0.001025273074416492,10,0,0
Cell 17,Kernel,DEP,10,-0.018266357797927443,0.00821492888884369,10,0,0
Cell 17,Kernel,Bi-214,10,0.030933617768055772,0.002297880044758967,0,0,10
Cell 17,Kernel,continuum_1700_2000,10,-0.003051786625335673,0.0030596608562392024,9,0,1
Cell 17,Kernel,SE,10,-0.022053291383530967,0.0156428968723833,10,0,0
Cell 17,Kernel,continuum_2200_2400,10,-0.00405109214163607,0.006033178325826615,6,0,4
Cell 17,Kernel,FE,10,0.0029207661048195914,0.001462962988215228,0,0,10
Cell 17,Kernel,equal_region_mean,10,0.0009396427444745281,0.003286840037972045,3,0,7
