model,model_id,comparison_role,training_seed_count,context_draw_count,region,brier_mean,brier_std_across_context,brier_min,brier_max
Cell 15 v9,v9,recovered_historical_model,1,10,full,0.22595523780229673,5.241650105739716e-05,0.2258726419281956,0.2260463358055841
Cell 15 v9,v9,recovered_historical_model,1,10,DEP,0.2032789144423318,0.0001398051969794523,0.2030926381518531,0.2035207117397561
Cell 15 v9,v9,recovered_historical_model,1,10,Bi-214,0.2827157503242811,0.00015878652539451168,0.28251193353514836,0.2829855107129258
Cell 15 v9,v9,recovered_historical_model,1,10,continuum_1700_2000,0.249909593881952,1.67710704627274e-05,0.24987908666290867,0.2499394583971118
Cell 15 v9,v9,recovered_historical_model,1,10,SE,0.20175274993175404,0.00010340831821571808,0.20163344329247396,0.20190649940988645
Cell 15 v9,v9,recovered_historical_model,1,10,continuum_2200_2400,0.2516129811841449,7.752077437881894e-05,0.25153979054867026,0.2517378127862344
Cell 15 v9,v9,recovered_historical_model,1,10,FE,0.18829600245017103,0.00021271227763701428,0.18802004196763605,0.1885562484093549
Cell 15 v9,v9,recovered_historical_model,1,10,equal_region_mean,0.23485741555446063,4.6728047023126e-05,0.2347980570734154,0.23492000614298414
Cell 15 v5,v5,recovered_historical_model,1,10,full,0.22581047921017294,5.7167410107919755e-05,0.2257168698995253,0.22591762040936858
Cell 15 v5,v5,recovered_historical_model,1,10,DEP,0.20186383149006187,0.00013376192470540536,0.20159991833959218,0.20202192997575832
Cell 15 v5,v5,recovered_historical_model,1,10,Bi-214,0.28042402481030176,0.00018173946966842236,0.2800742673638056,0.2806552358603752
Cell 15 v5,v5,recovered_historical_model,1,10,continuum_1700_2000,0.25069885005543663,7.640583694268525e-05,0.25060248380058886,0.25084186140142634
Cell 15 v5,v5,recovered_historical_model,1,10,SE,0.20539544190631126,0.00034653480987025274,0.2050670184497548,0.20611286534919449
Cell 15 v5,v5,recovered_historical_model,1,10,continuum_2200_2400,0.2508905933582931,5.875726513387695e-05,0.250789564032568,0.25095638011577637
Cell 15 v5,v5,recovered_historical_model,1,10,FE,0.1858389938399593,0.0001915510963030972,0.18548586378528137,0.1861046085802763
Cell 15 v5,v5,recovered_historical_model,1,10,equal_region_mean,0.23464958079406043,6.421128995916058e-05,0.23455988152468915,0.23474931904958404
Cell 17,cell17,frozen_candidate,1,10,full,0.22562063293627652,4.5009340254116144e-05,0.22555564905082898,0.2256843400351902
Cell 17,cell17,frozen_candidate,1,10,DEP,0.20316732137398658,9.611098996359527e-05,0.20303646373201123,0.20334844554569007
Cell 17,cell17,frozen_candidate,1,10,Bi-214,0.28229391726017333,0.0001773679136213375,0.28205253626920507,0.2825951101343217
Cell 17,cell17,frozen_candidate,1,10,continuum_1700_2000,0.2491274124968143,1.473184016558917e-05,0.249094343692873,0.24914827357421165
Cell 17,cell17,frozen_candidate,1,10,SE,0.2004189192569282,1.7289606726442646e-05,0.20038194013923036,0.2004406879770793
Cell 17,cell17,frozen_candidate,1,10,continuum_2200_2400,0.2512476933806468,2.3388636124349167e-05,0.2512128089783744,0.2512823318842936
Cell 17,cell17,frozen_candidate,1,10,FE,0.18783954704757994,0.000274323832916743,0.1874687008314737,0.1881731884403852
Cell 17,cell17,frozen_candidate,1,10,equal_region_mean,0.2341854978884285,6.678918553307689e-05,0.23408155038560752,0.23428601293851128
True CNP,true_cnp,recovered_historical_model,1,10,full,0.23220689045647042,1.9650290264614156e-06,0.2322040303624496,0.23221053461959967
True CNP,true_cnp,recovered_historical_model,1,10,DEP,0.2328514297703796,1.2080991612062949e-05,0.23283002672056,0.23286932648817282
True CNP,true_cnp,recovered_historical_model,1,10,Bi-214,0.2488158215069689,6.896366766842536e-07,0.24881486477251177,0.24881715599897586
True CNP,true_cnp,recovered_historical_model,1,10,continuum_1700_2000,0.25147380272960224,2.0456597102586745e-06,0.2514707296486451,0.25147740634362353
True CNP,true_cnp,recovered_historical_model,1,10,SE,0.25724034897992315,1.5229996968123675e-05,0.25721839968412813,0.2572675532198931
True CNP,true_cnp,recovered_historical_model,1,10,continuum_2200_2400,0.25101606535027804,1.0733836722230875e-06,0.25101401852103367,0.25101745178504076
True CNP,true_cnp,recovered_historical_model,1,10,FE,0.1828731352447571,2.1750150670627207e-06,0.1828692930083806,0.18287581829447835
True CNP,true_cnp,recovered_historical_model,1,10,equal_region_mean,0.23828383476230589,2.953671397063135e-06,0.23827945959316615,0.23828908541838137
Base 1,base1,recovered_historical_model,1,10,full,0.2321921457318492,0.00010116036229531467,0.2320620103191017,0.2323550101672907
Base 1,base1,recovered_historical_model,1,10,DEP,0.22983078283556985,0.0009244246487066252,0.2283860390781723,0.23107991037265815
Base 1,base1,recovered_historical_model,1,10,Bi-214,0.2490402522302559,9.918780224319998e-05,0.2489125395097594,0.24919125992197733
Base 1,base1,recovered_historical_model,1,10,continuum_1700_2000,0.25153465572876765,0.00016407152894823375,0.2513189102673613,0.2517938462386465
Base 1,base1,recovered_historical_model,1,10,SE,0.25205749387526144,0.0012309667628578429,0.2504039243299941,0.253972090635028
Base 1,base1,recovered_historical_model,1,10,continuum_2200_2400,0.2524079307607191,0.00019507953343513988,0.2521116111436175,0.25268060018058003
Base 1,base1,recovered_historical_model,1,10,FE,0.1906128900372734,0.0003482056784900822,0.19008177899060358,0.19109037972434256
Base 1,base1,recovered_historical_model,1,10,equal_region_mean,0.23913064452645552,0.00019021177623542452,0.23888127080240745,0.23943011738597458
Base 2,base2,recovered_historical_model,1,10,full,0.23086696666275838,6.875693972176014e-05,0.23075328719490912,0.2309631405872801
Base 2,base2,recovered_historical_model,1,10,DEP,0.22199618210695396,0.0032651072459781035,0.21654047033173748,0.2270874468376709
Base 2,base2,recovered_historical_model,1,10,Bi-214,0.25051740173572534,0.0005547232912360743,0.24982405809834166,0.2515378807280271
Base 2,base2,recovered_historical_model,1,10,continuum_1700_2000,0.2507686345023712,0.0003881270603974406,0.2503169056334584,0.2515004946400602
Base 2,base2,recovered_historical_model,1,10,SE,0.22991458763231892,0.0025874903998250446,0.22694666531089192,0.23410299679459998
Base 2,base2,recovered_historical_model,1,10,continuum_2200_2400,0.25642947602419114,0.0007693004569143994,0.25557324034368145,0.257601090857158
Base 2,base2,recovered_historical_model,1,10,FE,0.18393932807350608,0.0003362093266258301,0.18332942080349265,0.18435222568721274
Base 2,base2,recovered_historical_model,1,10,equal_region_mean,0.23431388559362257,0.0006010125810090408,0.23358014826859125,0.23536072311442013
Base 3,base3,recovered_historical_model,1,10,full,0.2292357121729514,0.00029522891676218735,0.22874116882548248,0.22968782200721125
Base 3,base3,recovered_historical_model,1,10,DEP,0.2084671941380673,0.0034799795414136615,0.2024870967572675,0.21407415797665977
Base 3,base3,recovered_historical_model,1,10,Bi-214,0.27670435990606257,0.0016536679460617699,0.2747127751999704,0.27998802425328295
Base 3,base3,recovered_historical_model,1,10,continuum_1700_2000,0.263114932784957,0.0006215197679460608,0.2619197613238089,0.2639401681880974
Base 3,base3,recovered_historical_model,1,10,SE,0.19732495883919918,0.001253559066935142,0.19430091679633754,0.19878005965914344
Base 3,base3,recovered_historical_model,1,10,continuum_2200_2400,0.24680702126511447,0.0006612971317424475,0.2455202148505054,0.24773088701910978
Base 3,base3,recovered_historical_model,1,10,FE,0.18013889551623424,0.00021937482912236537,0.17978687245790567,0.18048902744547843
Base 3,base3,recovered_historical_model,1,10,equal_region_mean,0.23281803366231352,0.00020345052628563558,0.2323535676857753,0.23309711151810397
Kernel,kernel,context_only_baseline,0,10,full,0.23018515479392251,0.001035973603505957,0.228617740494608,0.23235312112065798
Kernel,kernel,context_only_baseline,0,10,DEP,0.22143367917191403,0.008291488043450854,0.20568274024476194,0.2320909377578803
Kernel,kernel,context_only_baseline,0,10,Bi-214,0.25136029949211747,0.0021512020569867066,0.24953194991922983,0.25600509251259307
Kernel,kernel,context_only_baseline,0,10,continuum_1700_2000,0.25217919912215,0.0030582474109370314,0.2459118011636021,0.25641969513189694
Kernel,kernel,context_only_baseline,0,10,SE,0.22247221064045916,0.0156468149312727,0.2018315270785308,0.2578968975552147
Kernel,kernel,context_only_baseline,0,10,continuum_2200_2400,0.2552987855222829,0.006044567286938578,0.2503850600855605,0.2695353579677101
Kernel,kernel,context_only_baseline,0,10,FE,0.18491878094276037,0.0015361449217976913,0.18252576106928425,0.18705774866701305
Kernel,kernel,context_only_baseline,0,10,equal_region_mean,0.23324585514395396,0.0032542113830373765,0.22782132305518807,0.23995455388317732
