model,model_id,training_seed,context_seed,dropout_seed,region,n_events,brier,log_loss
Cell 15 v9,v9,0,100,10100,full,2074,0.22597285732604036,0.6447528714131938
Cell 15 v9,v9,0,100,10100,Bi-214,21,0.28251193353514836,0.7941044477746921
Cell 15 v9,v9,0,100,10100,continuum_1700_2000,154,0.24991410097496436,0.6929823607739495
Cell 15 v9,v9,0,100,10100,SE,36,0.20184983826047237,0.5960285717819706
Cell 15 v9,v9,0,100,10100,continuum_2200_2400,152,0.2517007827896008,0.6965515918242408
Cell 15 v9,v9,0,100,10100,FE,167,0.1880308339123505,0.5697744659961795
Cell 15 v9,v9,0,100,10100,equal_region_mean,,0.23480149789450727,
Cell 15 v9,v9,0,101,10100,full,2074,0.22590852369790973,0.6446395561472155
Cell 15 v9,v9,0,101,10100,Bi-214,21,0.28276969828307363,0.7950591677443651
Cell 15 v9,v9,0,101,10100,continuum_1700_2000,154,0.2498977235828349,0.6929495240045327
Cell 15 v9,v9,0,101,10100,SE,36,0.20179312506420333,0.595870402905796
Cell 15 v9,v9,0,101,10100,continuum_2200_2400,152,0.25165422011226235,0.6964582431153615
Cell 15 v9,v9,0,101,10100,FE,167,0.18840814168943523,0.5713383401064274
Cell 15 v9,v9,0,101,10100,equal_region_mean,,0.2349045817463619,
Cell 15 v9,v9,0,102,10100,full,2074,0.22597705012366093,0.6448476979413925
Cell 15 v9,v9,0,102,10100,Bi-214,21,0.2827960001856922,0.7951444754644916
Cell 15 v9,v9,0,102,10100,continuum_1700_2000,154,0.24990650897334596,0.692967071480584
Cell 15 v9,v9,0,102,10100,SE,36,0.2017372242740541,0.595747602113626
Cell 15 v9,v9,0,102,10100,continuum_2200_2400,152,0.25154702886121977,0.6962436195328928
Cell 15 v9,v9,0,102,10100,FE,167,0.1885562484093549,0.5719176381396137
Cell 15 v9,v9,0,102,10100,equal_region_mean,,0.2349086021407334,
Cell 15 v9,v9,0,103,10100,full,2074,0.22600357679968575,0.6448990340111569
Cell 15 v9,v9,0,103,10100,Bi-214,21,0.2825355184845936,0.7941537876736194
Cell 15 v9,v9,0,103,10100,continuum_1700_2000,154,0.2499394583971118,0.6930331355627088
Cell 15 v9,v9,0,103,10100,SE,36,0.20166608376663964,0.5956104307445026
Cell 15 v9,v9,0,103,10100,continuum_2200_2400,152,0.25155277822525784,0.6962553149899475
Cell 15 v9,v9,0,103,10100,FE,167,0.18843091118357524,0.5714144530537035
Cell 15 v9,v9,0,103,10100,equal_region_mean,,0.2348249500114356,
Cell 15 v9,v9,0,104,10100,full,2074,0.22589663496523085,0.6445652856188253
Cell 15 v9,v9,0,104,10100,Bi-214,21,0.28284830866911,0.7952918226894267
Cell 15 v9,v9,0,104,10100,continuum_1700_2000,154,0.2499179274068087,0.6929899454002778
Cell 15 v9,v9,0,104,10100,SE,36,0.20166421677485197,0.5956053043095328
Cell 15 v9,v9,0,104,10100,continuum_2200_2400,152,0.25153979054867026,0.6962293659423144
Cell 15 v9,v9,0,104,10100,FE,167,0.18802004196763605,0.5697526425460465
Cell 15 v9,v9,0,104,10100,equal_region_mean,,0.2347980570734154,
Cell 15 v9,v9,0,105,10100,full,2074,0.2260463358055841,0.6449376437231474
Cell 15 v9,v9,0,105,10100,Bi-214,21,0.28284291103733983,0.7952447457210388
Cell 15 v9,v9,0,105,10100,continuum_1700_2000,154,0.24989522545015722,0.6929445086932982
Cell 15 v9,v9,0,105,10100,SE,36,0.20190649940988645,0.5961815401499438
Cell 15 v9,v9,0,105,10100,continuum_2200_2400,152,0.2517378127862344,0.6966257182265603
Cell 15 v9,v9,0,105,10100,FE,167,0.18809769651889538,0.5700627744418514
Cell 15 v9,v9,0,105,10100,equal_region_mean,,0.23489602904050266,
Cell 15 v9,v9,0,106,10100,full,2074,0.22593572225650532,0.6446663595332865
Cell 15 v9,v9,0,106,10100,Bi-214,21,0.28256464081797883,0.7943208507793703
Cell 15 v9,v9,0,106,10100,continuum_1700_2000,154,0.24987908666290867,0.6929122471532557
Cell 15 v9,v9,0,106,10100,SE,36,0.20190376517833483,0.5961363900444481
Cell 15 v9,v9,0,106,10100,continuum_2200_2400,152,0.2517036164801901,0.6965571397517016
Cell 15 v9,v9,0,106,10100,FE,167,0.18807941652927426,0.5700012714771875
Cell 15 v9,v9,0,106,10100,equal_region_mean,,0.23482610513373733,
Cell 15 v9,v9,0,107,10100,full,2074,0.2258726419281956,0.6445472926868252
Cell 15 v9,v9,0,107,10100,Bi-214,21,0.2825970007216031,0.7944605516270398
Cell 15 v9,v9,0,107,10100,continuum_1700_2000,154,0.24991986978650663,0.6929938771181507
Cell 15 v9,v9,0,107,10100,SE,36,0.20169604554123183,0.5956813888280128
Cell 15 v9,v9,0,107,10100,continuum_2200_2400,152,0.2515721434623523,0.6962939612609563
Cell 15 v9,v9,0,107,10100,FE,167,0.1883714229316522,0.5711851518467403
Cell 15 v9,v9,0,107,10100,equal_region_mean,,0.23483129648866924,
Cell 15 v9,v9,0,108,10100,full,2074,0.2259757792860643,0.6448435857241912
Cell 15 v9,v9,0,108,10100,Bi-214,21,0.28270598079534565,0.7948041827432173
Cell 15 v9,v9,0,108,10100,continuum_1700_2000,154,0.24992117818286352,0.692996454496402
Cell 15 v9,v9,0,108,10100,SE,36,0.20167725775539208,0.5956112687146227
Cell 15 v9,v9,0,108,10100,continuum_2200_2400,152,0.2515460315123772,0.6962418173244257
Cell 15 v9,v9,0,108,10100,FE,167,0.18846470111531796,0.5715424281437936
Cell 15 v9,v9,0,108,10100,equal_region_mean,,0.2348630298722593,
Cell 15 v9,v9,0,109,10100,full,2074,0.2259632558340904,0.6448014071973588
Cell 15 v9,v9,0,109,10100,Bi-214,21,0.2829855107129258,0.7957247189803731
Cell 15 v9,v9,0,109,10100,continuum_1700_2000,154,0.2499048594020183,0.6929636044371966
Cell 15 v9,v9,0,109,10100,SE,36,0.20163344329247396,0.5955286333910338
Cell 15 v9,v9,0,109,10100,continuum_2200_2400,152,0.25157560706328413,0.696301035603649
Cell 15 v9,v9,0,109,10100,FE,167,0.18850061024421833,0.5716853267508911
Cell 15 v9,v9,0,109,10100,equal_region_mean,,0.23492000614298414,
Cell 15 v5,v5,0,100,10100,full,2074,0.22582983181083757,0.6441321182994043
Cell 15 v5,v5,0,100,10100,Bi-214,21,0.2800742673638056,0.7844150820513055
Cell 15 v5,v5,0,100,10100,continuum_1700_2000,154,0.25078855373067716,0.6947304155024274
Cell 15 v5,v5,0,100,10100,SE,36,0.20566914680280857,0.6039223979816543
Cell 15 v5,v5,0,100,10100,continuum_2200_2400,152,0.25083971394174576,0.6948685621326547
Cell 15 v5,v5,0,100,10100,FE,167,0.1857149088093696,0.5616083870243563
Cell 15 v5,v5,0,100,10100,equal_region_mean,,0.23461731812968134,
Cell 15 v5,v5,0,101,10100,full,2074,0.2257587065434441,0.6439967545452381
Cell 15 v5,v5,0,101,10100,Bi-214,21,0.2806552358603752,0.7863881332415342
Cell 15 v5,v5,0,101,10100,continuum_1700_2000,154,0.2506941396812289,0.6945407494180368
Cell 15 v5,v5,0,101,10100,SE,36,0.20549198146546663,0.6037966968417686
Cell 15 v5,v5,0,101,10100,continuum_2200_2400,152,0.2509439766565306,0.6950834052208558
Cell 15 v5,v5,0,101,10100,FE,167,0.18594776117728215,0.5626012279709116
Cell 15 v5,v5,0,101,10100,equal_region_mean,,0.2347466189681767,
Cell 15 v5,v5,0,102,10100,full,2074,0.22582441435646775,0.6442280601375805
Cell 15 v5,v5,0,102,10100,Bi-214,21,0.28056587641757885,0.786084371107503
Cell 15 v5,v5,0,102,10100,continuum_1700_2000,154,0.2506417443443088,0.694436158406732
Cell 15 v5,v5,0,102,10100,SE,36,0.20506739964612525,0.6031523752863378
Cell 15 v5,v5,0,102,10100,continuum_2200_2400,152,0.25091531119229166,0.6950277600544312
Cell 15 v5,v5,0,102,10100,FE,167,0.1861046085802763,0.5631795061535957
Cell 15 v5,v5,0,102,10100,equal_region_mean,,0.23465898803611615,
Cell 15 v5,v5,0,103,10100,full,2074,0.22586031100986972,0.6442680593726017
Cell 15 v5,v5,0,103,10100,Bi-214,21,0.28039439062433236,0.7855168337095357
Cell 15 v5,v5,0,103,10100,continuum_1700_2000,154,0.2506726552959924,0.6944982379188107
Cell 15 v5,v5,0,103,10100,SE,36,0.20521368034715343,0.6035119241076284
Cell 15 v5,v5,0,103,10100,continuum_2200_2400,152,0.2509083534354249,0.6950104189620083
Cell 15 v5,v5,0,103,10100,FE,167,0.18587483731808793,0.5622952094011988
Cell 15 v5,v5,0,103,10100,equal_region_mean,,0.23461278340419817,
Cell 15 v5,v5,0,104,10100,full,2074,0.22575858202125101,0.6439291594755642
Cell 15 v5,v5,0,104,10100,Bi-214,21,0.28057774230715743,0.786086023227673
Cell 15 v5,v5,0,104,10100,continuum_1700_2000,154,0.2506681913210959,0.6944890633811783
Cell 15 v5,v5,0,104,10100,SE,36,0.20527804617734305,0.6035916933447711
Cell 15 v5,v5,0,104,10100,continuum_2200_2400,152,0.250789564032568,0.6947681339174124
Cell 15 v5,v5,0,104,10100,FE,167,0.18548586378528137,0.5607523506557152
Cell 15 v5,v5,0,104,10100,equal_region_mean,,0.23455988152468915,
