model_a,model_b,region,paired_draw_count,mean_brier_difference_a_minus_b,std_brier_difference_across_context,a_better_draws,ties,b_better_draws
Cell 17,Cell 15 v5,full,10,-0.00018984627389647402,2.925422626635267e-05,10,0,0
Cell 17,Cell 15 v5,Bi-214,10,0.0018698924498715408,0.00011275561894187758,0,0,10
Cell 17,Cell 15 v5,continuum_1700_2000,10,-0.0015714375586222934,6.593755566555193e-05,10,0,0
Cell 17,Cell 15 v5,SE,10,-0.00497652264938305,0.0003390320521571017,10,0,0
Cell 17,Cell 15 v5,continuum_2200_2400,10,0.0003571000223536569,6.056939481752866e-05,0,0,10
Cell 17,Cell 15 v5,FE,10,0.0020005532076206286,0.0001185143617676086,0,0,10
Cell 17,Cell 15 v5,equal_region_mean,10,-0.00046408290563189347,8.880515873126265e-05,10,0,0
Cell 17,Cell 15 v9,full,10,-0.00033460486602025774,1.3306244885776173e-05,10,0,0
Cell 17,Cell 15 v9,Bi-214,10,-0.0004218330641078072,2.035390203872063e-05,10,0,0
Cell 17,Cell 15 v9,continuum_1700_2000,10,-0.0007821813851377091,2.205310895729128e-05,10,0,0
Cell 17,Cell 15 v9,SE,10,-0.001333830674825856,9.424505274477554e-05,10,0,0
Cell 17,Cell 15 v9,continuum_2200_2400,10,-0.0003652878034981044,6.370142877037483e-05,10,0,0
Cell 17,Cell 15 v9,FE,10,-0.00045645540259106333,6.21486311861485e-05,10,0,0
Cell 17,Cell 15 v9,equal_region_mean,10,-0.0006719176660321124,3.6831867802239614e-05,10,0,0
Cell 15 v5,Cell 15 v9,full,10,-0.00014475859212378372,1.9219977497167658e-05,10,0,0
Cell 15 v5,Cell 15 v9,Bi-214,10,-0.002291725513979348,0.00011230038113019784,10,0,0
Cell 15 v5,Cell 15 v9,continuum_1700_2000,10,0.0007892561734845843,8.655789735546067e-05,0,0,10
Cell 15 v5,Cell 15 v9,SE,10,0.003642691974557194,0.00025817395596280956,0,0,10
Cell 15 v5,Cell 15 v9,continuum_2200_2400,10,-0.0007223878258517613,0.00011441703002198349,10,0,0
Cell 15 v5,Cell 15 v9,FE,10,-0.0024570086102116916,8.042253627481767e-05,10,0,0
Cell 15 v5,Cell 15 v9,equal_region_mean,10,-0.00020783476040021898,6.029192442260348e-05,10,0,0
