model,model_id,training_seed_count,context_draw_count,fixed_dropout_seed,region,brier_mean,brier_std_across_context,brier_min,brier_max,log_loss_mean,log_loss_std_across_context
Cell 15 v9,v9,1,10,10100,full,0.22595523780229673,5.241650105739716e-05,0.2258726419281956,0.2260463358055841,0.6447500733996592,0.00013855548412860806
Cell 15 v9,v9,1,10,10100,Bi-214,0.2827157503242811,0.00015878652539451168,0.28251193353514836,0.2829855107129258,0.7948308751197634,0.0005494746965971267
Cell 15 v9,v9,1,10,10100,continuum_1700_2000,0.249909593881952,1.67710704627274e-05,0.24987908666290867,0.2499394583971118,0.6929732729120357,3.3588173326881755e-05
Cell 15 v9,v9,1,10,10100,SE,0.20175274993175404,0.00010340831821571808,0.20163344329247396,0.20190649940988645,0.5958001532983489,0.00023940874841338732
Cell 15 v9,v9,1,10,10100,continuum_2200_2400,0.2516129811841449,7.752077437881894e-05,0.25153979054867026,0.2517378127862344,0.696375780757205,0.00015517472333473955
Cell 15 v9,v9,1,10,10100,FE,0.18829600245017103,0.00021271227763701428,0.18802004196763605,0.1885562484093549,0.5708674492502435,0.0008618117207760326
Cell 15 v9,v9,1,10,10100,equal_region_mean,0.23485741555446063,4.6728047023126e-05,0.2347980570734154,0.23492000614298414,,
Cell 15 v5,v5,1,10,10100,full,0.22581047921017294,5.7167410107919755e-05,0.2257168698995253,0.22591762040936858,0.6441280744003567,0.00013914977766019346
Cell 15 v5,v5,1,10,10100,Bi-214,0.28042402481030176,0.00018173946966842236,0.2800742673638056,0.2806552358603752,0.7855752751989349,0.0006073733487494536
Cell 15 v5,v5,1,10,10100,continuum_1700_2000,0.25069885005543663,7.640583694268525e-05,0.25060248380058886,0.25084186140142634,0.6945505301284196,0.00015300543339789752
Cell 15 v5,v5,1,10,10100,SE,0.20539544190631126,0.00034653480987025274,0.2050670184497548,0.20611286534919449,0.6036732017861072,0.0004432926406043712
Cell 15 v5,v5,1,10,10100,continuum_2200_2400,0.2508905933582931,5.875726513387695e-05,0.250789564032568,0.25095638011577637,0.6949742692409873,0.00012139323735542643
Cell 15 v5,v5,1,10,10100,FE,0.1858389938399593,0.0001915510963030972,0.18548586378528137,0.1861046085802763,0.5621411671971186,0.0007631588876758814
Cell 15 v5,v5,1,10,10100,equal_region_mean,0.23464958079406043,6.421128995916058e-05,0.23455988152468915,0.23474931904958404,,
Cell 17,cell17,1,10,10100,full,0.22562063293627652,4.5009340254116144e-05,0.22555564905082898,0.2256843400351902,0.6438876686849349,0.00013635714329459598
Cell 17,cell17,1,10,10100,Bi-214,0.28229391726017333,0.0001773679136213375,0.28205253626920507,0.2825951101343217,0.7903977970031312,0.0005998865254803465
Cell 17,cell17,1,10,10100,continuum_1700_2000,0.2491274124968143,1.473184016558917e-05,0.249094343692873,0.24914827357421165,0.6914034014312185,2.9546128509319158e-05
Cell 17,cell17,1,10,10100,SE,0.2004189192569282,1.7289606726442646e-05,0.20038194013923036,0.2004406879770793,0.5920173067930479,7.956367532746976e-05
Cell 17,cell17,1,10,10100,continuum_2200_2400,0.2512476933806468,2.3388636124349167e-05,0.2512128089783744,0.2512823318842936,0.6956467356573328,4.660816813228684e-05
Cell 17,cell17,1,10,10100,FE,0.18783954704757994,0.000274323832916743,0.1874687008314737,0.1881731884403852,0.5689966076196749,0.0010850083231534406
Cell 17,cell17,1,10,10100,equal_region_mean,0.2341854978884285,6.678918553307689e-05,0.23408155038560752,0.23428601293851128,,
