model,model_id,peak,status,center_events,sideband_events,absolute_contrast_error_mean,absolute_contrast_error_std_across_context
Cell 15 v9,v9,DEP,inconclusive,10,7,0.15467086068987843,0.00030026399653230616
Cell 15 v9,v9,Bi-214,supported,11,10,0.15928510935116902,0.0003891222422726024
Cell 15 v9,v9,SE,supported,21,15,0.13048878771960737,0.00035636713317231374
Cell 15 v9,v9,FE,supported,163,4,0.2651916048594413,0.000863054774128158
Cell 15 v5,v5,DEP,inconclusive,10,7,0.15971200471264974,0.0001412517560730032
Cell 15 v5,v5,Bi-214,supported,11,10,0.1564455288406123,0.00043101911302271823
Cell 15 v5,v5,SE,supported,21,15,0.15354444960852465,0.0007737698329479173
Cell 15 v5,v5,FE,supported,163,4,0.21718457071140315,0.002041664435829465
Cell 17,cell17,DEP,inconclusive,10,7,0.15937567563227245,0.0003696051598754119
Cell 17,cell17,Bi-214,supported,11,10,0.15675094624080443,0.0006483489769364937
Cell 17,cell17,SE,supported,21,15,0.13101019657637392,0.0008023840814796265
Cell 17,cell17,FE,supported,163,4,0.24888775157459953,0.0011564688617987289
