architecture,architecture_id,training_seed_count,context_draws_per_training_seed,region,mean_of_training_seed_means,std_across_training_seed_means
M2 attentive PE10,m2,3,10,full,0.229213760538345,0.000854962633488721
M2 attentive PE10,m2,3,10,DEP,0.20544731381353665,0.0017828065899143728
M2 attentive PE10,m2,3,10,Bi-214,0.23208335311994943,0.0018406352285446927
M2 attentive PE10,m2,3,10,continuum_1700_2000,0.26231069739592966,0.0020533454731709957
M2 attentive PE10,m2,3,10,SE,0.1972423629231662,0.0008146869196929364
M2 attentive PE10,m2,3,10,continuum_2200_2400,0.25687890350976855,0.0019287705697397107
M2 attentive PE10,m2,3,10,FE,0.16348071250902776,0.0004708269836461588
M2 attentive PE10,m2,3,10,sparse_tail,0.09664800186851219,0.0033799405951326403
M2 attentive PE10,m2,3,10,equal_region_mean,0.20201304930569863,0.001321641572570722
Cell 17,cell17,3,10,full,0.22364597352673887,0.00021555359583413418
Cell 17,cell17,3,10,DEP,0.20065650683372285,0.0009336996403383172
Cell 17,cell17,3,10,Bi-214,0.21992116885931365,0.0011507622153407835
Cell 17,cell17,3,10,continuum_1700_2000,0.2502038384602117,0.0004645175122173445
Cell 17,cell17,3,10,SE,0.19668447586279494,0.0005682962668705333
Cell 17,cell17,3,10,continuum_2200_2400,0.2492115603202004,0.0006929694421043
Cell 17,cell17,3,10,FE,0.16284715133748656,0.00010711254687627822
Cell 17,cell17,3,10,sparse_tail,0.052411980611328866,0.005136562549263962
Cell 17,cell17,3,10,equal_region_mean,0.19027666889786557,0.0005517159355126827
