architecture,architecture_id,training_seed,context_draw_count,region,brier_mean_across_context,brier_std_across_context,brier_min,brier_max
M2 attentive PE10,m2,0,10,full,0.23020072082958126,0.00042681379156304233,0.22935353709103282,0.230582430663499
M2 attentive PE10,m2,0,10,DEP,0.20741637697456455,0.000627526059654316,0.20619838357266307,0.20799983674750205
M2 attentive PE10,m2,0,10,Bi-214,0.2338514864070404,0.0006762509412772668,0.23247995355104845,0.23443589783825616
M2 attentive PE10,m2,0,10,continuum_1700_2000,0.26458684716981323,0.0005281979135239791,0.2635441912368628,0.2650868257388574
M2 attentive PE10,m2,0,10,SE,0.19808083569417273,0.0003637025330020222,0.19736868897870166,0.19840317122547443
M2 attentive PE10,m2,0,10,continuum_2200_2400,0.25861190493550484,0.0009852915495022927,0.25666233382089465,0.2595475506619959
M2 attentive PE10,m2,0,10,FE,0.1640237423656467,9.217586881535387e-05,0.16386552283188596,0.16412577742004947
M2 attentive PE10,m2,0,10,sparse_tail,0.09578125990156143,0.0025265836869318766,0.09339486377257196,0.10102547303898038
M2 attentive PE10,m2,0,10,equal_region_mean,0.20319320763547197,0.00013078308494773202,0.20297153293524106,0.2033597200790442
M2 attentive PE10,m2,1,10,full,0.22874010820914945,0.00025317791815115097,0.22823479548943526,0.22905526550829858
M2 attentive PE10,m2,1,10,DEP,0.2049828707235261,0.00047216016558231945,0.2040357481220821,0.20549935348033685
M2 attentive PE10,m2,1,10,Bi-214,0.23222066620690116,0.00044185827876081114,0.23129831275928073,0.23266157019893474
M2 attentive PE10,m2,1,10,continuum_1700_2000,0.26059765791240025,0.00038011720438184654,0.2599220329175404,0.2611485878295509
M2 attentive PE10,m2,1,10,SE,0.19719250078734632,0.00017582740963650913,0.19684760113617128,0.19737738547613648
M2 attentive PE10,m2,1,10,continuum_2200_2400,0.2572238834837012,0.0006905866049853506,0.2558922930247145,0.25810970456411686
M2 attentive PE10,m2,1,10,FE,0.16323193476710166,0.00010909899025144866,0.16312160414408147,0.16344524431809732
M2 attentive PE10,m2,1,10,sparse_tail,0.10037691031933191,0.0026496275888043914,0.09759824797541611,0.10538458755762413
M2 attentive PE10,m2,1,10,equal_region_mean,0.2022609177429012,0.00014814937927386745,0.20196637719697041,0.2024595679772314
M2 attentive PE10,m2,2,10,full,0.22870045257630428,0.00019880730060427645,0.2283248332458591,0.22891537803097073
M2 attentive PE10,m2,2,10,DEP,0.20394269374251922,0.00039060124645174277,0.20320173943024394,0.20435068501400575
M2 attentive PE10,m2,2,10,Bi-214,0.2301779067459068,0.0004141720144986167,0.2293378915841304,0.23054136234053244
M2 attentive PE10,m2,2,10,continuum_1700_2000,0.26174758710557555,0.0003885739889695144,0.2610332528841627,0.26215205315791634
M2 attentive PE10,m2,2,10,SE,0.19645375228797946,0.00012563657532327618,0.19621569384403353,0.196588369126114
M2 attentive PE10,m2,2,10,continuum_2200_2400,0.25480092211009975,0.0005983531203993885,0.25366702258793994,0.25546017193556925
M2 attentive PE10,m2,2,10,FE,0.16318646039433488,0.00015174493598252807,0.16304940906966636,0.1635250113449425
M2 attentive PE10,m2,2,10,sparse_tail,0.09378583538464323,0.003145123509844718,0.09027320756784779,0.10029562244103851
M2 attentive PE10,m2,2,10,equal_region_mean,0.20058502253872268,0.00021865964155521331,0.200241108902368,0.20103946201664163
Cell 17,cell17,0,10,full,0.223810662164522,3.451250868301266e-05,0.22376236561141916,0.22386162246642027
Cell 17,cell17,0,10,DEP,0.2016838803738533,7.241427108871056e-05,0.20154155602420515,0.20180072107072916
Cell 17,cell17,0,10,Bi-214,0.22059379065153467,4.187134576252671e-05,0.22050569373388887,0.22066821387084648
Cell 17,cell17,0,10,continuum_1700_2000,0.24972581831172289,1.998459388421764e-06,0.24972316379368575,0.24972947422537445
Cell 17,cell17,0,10,SE,0.19605012015940876,3.826521899556285e-06,0.19604500082899212,0.19605640693684978
Cell 17,cell17,0,10,continuum_2200_2400,0.250007584798012,6.728778369904352e-05,0.2499341633301937,0.2501106074477837
Cell 17,cell17,0,10,FE,0.16293946748247595,0.00010223403109949268,0.16285268383439502,0.1631057787309592
Cell 17,cell17,0,10,sparse_tail,0.046483129784461716,0.002659451237685506,0.04180384565719069,0.049308698280289706
Cell 17,cell17,0,10,equal_region_mean,0.18964054165163846,0.00036574099996921743,0.18900684117692945,0.19003039947969366
Cell 17,cell17,1,10,full,0.22340200745152758,3.471166594074069e-05,0.22335211781566983,0.22344406802089703
Cell 17,cell17,1,10,DEP,0.1998596721780081,7.052002945007254e-05,0.1997201422268089,0.1999782156124304
Cell 17,cell17,1,10,Bi-214,0.22057729870185105,0.0002554307209560019,0.2202633773092425,0.22122203977030339
Cell 17,cell17,1,10,continuum_1700_2000,0.25023213766054203,2.4125218889520408e-05,0.2501922177992589,0.25028444167077984
Cell 17,cell17,1,10,SE,0.19685620517332988,4.687329667529538e-05,0.19675762189619064,0.19691094084577343
Cell 17,cell17,1,10,continuum_2200_2400,0.24874308233973252,2.6228453091759993e-05,0.24871635037995168,0.24878589786955535
Cell 17,cell17,1,10,FE,0.16287227716730543,0.00037244851550833626,0.16234403935555453,0.1634608657447093
Cell 17,cell17,1,10,sparse_tail,0.055232112133454844,0.0038905801990434447,0.04857194098911985,0.05971222727025411
Cell 17,cell17,1,10,equal_region_mean,0.190624683622032,0.0006032482960602297,0.189579491897733,0.19134030325234616
Cell 17,cell17,2,10,full,0.2237252509641671,9.490108355823697e-06,0.22371300406774802,0.22374538427683804
Cell 17,cell17,2,10,DEP,0.20042596794930723,8.116463242653261e-05,0.20025159251903576,0.20054867706077417
Cell 17,cell17,2,10,Bi-214,0.2185924172245552,0.00017773910601235243,0.2183915591023185,0.21904577641724376
Cell 17,cell17,2,10,continuum_1700_2000,0.2506535594083702,2.9012057274483305e-05,0.25060428616560226,0.2507105488895973
Cell 17,cell17,2,10,SE,0.19714710225564622,1.395865854561519e-05,0.19712042734180987,0.197171521497512
Cell 17,cell17,2,10,continuum_2200_2400,0.24888401382285658,3.6968989054612335e-05,0.2488466156890562,0.2489421900679297
Cell 17,cell17,2,10,FE,0.16272970936267833,3.1595130633955643e-05,0.16270062170135263,0.1628055554148662
Cell 17,cell17,2,10,sparse_tail,0.05552069991607002,0.0036034946292118346,0.0490071143170447,0.05931564180900113
Cell 17,cell17,2,10,equal_region_mean,0.19056478141992622,0.0005158094407783476,0.18962888134460193,0.19111045087619952
