method,architecture_id,energy_kev,mean_of_training_seed_context_means,sd_across_training_seed_context_means,mean_context_sd_within_training_seed,training_seed_count,context_draws_per_seed,mc_passes_per_cell
Attentive CNP + PE,m2,500.0,0.38392335069179534,0.02711720468353095,0.0035442022050881893,3,10,50
Attentive CNP + PE,m2,501.0,0.37590540703137715,0.026955606536857333,0.003914144239489198,3,10,50
Attentive CNP + PE,m2,502.0,0.3688772811790308,0.012571119599184681,0.003890261775869526,3,10,50
Attentive CNP + PE,m2,503.0,0.37211168567339575,0.008063638556483394,0.003750339512428934,3,10,50
Attentive CNP + PE,m2,504.0,0.38973753027121233,0.019627935910289353,0.004150760204666862,3,10,50
Attentive CNP + PE,m2,505.0,0.38155052622159324,0.01553859626190636,0.003926175139274624,3,10,50
Attentive CNP + PE,m2,506.0,0.37244385172923405,0.0011611217947944392,0.0038803383032105874,3,10,50
Attentive CNP + PE,m2,507.0,0.37121234613656995,0.0009001295630735538,0.0036126725391668287,3,10,50
Attentive CNP + PE,m2,508.0,0.35240031822522483,0.0033155714222748984,0.003875463959004123,3,10,50
Attentive CNP + PE,m2,509.0,0.3205140155454477,0.019203418575995078,0.0032591185745340476,3,10,50
Attentive CNP + PE,m2,510.0,0.2713412119646867,0.022362400929228997,0.002597380932241021,3,10,50
Attentive CNP + PE,m2,511.0,0.23762506074706713,0.01673744166396805,0.0021743763418474054,3,10,50
Attentive CNP + PE,m2,512.0,0.2663780868848165,0.01421338575152897,0.0025040431274331153,3,10,50
Attentive CNP + PE,m2,513.0,0.2964513303538164,0.013537437932570413,0.00347969158842505,3,10,50
Attentive CNP + PE,m2,514.0,0.34636216258009284,0.008941880157563956,0.0038641534168903785,3,10,50
Attentive CNP + PE,m2,515.0,0.3669763111472131,0.006072528501513889,0.003935661164224909,3,10,50
Attentive CNP + PE,m2,516.0,0.368859141767025,0.007093300232316152,0.003587217757050555,3,10,50
Attentive CNP + PE,m2,517.0,0.37507383058468496,0.014389296801140754,0.0035638188300126743,3,10,50
