method,architecture_id,training_seed,context_seed,region_id,region,valid_bin_count,excluded_bin_count,events_in_valid_bins,mae_percentage_points,rmse_percentage_points
Attentive CNP + PE,m2,0,100,full,Full 500-3000 keV,442,58,114299,8.92589607504761,11.161436237947719
Attentive CNP + PE,m2,0,100,DEP,Tl-208 DEP 1592 keV,6,0,1323,7.094211960510914,8.221034868151854
Attentive CNP + PE,m2,0,100,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,8.934031977446978,10.50617832348963
Attentive CNP + PE,m2,0,100,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,8.133872715516437,10.088234137358427
Attentive CNP + PE,m2,0,100,SE,Tl-208 SE 2103 keV,6,0,2023,6.468680053489473,8.010932395052302
Attentive CNP + PE,m2,0,100,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,8.56774451799428,9.72718990470627
Attentive CNP + PE,m2,0,100,FE,Tl-208 FE 2614 keV,5,1,8709,6.5074008452527625,7.96518596468734
Attentive CNP + PE,m2,0,100,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,24.23981022144931,25.971045689295853
Attentive CNP + PE,m2,0,101,full,Full 500-3000 keV,442,58,114299,9.123389874164047,11.340211867959221
Attentive CNP + PE,m2,0,101,DEP,Tl-208 DEP 1592 keV,6,0,1323,7.172405043608561,8.424823823145234
Attentive CNP + PE,m2,0,101,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,9.115138260739249,10.784236162205987
Attentive CNP + PE,m2,0,101,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,8.35750841249468,10.328586026655486
Attentive CNP + PE,m2,0,101,SE,Tl-208 SE 2103 keV,6,0,2023,6.759195212462461,8.31388747338843
Attentive CNP + PE,m2,0,101,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,8.981152398927064,10.15472143992691
Attentive CNP + PE,m2,0,101,FE,Tl-208 FE 2614 keV,5,1,8709,6.6854819405025205,8.202628545010647
Attentive CNP + PE,m2,0,101,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,23.97732187551268,25.728615909482315
Attentive CNP + PE,m2,0,102,full,Full 500-3000 keV,442,58,114299,9.025469851507605,11.269737834069044
Attentive CNP + PE,m2,0,102,DEP,Tl-208 DEP 1592 keV,6,0,1323,7.071118167578634,8.244833065498774
Attentive CNP + PE,m2,0,102,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,9.008234312045165,10.6994128708114
Attentive CNP + PE,m2,0,102,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,8.265500683198814,10.236646555422404
Attentive CNP + PE,m2,0,102,SE,Tl-208 SE 2103 keV,6,0,2023,6.608158274363827,8.126650152663663
Attentive CNP + PE,m2,0,102,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,8.833401450032023,10.020697125337465
Attentive CNP + PE,m2,0,102,FE,Tl-208 FE 2614 keV,5,1,8709,6.646353479748424,8.177050693883785
Attentive CNP + PE,m2,0,102,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,24.22625279131375,26.00192234819194
Attentive CNP + PE,m2,0,103,full,Full 500-3000 keV,442,58,114299,9.165440036933546,11.36952855304536
Attentive CNP + PE,m2,0,103,DEP,Tl-208 DEP 1592 keV,6,0,1323,7.222180703926156,8.49979952836374
Attentive CNP + PE,m2,0,103,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,9.165381277619026,10.809040117820924
Attentive CNP + PE,m2,0,103,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,8.385213429165244,10.354733853341239
Attentive CNP + PE,m2,0,103,SE,Tl-208 SE 2103 keV,6,0,2023,6.836286842695885,8.373190708322596
Attentive CNP + PE,m2,0,103,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,8.995098217862761,10.161740309741568
Attentive CNP + PE,m2,0,103,FE,Tl-208 FE 2614 keV,5,1,8709,6.687097898104681,8.193857926036761
Attentive CNP + PE,m2,0,103,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,23.87925206951122,25.613883277330125
Attentive CNP + PE,m2,0,104,full,Full 500-3000 keV,442,58,114299,8.373921448026083,10.708803433534847
Attentive CNP + PE,m2,0,104,DEP,Tl-208 DEP 1592 keV,6,0,1323,6.737084415786164,7.551581146559455
Attentive CNP + PE,m2,0,104,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,8.323404757845655,9.797808314550835
Attentive CNP + PE,m2,0,104,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,7.556117003025063,9.493378921505627
Attentive CNP + PE,m2,0,104,SE,Tl-208 SE 2103 keV,6,0,2023,5.61928966794821,7.104060634808899
Attentive CNP + PE,m2,0,104,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,7.569812752962384,8.706669977016485
Attentive CNP + PE,m2,0,104,FE,Tl-208 FE 2614 keV,5,1,8709,6.120265215674976,7.491720948687923
