method,architecture_id,region,training_seed_count,context_draws_per_seed,mae_percentage_points_mean_of_training_seed_means,mae_percentage_points_sd_across_training_seed_means,mae_percentage_points_mean_context_sd_within_seed,rmse_percentage_points_mean_of_training_seed_means,rmse_percentage_points_sd_across_training_seed_means,rmse_percentage_points_mean_context_sd_within_seed
Attentive CNP + PE,m2,Full 500-3000 keV,3,10,8.413662977221234,0.49895934352475857,0.2078325983132748,10.764796216664692,0.4454910859653858,0.16204205868473548
Attentive CNP + PE,m2,Tl-208 DEP 1592 keV,3,10,5.9058123814106755,1.1481561157016726,0.183222608896486,7.09091835678007,1.224385461663955,0.2710547605707855
Attentive CNP + PE,m2,Bi-212 1620.74-keV feature,3,10,8.187672517256848,0.6643153016115108,0.22625463944824933,9.78619939928202,0.8323017778097151,0.3094788025944364
Attentive CNP + PE,m2,Continuum 1700-2000 keV,3,10,7.42420992546286,0.6286988990365575,0.22357627840620145,9.235717979502807,0.7572064209880025,0.24875261124987336
Attentive CNP + PE,m2,Tl-208 SE 2103 keV,3,10,5.235482850692459,1.1090962303123868,0.2398182257138103,6.633692370365144,1.3149509740771617,0.3191613866373933
Attentive CNP + PE,m2,Continuum 2200-2400 keV,3,10,7.342376050219916,1.2706906472688497,0.44059401242174673,8.616215905871266,1.2653133570277828,0.4478063040666973
Attentive CNP + PE,m2,Tl-208 FE 2614 keV,3,10,4.900141250807897,1.4262381476407733,0.2398484660834079,5.924900912014614,1.8551932849096318,0.2773029202542319
Attentive CNP + PE,m2,Sparse tail 2700-3000 keV,3,10,23.18867779345307,1.2605338359385587,0.5274792605473398,26.013834955149793,2.1207450756222075,0.5428034567658272
Density-guided CNP (ours),cell17,Full 500-3000 keV,3,10,4.408320894378325,0.0582360915505393,0.032966982354644125,5.8268740170174835,0.07057121479628228,0.0954511689615412
Density-guided CNP (ours),cell17,Tl-208 DEP 1592 keV,3,10,3.049943760872336,0.4187767045355218,0.0399096213499681,3.6424788496074143,0.34965294797279384,0.024937376325301283
Density-guided CNP (ours),cell17,Bi-212 1620.74-keV feature,3,10,3.389533324407456,0.8986543575709699,0.03819179257662883,4.058634508982883,1.1615664750129584,0.06895069474794413
Density-guided CNP (ours),cell17,Continuum 1700-2000 keV,3,10,4.795589951432286,0.4977186834036492,0.019684836259147343,5.541018338134035,0.37597154126410326,0.017653445457011422
Density-guided CNP (ours),cell17,Tl-208 SE 2103 keV,3,10,3.1273861063668194,0.20959293114821967,0.02162568570481149,4.135161988587992,0.5757548621964917,0.04005751612036089
Density-guided CNP (ours),cell17,Continuum 2200-2400 keV,3,10,3.368123142882116,0.5861240775776273,0.031600577645996004,4.051819574875804,0.7385234923045207,0.04294027896818068
Density-guided CNP (ours),cell17,Tl-208 FE 2614 keV,3,10,4.353182741834293,0.2045905829635979,0.28308157333153644,5.428492074770285,0.5375354406116729,0.23009071160825148
Density-guided CNP (ours),cell17,Sparse tail 2700-3000 keV,3,10,11.931524050598625,1.1528705971713238,1.023396529331307,15.366034390521037,1.2438114595022127,1.0408563677231024
