method,architecture_id,training_seed,context_seed,feature_id,feature,status,center_event_count,sideband_event_count,empirical_contrast_percentage_points,predicted_contrast_percentage_points,absolute_contrast_error_percentage_points
Attentive CNP + PE,m2,0,100,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,18.90774522578291,2.110912112214758
Attentive CNP + PE,m2,0,100,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,-22.278716249001405,3.2684420841369466
Attentive CNP + PE,m2,0,100,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-17.103102363349983,11.370045897045214
Attentive CNP + PE,m2,0,100,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,3.770541513710607,6.254154108718055
Attentive CNP + PE,m2,0,101,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,18.806397213495384,2.2122601245022855
Attentive CNP + PE,m2,0,101,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,-21.959480003968824,3.5876783291695302
Attentive CNP + PE,m2,0,101,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-16.80325465269287,11.669893607702326
Attentive CNP + PE,m2,0,101,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,3.755220837656492,6.23883343266394
Attentive CNP + PE,m2,0,102,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,18.737554693440217,2.2811026445574534
Attentive CNP + PE,m2,0,102,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,-21.954038669438958,3.5931196636993956
Attentive CNP + PE,m2,0,102,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-16.833982772251257,11.63916548814394
Attentive CNP + PE,m2,0,102,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,3.8343731285121723,6.31798572351962
Attentive CNP + PE,m2,0,103,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,18.875078461770734,2.143578876226937
Attentive CNP + PE,m2,0,103,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,-22.036102700685095,3.5110556324532585
Attentive CNP + PE,m2,0,103,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-16.868379127990003,11.604769132405194
Attentive CNP + PE,m2,0,103,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,3.7032769864486226,6.186889581456071
Attentive CNP + PE,m2,0,104,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,18.812835962823904,2.2058213751737665
Attentive CNP + PE,m2,0,104,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,-22.800711248057716,2.746447085080639
Attentive CNP + PE,m2,0,104,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-17.63356443089655,10.83958382949865
Attentive CNP + PE,m2,0,104,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,3.92066084036799,6.404273435375438
Attentive CNP + PE,m2,0,105,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,18.871681488174595,2.146975849823074
