window,window_weighting,supported_bin_count,target_events_in_supported_bins,continuum_RMSE_pp,continuum_bias_pp,continuum_centered_RMS_pp,continuum_pull_RMS,continuum_pull_mean,continuum_pull_centered_RMS,subset_id,ordering_id,budget_label,training_budget_nominal_events,training_budget_sampling_eligible_events,method,architecture_id,comparison_role,training_seed,context_seed,context_size,run_id,source_event_predictions_sha256,source_curve_sha256,headline_original_5k
continuum_1700_2000,equal bins within this window,60,8230,5.6323983587330915,-2.6929251249771595,4.946924857194211,1.345923521759422,-0.6407346456822695,1.1836254645147264,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,100,500,20260909-phase2-b2000-m0-seed0-final-ctx-s100-n500-drop10100-mc50,0fbae80cd5b52cf7e606ea25e5b702a1e398458858f00f3c98ca6dfec9850c9f,1420663af4eaaac49e1ad7992023d3aae165aac3b39f1af3ce61b66a27543d14,False
continuum_2200_2400,equal bins within this window,40,9093,7.793075337528145,-6.780672943114604,3.841158374097965,2.435759982788878,-2.087847143809198,1.2545202261595665,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,100,500,20260909-phase2-b2000-m0-seed0-final-ctx-s100-n500-drop10100-mc50,0fbae80cd5b52cf7e606ea25e5b702a1e398458858f00f3c98ca6dfec9850c9f,1420663af4eaaac49e1ad7992023d3aae165aac3b39f1af3ce61b66a27543d14,False
equal_window_mean,equal mean of the two window-specific mean-square quantities before square root; signed bias/pull mean are equal means of window means,100,17323,6.799115180957322,-4.736799034045882,4.428688473895455,1.967795317122815,-1.3642908947457337,1.219588094007799,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,100,500,20260909-phase2-b2000-m0-seed0-final-ctx-s100-n500-drop10100-mc50,0fbae80cd5b52cf7e606ea25e5b702a1e398458858f00f3c98ca6dfec9850c9f,1420663af4eaaac49e1ad7992023d3aae165aac3b39f1af3ce61b66a27543d14,False
continuum_1700_2000,equal bins within this window,60,8230,5.346326767408235,-2.032476513945318,4.944921548838412,1.2779010889811144,-0.48459264381369554,1.182455564822954,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,101,500,20260909-phase2-b2000-m0-seed0-final-ctx-s101-n500-drop10100-mc50,487ea3dc61738b6de41389aa3ebbd8122b8d118dad4360008e9a23610f048669,578d0498e18f665ff9b8d9419ec60e1805aba903598bb8415466e316a07c2ac5,False
continuum_2200_2400,equal bins within this window,40,9093,7.095191170459356,-5.965140137858042,3.8417236861959942,2.2215636300974935,-1.8402591613343726,1.2445043919958112,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,101,500,20260909-phase2-b2000-m0-seed0-final-ctx-s101-n500-drop10100-mc50,487ea3dc61738b6de41389aa3ebbd8122b8d118dad4360008e9a23610f048669,578d0498e18f665ff9b8d9419ec60e1805aba903598bb8415466e316a07c2ac5,False
equal_window_mean,equal mean of the two window-specific mean-square quantities before square root; signed bias/pull mean are equal means of window means,100,17323,6.281916413375388,-3.9988083259016802,4.4278149241610025,1.812232898359241,-1.162425902574034,1.21387650617302,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,101,500,20260909-phase2-b2000-m0-seed0-final-ctx-s101-n500-drop10100-mc50,487ea3dc61738b6de41389aa3ebbd8122b8d118dad4360008e9a23610f048669,578d0498e18f665ff9b8d9419ec60e1805aba903598bb8415466e316a07c2ac5,False
continuum_1700_2000,equal bins within this window,60,8230,5.665145030574008,-2.7604074303998694,4.947122298430732,1.353695332212323,-0.6566879311869691,1.1837449106487472,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,102,500,20260909-phase2-b2000-m0-seed0-final-ctx-s102-n500-drop10100-mc50,c886032f6c45bc861c7974a9ded3602df9eab57d5b5377011f5d03cb6e443641,8c68230daecc0f7298011332ad033f5d6c391c34f9115c957e5779c731877d0e,False
continuum_2200_2400,equal bins within this window,40,9093,7.860139865029796,-6.857527605096228,3.841368746055736,2.456191205132976,-2.1111318594987427,1.2553873935889122,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,102,500,20260909-phase2-b2000-m0-seed0-final-ctx-s102-n500-drop10100-mc50,c886032f6c45bc861c7974a9ded3602df9eab57d5b5377011f5d03cb6e443641,8c68230daecc0f7298011332ad033f5d6c391c34f9115c957e5779c731877d0e,False
equal_window_mean,equal mean of the two window-specific mean-square quantities before square root; signed bias/pull mean are equal means of window means,100,17323,6.851119139062901,-4.808967517748049,4.42888997824536,1.9830993783250013,-1.383909895342856,1.2200921115778047,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,102,500,20260909-phase2-b2000-m0-seed0-final-ctx-s102-n500-drop10100-mc50,c886032f6c45bc861c7974a9ded3602df9eab57d5b5377011f5d03cb6e443641,8c68230daecc0f7298011332ad033f5d6c391c34f9115c957e5779c731877d0e,False
continuum_1700_2000,equal bins within this window,60,8230,5.026872008026413,-0.9221302319358072,4.941570400230024,1.2013054549085818,-0.22207959524160883,1.1805996143360535,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,103,500,20260909-phase2-b2000-m0-seed0-final-ctx-s103-n500-drop10100-mc50,e8d8fbb96d2421eb87cffc94d45309b2693c8b0d280e9604de964c5660ad6b4f,aba1a9173f5452595919085aa9f8d1c30c1c6f2bd4127a44bd0eac3987135f5f,False
continuum_2200_2400,equal bins within this window,40,9093,5.9322600139476505,-4.515326346146437,3.8475364664780036,1.8615317201270316,-1.3996040763547977,1.2273584539530975,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,103,500,20260909-phase2-b2000-m0-seed0-final-ctx-s103-n500-drop10100-mc50,e8d8fbb96d2421eb87cffc94d45309b2693c8b0d280e9604de964c5660ad6b4f,aba1a9173f5452595919085aa9f8d1c30c1c6f2bd4127a44bd0eac3987135f5f,False
equal_window_mean,equal mean of the two window-specific mean-square quantities before square root; signed bias/pull mean are equal means of window means,100,17323,5.498233855437657,-2.7187282890411217,4.4284678434706715,1.5665942584205106,-0.8108418357982032,1.2042060089246722,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,103,500,20260909-phase2-b2000-m0-seed0-final-ctx-s103-n500-drop10100-mc50,e8d8fbb96d2421eb87cffc94d45309b2693c8b0d280e9604de964c5660ad6b4f,aba1a9173f5452595919085aa9f8d1c30c1c6f2bd4127a44bd0eac3987135f5f,False
continuum_1700_2000,equal bins within this window,60,8230,5.200079860187028,-1.6132500144462123,4.943506340970146,1.2429816810953587,-0.385473120278152,1.1816995951093785,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,104,500,20260909-phase2-b2000-m0-seed0-final-ctx-s104-n500-drop10100-mc50,d833c0c52dd1cb0c5003250ea9b73718509750112f9bc46374a7dc17c279002f,df630f9d767fca02debdbd416f9bb6afc16ae4c9f38662474df5913683ab0b24,False
