subset_id,ordering_id,budget_label,training_budget_nominal_events,training_budget_sampling_eligible_events,method,architecture_id,region,threshold_k,coverage_percent_mean,mean_context_sd_within_seed_pp,initialization_sd_across_seed_means_pp,cell_count
original_n2000,original,2k,2000,1895,CNP,m0,overall_500_3000,1,45.36199095022624,1.0686330043544,4.512142686692114,30
original_n2000,original,2k,2000,1895,CNP,m0,overall_500_3000,2,76.93815987933634,1.3627687908798967,7.400173165142017,30
original_n2000,original,2k,2000,1895,CNP,m0,overall_500_3000,3,90.76168929110106,0.9930999187166697,4.235082209701743,30
original_n2000,original,2k,2000,1895,CNP,m0,FE_2614_pm5,1,35.0,23.684678206495903,5.0,30
original_n2000,original,2k,2000,1895,CNP,m0,FE_2614_pm5,2,56.666666666666664,17.568209223157663,5.773502691896258,30
original_n2000,original,2k,2000,1895,CNP,m0,FE_2614_pm5,3,68.33333333333333,16.657394517232834,17.55942292142123,30
original_n2000,original,2k,2000,1895,CNP,m0,SE_2103_pm5,1,0.0,0.0,0.0,30
original_n2000,original,2k,2000,1895,CNP,m0,SE_2103_pm5,2,0.0,0.0,0.0,30
original_n2000,original,2k,2000,1895,CNP,m0,SE_2103_pm5,3,0.0,0.0,0.0,30
original_n2000,original,2k,2000,1895,CNP,m0,DEP_1592_pm5,1,33.333333333333336,0.0,28.86751345948129,30
original_n2000,original,2k,2000,1895,CNP,m0,DEP_1592_pm5,2,50.0,0.0,0.0,30
original_n2000,original,2k,2000,1895,CNP,m0,DEP_1592_pm5,3,50.0,0.0,0.0,30
original_n2000,original,2k,2000,1895,CNP,m0,feature_1620_pm5,1,0.0,0.0,0.0,30
original_n2000,original,2k,2000,1895,CNP,m0,feature_1620_pm5,2,0.0,0.0,0.0,30
original_n2000,original,2k,2000,1895,CNP,m0,feature_1620_pm5,3,0.0,0.0,0.0,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,overall_500_3000,1,42.088989441930615,0.2492763277916128,4.3871183786650505,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,overall_500_3000,2,75.29411764705883,0.3275636391762538,4.439407539874215,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,overall_500_3000,3,90.06033182503772,0.3077347973226686,1.5172434438847104,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,FE_2614_pm5,1,0.0,0.0,0.0,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,FE_2614_pm5,2,0.0,0.0,0.0,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,FE_2614_pm5,3,33.333333333333336,0.0,28.86751345948129,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,SE_2103_pm5,1,0.0,0.0,0.0,30
