row_type,five_k_subset_id,ten_k_subset_id,ten_k_comparator,training_seed,context_seed,region,threshold_k,five_k_ours_coverage_percent,ten_k_comparator_coverage_percent,difference_percentage_points,comparison,five_k_run_id,ten_k_run_id,five_k_source_sha256,ten_k_source_sha256,paired_cell_count,mean_difference_percentage_points,difference_sd_percentage_points,win_count,tie_count,loss_count,pairing_note
paired_cell,original_n5000,original_n10000,CNP,0,100,peak_equal_feature,1,0.0,12.5,-12.5,loss,20260909-phase2-b5000-ours-seed0-final-ctx-s100-n500-drop10100-mc50,20260909-phase3-original_n10000-m0-seed0-final-ctx-s100-n500-drop10100-mc50,f9d47d244d789cc1a4ea0474b2f685936284727f07c4f8ebe0aec60deb0d433e,b8e433b224d177895f977b1c21f195caf21ac36eeaa4fb13e20bdb5832935e1a,,,,,,,
paired_cell,original_n5000,original_n10000,CNP,0,100,peak_equal_feature,2,37.5,25.0,12.5,win,20260909-phase2-b5000-ours-seed0-final-ctx-s100-n500-drop10100-mc50,20260909-phase3-original_n10000-m0-seed0-final-ctx-s100-n500-drop10100-mc50,f9d47d244d789cc1a4ea0474b2f685936284727f07c4f8ebe0aec60deb0d433e,b8e433b224d177895f977b1c21f195caf21ac36eeaa4fb13e20bdb5832935e1a,,,,,,,
paired_cell,original_n5000,original_n10000,CNP,0,100,peak_equal_feature,3,50.0,37.5,12.5,win,20260909-phase2-b5000-ours-seed0-final-ctx-s100-n500-drop10100-mc50,20260909-phase3-original_n10000-m0-seed0-final-ctx-s100-n500-drop10100-mc50,f9d47d244d789cc1a4ea0474b2f685936284727f07c4f8ebe0aec60deb0d433e,b8e433b224d177895f977b1c21f195caf21ac36eeaa4fb13e20bdb5832935e1a,,,,,,,
paired_cell,original_n5000,original_n10000,CNP,0,100,continuum_equal_window,1,55.83333333333333,42.5,13.333333333333329,win,20260909-phase2-b5000-ours-seed0-final-ctx-s100-n500-drop10100-mc50,20260909-phase3-original_n10000-m0-seed0-final-ctx-s100-n500-drop10100-mc50,f9d47d244d789cc1a4ea0474b2f685936284727f07c4f8ebe0aec60deb0d433e,b8e433b224d177895f977b1c21f195caf21ac36eeaa4fb13e20bdb5832935e1a,,,,,,,
paired_cell,original_n5000,original_n10000,CNP,0,100,continuum_equal_window,2,89.58333333333334,75.41666666666666,14.166666666666686,win,20260909-phase2-b5000-ours-seed0-final-ctx-s100-n500-drop10100-mc50,20260909-phase3-original_n10000-m0-seed0-final-ctx-s100-n500-drop10100-mc50,f9d47d244d789cc1a4ea0474b2f685936284727f07c4f8ebe0aec60deb0d433e,b8e433b224d177895f977b1c21f195caf21ac36eeaa4fb13e20bdb5832935e1a,,,,,,,
paired_cell,original_n5000,original_n10000,CNP,0,100,continuum_equal_window,3,99.16666666666666,92.5,6.666666666666657,win,20260909-phase2-b5000-ours-seed0-final-ctx-s100-n500-drop10100-mc50,20260909-phase3-original_n10000-m0-seed0-final-ctx-s100-n500-drop10100-mc50,f9d47d244d789cc1a4ea0474b2f685936284727f07c4f8ebe0aec60deb0d433e,b8e433b224d177895f977b1c21f195caf21ac36eeaa4fb13e20bdb5832935e1a,,,,,,,
paired_cell,original_n5000,original_n10000,CNP,0,101,peak_equal_feature,1,12.5,12.5,0.0,tie,20260909-phase2-b5000-ours-seed0-final-ctx-s101-n500-drop10100-mc50,20260909-phase3-original_n10000-m0-seed0-final-ctx-s101-n500-drop10100-mc50,e39bd0c7d379d87b0cf9d52f49198edf817956c45407d1940cae0a5f916f7fb2,9c86ed523405f99e19dd6677342359f425d35875c596d6035a7f2975a41a2202,,,,,,,
paired_cell,original_n5000,original_n10000,CNP,0,101,peak_equal_feature,2,37.5,25.0,12.5,win,20260909-phase2-b5000-ours-seed0-final-ctx-s101-n500-drop10100-mc50,20260909-phase3-original_n10000-m0-seed0-final-ctx-s101-n500-drop10100-mc50,e39bd0c7d379d87b0cf9d52f49198edf817956c45407d1940cae0a5f916f7fb2,9c86ed523405f99e19dd6677342359f425d35875c596d6035a7f2975a41a2202,,,,,,,
paired_cell,original_n5000,original_n10000,CNP,0,101,peak_equal_feature,3,50.0,37.5,12.5,win,20260909-phase2-b5000-ours-seed0-final-ctx-s101-n500-drop10100-mc50,20260909-phase3-original_n10000-m0-seed0-final-ctx-s101-n500-drop10100-mc50,e39bd0c7d379d87b0cf9d52f49198edf817956c45407d1940cae0a5f916f7fb2,9c86ed523405f99e19dd6677342359f425d35875c596d6035a7f2975a41a2202,,,,,,,
paired_cell,original_n5000,original_n10000,CNP,0,101,continuum_equal_window,1,56.66666666666667,42.5,14.166666666666671,win,20260909-phase2-b5000-ours-seed0-final-ctx-s101-n500-drop10100-mc50,20260909-phase3-original_n10000-m0-seed0-final-ctx-s101-n500-drop10100-mc50,e39bd0c7d379d87b0cf9d52f49198edf817956c45407d1940cae0a5f916f7fb2,9c86ed523405f99e19dd6677342359f425d35875c596d6035a7f2975a41a2202,,,,,,,
