window,grid_spacing_kev,mean_absolute_second_difference,curve_kind,subset_id,ordering_id,budget_label,training_budget_nominal_events,training_budget_sampling_eligible_events,method,architecture_id,comparison_role,training_seed,context_seed,context_size,run_id,source_event_predictions_sha256,source_curve_sha256,headline_original_5k,averaged_cell_count
continuum_1700_2000,1.0,0.006351774214898179,individual_cell,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,100,500,20260909-phase2-b2000-m0-seed0-final-ctx-s100-n500-drop10100-mc50,0fbae80cd5b52cf7e606ea25e5b702a1e398458858f00f3c98ca6dfec9850c9f,1420663af4eaaac49e1ad7992023d3aae165aac3b39f1af3ce61b66a27543d14,False,
continuum_2200_2400,1.0,0.006518842406345135,individual_cell,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,100,500,20260909-phase2-b2000-m0-seed0-final-ctx-s100-n500-drop10100-mc50,0fbae80cd5b52cf7e606ea25e5b702a1e398458858f00f3c98ca6dfec9850c9f,1420663af4eaaac49e1ad7992023d3aae165aac3b39f1af3ce61b66a27543d14,False,
continuum_1700_2000,1.0,0.006275756101080239,individual_cell,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,101,500,20260909-phase2-b2000-m0-seed0-final-ctx-s101-n500-drop10100-mc50,487ea3dc61738b6de41389aa3ebbd8122b8d118dad4360008e9a23610f048669,578d0498e18f665ff9b8d9419ec60e1805aba903598bb8415466e316a07c2ac5,False,
continuum_2200_2400,1.0,0.006426651212904183,individual_cell,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,101,500,20260909-phase2-b2000-m0-seed0-final-ctx-s101-n500-drop10100-mc50,487ea3dc61738b6de41389aa3ebbd8122b8d118dad4360008e9a23610f048669,578d0498e18f665ff9b8d9419ec60e1805aba903598bb8415466e316a07c2ac5,False,
continuum_1700_2000,1.0,0.006367250608917849,individual_cell,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,102,500,20260909-phase2-b2000-m0-seed0-final-ctx-s102-n500-drop10100-mc50,c886032f6c45bc861c7974a9ded3602df9eab57d5b5377011f5d03cb6e443641,8c68230daecc0f7298011332ad033f5d6c391c34f9115c957e5779c731877d0e,False,
continuum_2200_2400,1.0,0.006533145844334298,individual_cell,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,102,500,20260909-phase2-b2000-m0-seed0-final-ctx-s102-n500-drop10100-mc50,c886032f6c45bc861c7974a9ded3602df9eab57d5b5377011f5d03cb6e443641,8c68230daecc0f7298011332ad033f5d6c391c34f9115c957e5779c731877d0e,False,
continuum_1700_2000,1.0,0.006129329238561974,individual_cell,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,103,500,20260909-phase2-b2000-m0-seed0-final-ctx-s103-n500-drop10100-mc50,e8d8fbb96d2421eb87cffc94d45309b2693c8b0d280e9604de964c5660ad6b4f,aba1a9173f5452595919085aa9f8d1c30c1c6f2bd4127a44bd0eac3987135f5f,False,
continuum_2200_2400,1.0,0.006249235167045786,individual_cell,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,103,500,20260909-phase2-b2000-m0-seed0-final-ctx-s103-n500-drop10100-mc50,e8d8fbb96d2421eb87cffc94d45309b2693c8b0d280e9604de964c5660ad6b4f,aba1a9173f5452595919085aa9f8d1c30c1c6f2bd4127a44bd0eac3987135f5f,False,
continuum_1700_2000,1.0,0.00621427151180754,individual_cell,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,104,500,20260909-phase2-b2000-m0-seed0-final-ctx-s104-n500-drop10100-mc50,d833c0c52dd1cb0c5003250ea9b73718509750112f9bc46374a7dc17c279002f,df630f9d767fca02debdbd416f9bb6afc16ae4c9f38662474df5913683ab0b24,False,
continuum_2200_2400,1.0,0.006337375716127526,individual_cell,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,104,500,20260909-phase2-b2000-m0-seed0-final-ctx-s104-n500-drop10100-mc50,d833c0c52dd1cb0c5003250ea9b73718509750112f9bc46374a7dc17c279002f,df630f9d767fca02debdbd416f9bb6afc16ae4c9f38662474df5913683ab0b24,False,
