scope,supported_bin_count,excluded_bin_count,target_events_in_supported_bins,reference_pull_mean,reference_pull_sd,reference_pull_RMS,reference_C1,reference_C2,reference_C3,mean_reference_full_width_pp,combined_pull_status,subset_id,ordering_id,budget_label,training_budget_nominal_events,training_budget_sampling_eligible_events,method,architecture_id,comparison_role,training_seed,context_seed,context_size,run_id,source_event_predictions_sha256,source_curve_sha256,headline_original_5k
full_500_3000,442,58,114299,0.9250896162218646,3.0061677586652036,3.142035898749813,0.3665158371040724,0.6447963800904978,0.8257918552036199,8.450284101648322,unavailable: saved per-pass bin means/covariances are absent,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,100,500,20260909-phase2-b2000-m0-seed0-final-ctx-s100-n500-drop10100-mc50,0fbae80cd5b52cf7e606ea25e5b702a1e398458858f00f3c98ca6dfec9850c9f,1420663af4eaaac49e1ad7992023d3aae165aac3b39f1af3ce61b66a27543d14,False
figure1_1500_3000,242,58,43073,0.559797968096014,2.630096790481556,2.6836912186667496,0.4462809917355372,0.7479338842975206,0.9173553719008265,9.42379762621796,unavailable: saved per-pass bin means/covariances are absent,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,100,500,20260909-phase2-b2000-m0-seed0-final-ctx-s100-n500-drop10100-mc50,0fbae80cd5b52cf7e606ea25e5b702a1e398458858f00f3c98ca6dfec9850c9f,1420663af4eaaac49e1ad7992023d3aae165aac3b39f1af3ce61b66a27543d14,False
full_500_3000,442,58,114299,0.7235137633540724,3.073471758839105,3.1540972179226263,0.39592760180995473,0.669683257918552,0.8552036199095022,8.450284101648322,unavailable: saved per-pass bin means/covariances are absent,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,101,500,20260909-phase2-b2000-m0-seed0-final-ctx-s101-n500-drop10100-mc50,487ea3dc61738b6de41389aa3ebbd8122b8d118dad4360008e9a23610f048669,578d0498e18f665ff9b8d9419ec60e1805aba903598bb8415466e316a07c2ac5,False
figure1_1500_3000,242,58,43073,0.380549857197401,2.6296448025766015,2.6516552321166484,0.47520661157024796,0.768595041322314,0.9297520661157025,9.42379762621796,unavailable: saved per-pass bin means/covariances are absent,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,101,500,20260909-phase2-b2000-m0-seed0-final-ctx-s101-n500-drop10100-mc50,487ea3dc61738b6de41389aa3ebbd8122b8d118dad4360008e9a23610f048669,578d0498e18f665ff9b8d9419ec60e1805aba903598bb8415466e316a07c2ac5,False
full_500_3000,442,58,114299,0.9445949682301221,3.000182839377977,3.1421318003380123,0.36877828054298645,0.6402714932126696,0.8235294117647058,8.450284101648322,unavailable: saved per-pass bin means/covariances are absent,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,102,500,20260909-phase2-b2000-m0-seed0-final-ctx-s102-n500-drop10100-mc50,c886032f6c45bc861c7974a9ded3602df9eab57d5b5377011f5d03cb6e443641,8c68230daecc0f7298011332ad033f5d6c391c34f9115c957e5779c731877d0e,False
figure1_1500_3000,242,58,43073,0.5767420564785478,2.6303862063304284,2.687558811959494,0.4462809917355372,0.743801652892562,0.9173553719008265,9.42379762621796,unavailable: saved per-pass bin means/covariances are absent,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,102,500,20260909-phase2-b2000-m0-seed0-final-ctx-s102-n500-drop10100-mc50,c886032f6c45bc861c7974a9ded3602df9eab57d5b5377011f5d03cb6e443641,8c68230daecc0f7298011332ad033f5d6c391c34f9115c957e5779c731877d0e,False
full_500_3000,442,58,114299,0.37199411857067066,3.2097065616479923,3.227582323452415,0.4253393665158371,0.7217194570135747,0.8891402714932126,8.450284101648322,unavailable: saved per-pass bin means/covariances are absent,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,103,500,20260909-phase2-b2000-m0-seed0-final-ctx-s103-n500-drop10100-mc50,e8d8fbb96d2421eb87cffc94d45309b2693c8b0d280e9604de964c5660ad6b4f,aba1a9173f5452595919085aa9f8d1c30c1c6f2bd4127a44bd0eac3987135f5f,False
figure1_1500_3000,242,58,43073,0.06298640598891446,2.643788667611104,2.639072391044901,0.5041322314049587,0.8099173553719008,0.9380165289256198,9.42379762621796,unavailable: saved per-pass bin means/covariances are absent,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,103,500,20260909-phase2-b2000-m0-seed0-final-ctx-s103-n500-drop10100-mc50,e8d8fbb96d2421eb87cffc94d45309b2693c8b0d280e9604de964c5660ad6b4f,aba1a9173f5452595919085aa9f8d1c30c1c6f2bd4127a44bd0eac3987135f5f,False
full_500_3000,442,58,114299,0.5871225486012879,3.1244138153423577,3.175624141866117,0.41855203619909503,0.6990950226244343,0.8687782805429864,8.450284101648322,unavailable: saved per-pass bin means/covariances are absent,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,104,500,20260909-phase2-b2000-m0-seed0-final-ctx-s104-n500-drop10100-mc50,d833c0c52dd1cb0c5003250ea9b73718509750112f9bc46374a7dc17c279002f,df630f9d767fca02debdbd416f9bb6afc16ae4c9f38662474df5913683ab0b24,False
figure1_1500_3000,242,58,43073,0.2554349159255262,2.6333991736180606,2.6403374863587494,0.49586776859504134,0.7975206611570248,0.9297520661157025,9.42379762621796,unavailable: saved per-pass bin means/covariances are absent,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,104,500,20260909-phase2-b2000-m0-seed0-final-ctx-s104-n500-drop10100-mc50,d833c0c52dd1cb0c5003250ea9b73718509750112f9bc46374a7dc17c279002f,df630f9d767fca02debdbd416f9bb6afc16ae4c9f38662474df5913683ab0b24,False
full_500_3000,442,58,114299,0.6112290750741446,3.1169250888573714,3.172828840557182,0.41402714932126694,0.6923076923076923,0.8665158371040724,8.450284101648322,unavailable: saved per-pass bin means/covariances are absent,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,105,500,20260909-phase2-b2000-m0-seed0-final-ctx-s105-n500-drop10100-mc50,dc4a3b0a1d009c2529a673753f0a514b72bf9df423924953800eeae1dce95445,b28a2372be3e58526215e8856ab8ec1cc7ca530616ac201396a48ac1bf8b8d0f,False
figure1_1500_3000,242,58,43073,0.27434258185821536,2.6336118796933743,2.642444813733031,0.49586776859504134,0.7933884297520661,0.9297520661157025,9.42379762621796,unavailable: saved per-pass bin means/covariances are absent,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,105,500,20260909-phase2-b2000-m0-seed0-final-ctx-s105-n500-drop10100-mc50,dc4a3b0a1d009c2529a673753f0a514b72bf9df423924953800eeae1dce95445,b28a2372be3e58526215e8856ab8ec1cc7ca530616ac201396a48ac1bf8b8d0f,False
full_500_3000,442,58,114299,0.6983979178348521,3.0830978574784447,3.157807215697777,0.39592760180995473,0.6719457013574661,0.8597285067873304,8.450284101648322,unavailable: saved per-pass bin means/covariances are absent,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,106,500,20260909-phase2-b2000-m0-seed0-final-ctx-s106-n500-drop10100-mc50,206d6448b8acfe8f96ec933be289467e015ad1c871572c6867788f782b2b49ec,5ff893a90ad8a59583e1ef545270d0756a539ce3340b39de87b69f6d976f8ead,False
figure1_1500_3000,242,58,43073,0.3565401911722086,2.630290067122379,2.648954172613486,0.47520661157024796,0.7727272727272727,0.9297520661157025,9.42379762621796,unavailable: saved per-pass bin means/covariances are absent,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,106,500,20260909-phase2-b2000-m0-seed0-final-ctx-s106-n500-drop10100-mc50,206d6448b8acfe8f96ec933be289467e015ad1c871572c6867788f782b2b49ec,5ff893a90ad8a59583e1ef545270d0756a539ce3340b39de87b69f6d976f8ead,False
full_500_3000,442,58,114299,0.4845064697035395,3.1648114013276105,3.198142745574673,0.4276018099547511,0.7171945701357466,0.8755656108597285,8.450284101648322,unavailable: saved per-pass bin means/covariances are absent,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,107,500,20260909-phase2-b2000-m0-seed0-final-ctx-s107-n500-drop10100-mc50,22f34d08b881358c48683066e478ec1dbbf906dfaf235c973ddbad48f369db93,2f485d06ab3d0ab575ba1c1beba38bc879c393ebf6f49893167e15199ba9d8cb,False
figure1_1500_3000,242,58,43073,0.16218693643694404,2.6381588837470433,2.637693510255947,0.5,0.8181818181818182,0.9338842975206612,9.42379762621796,unavailable: saved per-pass bin means/covariances are absent,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,107,500,20260909-phase2-b2000-m0-seed0-final-ctx-s107-n500-drop10100-mc50,22f34d08b881358c48683066e478ec1dbbf906dfaf235c973ddbad48f369db93,2f485d06ab3d0ab575ba1c1beba38bc879c393ebf6f49893167e15199ba9d8cb,False
full_500_3000,442,58,114299,0.35560277143741426,3.216844823124601,3.232821055579463,0.4253393665158371,0.7285067873303167,0.8914027149321267,8.450284101648322,unavailable: saved per-pass bin means/covariances are absent,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,108,500,20260909-phase2-b2000-m0-seed0-final-ctx-s108-n500-drop10100-mc50,0e0ad1e0b55b9dbdfcce06205ed9603bc6ba1c9b5ad4ded8c9bc259810fbab8d,4ef212bf57f6358219f0baeba12bbd05be367b1a3411bf637ce3b6fde1b22711,False
figure1_1500_3000,242,58,43073,0.049238535335091475,2.6446898238667425,2.6396792008708703,0.5041322314049587,0.8140495867768595,0.9380165289256198,9.42379762621796,unavailable: saved per-pass bin means/covariances are absent,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,108,500,20260909-phase2-b2000-m0-seed0-final-ctx-s108-n500-drop10100-mc50,0e0ad1e0b55b9dbdfcce06205ed9603bc6ba1c9b5ad4ded8c9bc259810fbab8d,4ef212bf57f6358219f0baeba12bbd05be367b1a3411bf637ce3b6fde1b22711,False
full_500_3000,442,58,114299,0.8371801181949778,3.0352744948063766,3.1453009655263693,0.3778280542986425,0.6538461538461539,0.832579185520362,8.450284101648322,unavailable: saved per-pass bin means/covariances are absent,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,109,500,20260909-phase2-b2000-m0-seed0-final-ctx-s109-n500-drop10100-mc50,ba113a144f33678576b16d4cfb64ba5cafdb705db2900bd8b02fa998bf1d0900,a7899c4d8bfe7ccc6aafc8137c2de1d42563155cbc1fc81378e0f056b98cafa3,False
figure1_1500_3000,242,58,43073,0.47871248843238423,2.629445723888484,2.667317055820534,0.4628099173553719,0.7520661157024794,0.9173553719008265,9.42379762621796,unavailable: saved per-pass bin means/covariances are absent,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,109,500,20260909-phase2-b2000-m0-seed0-final-ctx-s109-n500-drop10100-mc50,ba113a144f33678576b16d4cfb64ba5cafdb705db2900bd8b02fa998bf1d0900,a7899c4d8bfe7ccc6aafc8137c2de1d42563155cbc1fc81378e0f056b98cafa3,False
full_500_3000,442,58,114299,-0.7147402036483625,3.719436685250368,3.7833534989919566,0.4841628959276018,0.8212669683257918,0.9343891402714932,8.450284101648322,unavailable: saved per-pass bin means/covariances are absent,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,1,100,500,20260909-phase2-b2000-m0-seed1-final-ctx-s100-n500-drop10100-mc50,3ea46bc328dde97afe0845bb9dfab2c685752411ea1672a5f0fa60b27c227a21,521bbf02ec5c0cfbe4c23e58fbefa6fec0f005e5ce69e85683e914e327338bb7,False
figure1_1500_3000,242,58,43073,-0.8007739302247999,2.734267895287886,2.8436888605542716,0.5041322314049587,0.8347107438016529,0.9462809917355371,9.42379762621796,unavailable: saved per-pass bin means/covariances are absent,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,1,100,500,20260909-phase2-b2000-m0-seed1-final-ctx-s100-n500-drop10100-mc50,3ea46bc328dde97afe0845bb9dfab2c685752411ea1672a5f0fa60b27c227a21,521bbf02ec5c0cfbe4c23e58fbefa6fec0f005e5ce69e85683e914e327338bb7,False
full_500_3000,442,58,114299,-0.7396663543516411,3.740935954250356,3.8092054466133765,0.4796380090497738,0.8076923076923077,0.9298642533936652,8.450284101648322,unavailable: saved per-pass bin means/covariances are absent,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,1,101,500,20260909-phase2-b2000-m0-seed1-final-ctx-s101-n500-drop10100-mc50,25694e091ffaae4742776e1678f85126d0017cba81242fd9a8689aa5e71280fa,ffafa69e19ab0a1fb5a88104bf21d60c7cd0b001e8a87869e241531ae3963a56,False
figure1_1500_3000,242,58,43073,-0.8389694756864643,2.736704996549655,2.8570046286349426,0.5,0.8181818181818182,0.9421487603305785,9.42379762621796,unavailable: saved per-pass bin means/covariances are absent,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,1,101,500,20260909-phase2-b2000-m0-seed1-final-ctx-s101-n500-drop10100-mc50,25694e091ffaae4742776e1678f85126d0017cba81242fd9a8689aa5e71280fa,ffafa69e19ab0a1fb5a88104bf21d60c7cd0b001e8a87869e241531ae3963a56,False
full_500_3000,442,58,114299,-0.700435353850288,3.7135984057776623,3.774946604875162,0.4819004524886878,0.8212669683257918,0.9343891402714932,8.450284101648322,unavailable: saved per-pass bin means/covariances are absent,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,1,102,500,20260909-phase2-b2000-m0-seed1-final-ctx-s102-n500-drop10100-mc50,54cfeb84247eba880c9150f0c63bdff3e7192443db9983e6f6c92a5304a960ce,785913ecac643ba0abdc50c7aa06704b4f0e7cb7be428e3af0bf164f5015ee25,False
figure1_1500_3000,242,58,43073,-0.7841435190595948,2.7330837141107596,2.837914890440025,0.5041322314049587,0.8347107438016529,0.9462809917355371,9.42379762621796,unavailable: saved per-pass bin means/covariances are absent,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,1,102,500,20260909-phase2-b2000-m0-seed1-final-ctx-s102-n500-drop10100-mc50,54cfeb84247eba880c9150f0c63bdff3e7192443db9983e6f6c92a5304a960ce,785913ecac643ba0abdc50c7aa06704b4f0e7cb7be428e3af0bf164f5015ee25,False
full_500_3000,442,58,114299,-0.7697966194617062,3.7709877722946166,3.844575773650005,0.47737556561085975,0.8076923076923077,0.9253393665158371,8.450284101648322,unavailable: saved per-pass bin means/covariances are absent,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,1,103,500,20260909-phase2-b2000-m0-seed1-final-ctx-s103-n500-drop10100-mc50,27595d186bfe0b483aa41d86fb8d7dc57969b136e6254112afaa607a27a020b5,2721bfe74b2da736d30423d5d14859728cc36d7734d53f6b332a0067b93f2f54,False
figure1_1500_3000,242,58,43073,-0.9024579477888706,2.7468676181717964,2.885919820306777,0.5,0.8140495867768595,0.9380165289256198,9.42379762621796,unavailable: saved per-pass bin means/covariances are absent,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,1,103,500,20260909-phase2-b2000-m0-seed1-final-ctx-s103-n500-drop10100-mc50,27595d186bfe0b483aa41d86fb8d7dc57969b136e6254112afaa607a27a020b5,2721bfe74b2da736d30423d5d14859728cc36d7734d53f6b332a0067b93f2f54,False
full_500_3000,442,58,114299,-0.7074265994622222,3.735417107720111,3.7976604268350944,0.4841628959276018,0.8144796380090498,0.9276018099547512,8.450284101648322,unavailable: saved per-pass bin means/covariances are absent,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,1,104,500,20260909-phase2-b2000-m0-seed1-final-ctx-s104-n500-drop10100-mc50,3ec5757dc928ed9ff0645ddf0da96910233af11c613a26d9b56e3648b08574dd,886fefa05942785acd4789d68d37d59a7cb29ce457abbefdd6d33797e2413bec,False
figure1_1500_3000,242,58,43073,-0.8208980376976146,2.735062881729945,2.8501808913295728,0.5041322314049587,0.8223140495867769,0.9380165289256198,9.42379762621796,unavailable: saved per-pass bin means/covariances are absent,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,1,104,500,20260909-phase2-b2000-m0-seed1-final-ctx-s104-n500-drop10100-mc50,3ec5757dc928ed9ff0645ddf0da96910233af11c613a26d9b56e3648b08574dd,886fefa05942785acd4789d68d37d59a7cb29ce457abbefdd6d33797e2413bec,False
full_500_3000,442,58,114299,-0.7089200111240053,3.7318131623475748,3.7944023642519977,0.4819004524886878,0.8167420814479638,0.9276018099547512,8.450284101648322,unavailable: saved per-pass bin means/covariances are absent,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,1,105,500,20260909-phase2-b2000-m0-seed1-final-ctx-s105-n500-drop10100-mc50,c7b52bb1ba3bb4b9802dfbe718a847ce05e12ef7bc465ab4ac2b137db87e4bf2,441c5e41249c40bda7a8af5a9df109fa0c0d47415baf16528c8fb5e40973ed3a,False
