subset_id,ordering_id,budget_label,training_budget_nominal_events,training_budget_sampling_eligible_events,method,architecture_id,comparison_role,scope,histogram_bin,pull_lower,pull_upper,count,total_cell_bin_observations,cell_count
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,full_500_3000,underflow,,-10.0,200,13260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,full_500_3000,0,-10.0,-9.5,10,13260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,full_500_3000,1,-9.5,-9.0,29,13260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,full_500_3000,2,-9.0,-8.5,9,13260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,full_500_3000,3,-8.5,-8.0,7,13260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,full_500_3000,4,-8.0,-7.5,5,13260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,full_500_3000,5,-7.5,-7.0,28,13260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,full_500_3000,6,-7.0,-6.5,14,13260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,full_500_3000,7,-6.5,-6.0,22,13260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,full_500_3000,8,-6.0,-5.5,30,13260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,full_500_3000,9,-5.5,-5.0,9,13260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,full_500_3000,10,-5.0,-4.5,56,13260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,full_500_3000,11,-4.5,-4.0,77,13260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,full_500_3000,12,-4.0,-3.5,81,13260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,full_500_3000,13,-3.5,-3.0,112,13260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,full_500_3000,14,-3.0,-2.5,254,13260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,full_500_3000,15,-2.5,-2.0,513,13260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,full_500_3000,16,-2.0,-1.5,932,13260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,full_500_3000,17,-1.5,-1.0,1197,13260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,full_500_3000,18,-1.0,-0.5,1399,13260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,full_500_3000,19,-0.5,0.0,1604,13260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,full_500_3000,20,0.0,0.5,1521,13260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,full_500_3000,21,0.5,1.0,1491,13260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,full_500_3000,22,1.0,1.5,1174,13260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,full_500_3000,23,1.5,2.0,884,13260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,full_500_3000,24,2.0,2.5,583,13260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,full_500_3000,25,2.5,3.0,483,13260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,full_500_3000,26,3.0,3.5,224,13260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,full_500_3000,27,3.5,4.0,127,13260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,full_500_3000,28,4.0,4.5,114,13260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,full_500_3000,29,4.5,5.0,28,13260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,full_500_3000,30,5.0,5.5,3,13260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,full_500_3000,31,5.5,6.0,0,13260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,full_500_3000,32,6.0,6.5,5,13260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,full_500_3000,33,6.5,7.0,5,13260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,full_500_3000,34,7.0,7.5,0,13260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,full_500_3000,35,7.5,8.0,0,13260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,full_500_3000,36,8.0,8.5,0,13260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,full_500_3000,37,8.5,9.0,0,13260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,full_500_3000,38,9.0,9.5,0,13260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,full_500_3000,39,9.5,10.0,0,13260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,full_500_3000,overflow,10.0,,30,13260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,figure1_1500_3000,underflow,,-10.0,60,7260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,figure1_1500_3000,0,-10.0,-9.5,0,7260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,figure1_1500_3000,1,-9.5,-9.0,16,7260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,figure1_1500_3000,2,-9.0,-8.5,4,7260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,figure1_1500_3000,3,-8.5,-8.0,5,7260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,figure1_1500_3000,4,-8.0,-7.5,5,7260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,figure1_1500_3000,5,-7.5,-7.0,20,7260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,figure1_1500_3000,6,-7.0,-6.5,0,7260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,figure1_1500_3000,7,-6.5,-6.0,4,7260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,figure1_1500_3000,8,-6.0,-5.5,20,7260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,figure1_1500_3000,9,-5.5,-5.0,9,7260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,figure1_1500_3000,10,-5.0,-4.5,53,7260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,figure1_1500_3000,11,-4.5,-4.0,46,7260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,figure1_1500_3000,12,-4.0,-3.5,59,7260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,figure1_1500_3000,13,-3.5,-3.0,68,7260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,figure1_1500_3000,14,-3.0,-2.5,193,7260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,figure1_1500_3000,15,-2.5,-2.0,403,7260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,figure1_1500_3000,16,-2.0,-1.5,661,7260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,figure1_1500_3000,17,-1.5,-1.0,833,7260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,figure1_1500_3000,18,-1.0,-0.5,972,7260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,figure1_1500_3000,19,-0.5,0.0,882,7260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,figure1_1500_3000,20,0.0,0.5,904,7260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,figure1_1500_3000,21,0.5,1.0,741,7260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,figure1_1500_3000,22,1.0,1.5,492,7260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,figure1_1500_3000,23,1.5,2.0,354,7260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,figure1_1500_3000,24,2.0,2.5,230,7260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,figure1_1500_3000,25,2.5,3.0,118,7260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,figure1_1500_3000,26,3.0,3.5,38,7260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,figure1_1500_3000,27,3.5,4.0,27,7260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,figure1_1500_3000,28,4.0,4.5,9,7260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,figure1_1500_3000,29,4.5,5.0,4,7260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,figure1_1500_3000,30,5.0,5.5,0,7260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,figure1_1500_3000,31,5.5,6.0,0,7260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,figure1_1500_3000,32,6.0,6.5,0,7260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,figure1_1500_3000,33,6.5,7.0,0,7260,30
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,figure1_1500_3000,34,7.0,7.5,0,7260,30
