region,energy_lower_kev,energy_upper_kev,inclusive_bounds,event_count,empirical_fraction,mean_prediction,empirical_standard_error,empirical_full_width_pp,reference_only_z,reference_only_G1,reference_only_G2,reference_only_G3,pointwise_sd_proxy,pointwise_sd_proxy_full_width_pp,combined_proxy_full_width_pp,combined_proxy_z,combined_proxy_G1,combined_proxy_G2,combined_proxy_G3,combined_proxy_status,subset_id,ordering_id,budget_label,training_budget_nominal_events,training_budget_sampling_eligible_events,method,architecture_id,comparison_role,training_seed,context_seed,context_size,run_id,source_event_predictions_sha256,source_curve_sha256,headline_original_5k
Overall,500.0,3000.0,True,114400,0.4016083916083916,0.39223635421772346,0.0014493761962910486,0.28987523925820974,6.466255906955829,2.2981990144277376e-08,3.980019360472209e-06,0.0002638803494405262,0.027192676371557752,5.43853527431155,5.446255005438692,0.344164471965016,0.6545874190796714,0.9415875546031229,0.9956317366021281,"descriptive slide proxy: mean pointwise SD, not region-mean SD",original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,100,500,20260909-phase2-b2000-m0-seed0-final-ctx-s100-n500-drop10100-mc50,0fbae80cd5b52cf7e606ea25e5b702a1e398458858f00f3c98ca6dfec9850c9f,1420663af4eaaac49e1ad7992023d3aae165aac3b39f1af3ce61b66a27543d14,False
FE,2609.0,2619.0,True,8522,0.20288664632715325,0.18690947966085783,0.004356282235510871,0.8712564471021742,3.6676151366078202,0.0038180618965363844,0.047696068506049516,0.25218964651944364,0.06094344663553074,12.188689327106147,12.21978867695053,0.26149661158105314,0.6663307055520369,0.9470746620795895,0.9963598949936684,"descriptive slide proxy: mean pointwise SD, not region-mean SD",original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,100,500,20260909-phase2-b2000-m0-seed0-final-ctx-s100-n500-drop10100-mc50,0fbae80cd5b52cf7e606ea25e5b702a1e398458858f00f3c98ca6dfec9850c9f,1420663af4eaaac49e1ad7992023d3aae165aac3b39f1af3ce61b66a27543d14,False
SE,2098.0,2108.0,True,1356,0.21755162241887904,0.4760812146741908,0.011204156479637411,2.240831295927482,-23.07443605640166,0.0,0.0,0.0,0.02065106664003948,4.130213328007896,4.698934669865299,-11.00375342152705,0.0,0.0,6.661338147750939e-16,"descriptive slide proxy: mean pointwise SD, not region-mean SD",original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,100,500,20260909-phase2-b2000-m0-seed0-final-ctx-s100-n500-drop10100-mc50,0fbae80cd5b52cf7e606ea25e5b702a1e398458858f00f3c98ca6dfec9850c9f,1420663af4eaaac49e1ad7992023d3aae165aac3b39f1af3ce61b66a27543d14,False
DEP,1587.0,1597.0,True,828,0.7705314009661836,0.5204748030820331,0.014613075719857621,2.922615143971524,17.111838922749854,0.0,0.0,0.0,0.02559417095665789,5.118834191331578,5.894416235567091,8.48452460399051,3.5915714846623814e-14,4.450600998850973e-11,2.072913923845121e-08,"descriptive slide proxy: mean pointwise SD, not region-mean SD",original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,100,500,20260909-phase2-b2000-m0-seed0-final-ctx-s100-n500-drop10100-mc50,0fbae80cd5b52cf7e606ea25e5b702a1e398458858f00f3c98ca6dfec9850c9f,1420663af4eaaac49e1ad7992023d3aae165aac3b39f1af3ce61b66a27543d14,False
feature,1615.0,1625.0,True,790,0.3341772151898734,0.5179815550831299,0.016782405043235256,3.356481008647051,-10.952204968223274,0.0,0.0,8.881784197001252e-16,0.025444977018275694,5.088995403655138,6.096215135625665,-6.030113301583552,2.450940084219866e-07,2.7874987027942666e-05,0.0012223100615483817,"descriptive slide proxy: mean pointwise SD, not region-mean SD",original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,100,500,20260909-phase2-b2000-m0-seed0-final-ctx-s100-n500-drop10100-mc50,0fbae80cd5b52cf7e606ea25e5b702a1e398458858f00f3c98ca6dfec9850c9f,1420663af4eaaac49e1ad7992023d3aae165aac3b39f1af3ce61b66a27543d14,False
Overall,500.0,3000.0,True,114400,0.4016083916083916,0.3996394232214424,0.0014493761962910486,0.28987523925820974,1.3584936691990646,0.35081231598941576,0.7390112728922863,0.9496472749597547,0.026940973566830735,5.388194713366147,5.395986464353102,0.07297899651737766,0.6814019153752702,0.95392437662262,0.9972292041399337,"descriptive slide proxy: mean pointwise SD, not region-mean SD",original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,101,500,20260909-phase2-b2000-m0-seed0-final-ctx-s101-n500-drop10100-mc50,487ea3dc61738b6de41389aa3ebbd8122b8d118dad4360008e9a23610f048669,578d0498e18f665ff9b8d9419ec60e1805aba903598bb8415466e316a07c2ac5,False
FE,2609.0,2619.0,True,8522,0.20288664632715325,0.19445804138560782,0.004356282235510871,0.8712564471021742,1.9348160853395648,0.17327281704753156,0.5259445857205037,0.8566032432573671,0.06150796298935918,12.301592597871835,12.332407236246793,0.13669034406798533,0.6781825030245393,0.9524790508490978,0.9970494644633167,"descriptive slide proxy: mean pointwise SD, not region-mean SD",original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,101,500,20260909-phase2-b2000-m0-seed0-final-ctx-s101-n500-drop10100-mc50,487ea3dc61738b6de41389aa3ebbd8122b8d118dad4360008e9a23610f048669,578d0498e18f665ff9b8d9419ec60e1805aba903598bb8415466e316a07c2ac5,False
SE,2098.0,2108.0,True,1356,0.21755162241887904,0.48339367238601405,0.011204156479637411,2.240831295927482,-23.72709185651593,0.0,0.0,0.0,0.02028998252694673,4.0579965053893465,4.635586320473408,-11.469619227799688,0.0,0.0,0.0,"descriptive slide proxy: mean pointwise SD, not region-mean SD",original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,101,500,20260909-phase2-b2000-m0-seed0-final-ctx-s101-n500-drop10100-mc50,487ea3dc61738b6de41389aa3ebbd8122b8d118dad4360008e9a23610f048669,578d0498e18f665ff9b8d9419ec60e1805aba903598bb8415466e316a07c2ac5,False
DEP,1587.0,1597.0,True,828,0.7705314009661836,0.5263936644914934,0.014613075719857621,2.922615143971524,16.70680020790783,0.0,0.0,0.0,0.02505428743493738,5.010857486987476,5.8008940720090845,8.417245115807997,5.978550987606468e-14,6.938122298905114e-11,3.026217032520151e-08,"descriptive slide proxy: mean pointwise SD, not region-mean SD",original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,101,500,20260909-phase2-b2000-m0-seed0-final-ctx-s101-n500-drop10100-mc50,487ea3dc61738b6de41389aa3ebbd8122b8d118dad4360008e9a23610f048669,578d0498e18f665ff9b8d9419ec60e1805aba903598bb8415466e316a07c2ac5,False
feature,1615.0,1625.0,True,790,0.3341772151898734,0.5239651841853239,0.016782405043235256,3.356481008647051,-11.308746780125608,0.0,0.0,0.0,0.024932521318277185,4.986504263655437,6.010922519286218,-6.3147701001472,5.33959055859512e-08,7.988454204799211e-06,0.0004585926170853627,"descriptive slide proxy: mean pointwise SD, not region-mean SD",original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,101,500,20260909-phase2-b2000-m0-seed0-final-ctx-s101-n500-drop10100-mc50,487ea3dc61738b6de41389aa3ebbd8122b8d118dad4360008e9a23610f048669,578d0498e18f665ff9b8d9419ec60e1805aba903598bb8415466e316a07c2ac5,False
Overall,500.0,3000.0,True,114400,0.4016083916083916,0.3915315619279376,0.0014493761962910486,0.28987523925820974,6.952528754260369,1.3201527648831757e-09,3.662761374756407e-07,3.866481666681132e-05,0.02721014017372983,5.442028034745966,5.449742818270972,0.36980936592714625,0.650341858015405,0.9395707641251236,0.9953570489821323,"descriptive slide proxy: mean pointwise SD, not region-mean SD",original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,102,500,20260909-phase2-b2000-m0-seed0-final-ctx-s102-n500-drop10100-mc50,c886032f6c45bc861c7974a9ded3602df9eab57d5b5377011f5d03cb6e443641,8c68230daecc0f7298011332ad033f5d6c391c34f9115c957e5779c731877d0e,False
FE,2609.0,2619.0,True,8522,0.20288664632715325,0.18634828840654297,0.004356282235510871,0.8712564471021742,3.796438574570639,0.0025826540287126054,0.036212393404858045,0.21288858240210218,0.060857058357090946,12.17141167141819,12.202555055059248,0.2710638525454288,0.665126672144503,0.9465181817405353,0.9962873311399654,"descriptive slide proxy: mean pointwise SD, not region-mean SD",original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,102,500,20260909-phase2-b2000-m0-seed0-final-ctx-s102-n500-drop10100-mc50,c886032f6c45bc861c7974a9ded3602df9eab57d5b5377011f5d03cb6e443641,8c68230daecc0f7298011332ad033f5d6c391c34f9115c957e5779c731877d0e,False
