variant,method,context_size,context_seed,region,valid_bin_count,excluded_bin_count,events_in_valid_bins,mae_percentage_points,rmse_percentage_points
context_only,Gaussian kernel regression (context only),250,100,full,442,58,114299,13.141290238791647,16.712473644664296
context_only,Gaussian kernel regression (context only),250,100,DEP,6,0,1323,18.14387475705933,20.398907618631263
context_only,Gaussian kernel regression (context only),250,100,Bi-214,6,0,1361,13.202469215466872,14.07635938472031
context_only,Gaussian kernel regression (context only),250,100,continuum_1700_2000,60,0,8230,15.103131607330052,16.71364373143621
context_only,Gaussian kernel regression (context only),250,100,SE,6,0,2023,22.350325632583125,25.057107564941905
context_only,Gaussian kernel regression (context only),250,100,continuum_2200_2400,40,0,9093,12.131001096299228,14.993657849677906
context_only,Gaussian kernel regression (context only),250,100,FE,5,1,8709,3.640319784963522,4.419018566468893
context_only,Gaussian kernel regression (context only),250,100,sparse_tail,13,47,68,17.330131669054893,18.40117425856435
context_only,Gaussian kernel regression (context only),250,101,full,442,58,114299,12.482462156178695,14.165835077300473
context_only,Gaussian kernel regression (context only),250,101,DEP,6,0,1323,7.922221075227897,9.965092816253062
context_only,Gaussian kernel regression (context only),250,101,Bi-214,6,0,1361,10.331479865401025,15.201660609590803
context_only,Gaussian kernel regression (context only),250,101,continuum_1700_2000,60,0,8230,13.871211595224903,15.07417180425643
context_only,Gaussian kernel regression (context only),250,101,SE,6,0,2023,8.587393014521487,11.200397560608346
context_only,Gaussian kernel regression (context only),250,101,continuum_2200_2400,40,0,9093,16.95490104396793,17.36645460260143
context_only,Gaussian kernel regression (context only),250,101,FE,5,1,8709,15.49792100551583,15.717548403636956
context_only,Gaussian kernel regression (context only),250,101,sparse_tail,13,47,68,8.490267266651642,8.554058611471723
context_only,Gaussian kernel regression (context only),250,102,full,442,58,114299,7.961291827549144,10.015450994742583
context_only,Gaussian kernel regression (context only),250,102,DEP,6,0,1323,10.679645163891282,11.288468474367535
context_only,Gaussian kernel regression (context only),250,102,Bi-214,6,0,1361,15.644678703274476,19.636486662746407
context_only,Gaussian kernel regression (context only),250,102,continuum_1700_2000,60,0,8230,10.820278417055967,12.884300626314152
context_only,Gaussian kernel regression (context only),250,102,SE,6,0,2023,9.902883276536862,11.177955943206566
context_only,Gaussian kernel regression (context only),250,102,continuum_2200_2400,40,0,9093,7.4761242269509225,8.279073687974634
context_only,Gaussian kernel regression (context only),250,102,FE,5,1,8709,4.851842165172794,5.433606817603309
context_only,Gaussian kernel regression (context only),250,102,sparse_tail,13,47,68,11.812088563090544,12.34981714491574
context_only,Gaussian kernel regression (context only),250,103,full,442,58,114299,8.222378607738527,10.000948269062715
context_only,Gaussian kernel regression (context only),250,103,DEP,6,0,1323,17.65207644922631,20.080692010497565
context_only,Gaussian kernel regression (context only),250,103,Bi-214,6,0,1361,13.234780292403656,14.164529449747679
context_only,Gaussian kernel regression (context only),250,103,continuum_1700_2000,60,0,8230,5.7852479672528085,7.141927739685877
context_only,Gaussian kernel regression (context only),250,103,SE,6,0,2023,23.16842522868022,25.58945842306008
context_only,Gaussian kernel regression (context only),250,103,continuum_2200_2400,40,0,9093,5.986081365211342,6.897235075409915
