variant,method,context_size,context_seed,feature,center_event_count,sideband_event_count,empirical_contrast_percentage_points,predicted_contrast_percentage_points,absolute_contrast_error_percentage_points
context_only,Gaussian kernel regression (context only),250,100,DEP,828,464,21.01865733799767,0.22866384393673278,20.789993494060937
context_only,Gaussian kernel regression (context only),250,100,Bi-212,790,541,-25.547158333138352,0.08680885914188474,25.633967192280238
context_only,Gaussian kernel regression (context only),250,100,SE,1356,657,-28.4731482603952,0.24993148745368066,28.723079747848878
context_only,Gaussian kernel regression (context only),250,100,FE,8522,202,-2.4836125950074477,0.033270346722430455,2.5168829417298784
context_only,Gaussian kernel regression (context only),250,101,DEP,828,464,21.01865733799767,-0.114629575192704,21.133286913190375
context_only,Gaussian kernel regression (context only),250,101,Bi-212,790,541,-25.547158333138352,-0.07802976591698707,25.469128567221368
context_only,Gaussian kernel regression (context only),250,101,SE,1356,657,-28.4731482603952,-0.054967740191647074,28.41818052020355
context_only,Gaussian kernel regression (context only),250,101,FE,8522,202,-2.4836125950074477,-0.027391784040811662,2.456220810966636
context_only,Gaussian kernel regression (context only),250,102,DEP,828,464,21.01865733799767,0.07092241492666629,20.947734923071003
context_only,Gaussian kernel regression (context only),250,102,Bi-212,790,541,-25.547158333138352,0.06750619480970776,25.61466452794806
context_only,Gaussian kernel regression (context only),250,102,SE,1356,657,-28.4731482603952,-0.000759098009034398,28.472389162386165
context_only,Gaussian kernel regression (context only),250,102,FE,8522,202,-2.4836125950074477,-0.6448562284064541,1.8387563666009936
context_only,Gaussian kernel regression (context only),250,103,DEP,828,464,21.01865733799767,0.008561563335057754,21.010095774662613
context_only,Gaussian kernel regression (context only),250,103,Bi-212,790,541,-25.547158333138352,-0.0004581251730695346,25.546700207965284
context_only,Gaussian kernel regression (context only),250,103,SE,1356,657,-28.4731482603952,0.017117656257881197,28.49026591665308
context_only,Gaussian kernel regression (context only),250,103,FE,8522,202,-2.4836125950074477,-0.07448503960046648,2.4091275554069815
context_only,Gaussian kernel regression (context only),250,104,DEP,828,464,21.01865733799767,0.02743593209912909,20.991221405898543
context_only,Gaussian kernel regression (context only),250,104,Bi-212,790,541,-25.547158333138352,0.009934337259642767,25.557092670397996
context_only,Gaussian kernel regression (context only),250,104,SE,1356,657,-28.4731482603952,0.001994310387920528,28.47514257078312
context_only,Gaussian kernel regression (context only),250,104,FE,8522,202,-2.4836125950074477,0.10578700802411078,2.5893996030315587
context_only,Gaussian kernel regression (context only),250,105,DEP,828,464,21.01865733799767,-0.025192946999108567,21.04385028499678
context_only,Gaussian kernel regression (context only),250,105,Bi-212,790,541,-25.547158333138352,-0.016126408302075124,25.531031924836277
context_only,Gaussian kernel regression (context only),250,105,SE,1356,657,-28.4731482603952,-0.04055924801967814,28.43258901237552
context_only,Gaussian kernel regression (context only),250,105,FE,8522,202,-2.4836125950074477,-0.03546574771085553,2.4481468472965924
context_only,Gaussian kernel regression (context only),250,106,DEP,828,464,21.01865733799767,-0.035686952539937256,21.054344290537607
context_only,Gaussian kernel regression (context only),250,106,Bi-212,790,541,-25.547158333138352,-0.006342364033218306,25.540815969105136
context_only,Gaussian kernel regression (context only),250,106,SE,1356,657,-28.4731482603952,-0.030313975647522362,28.442834284747676
context_only,Gaussian kernel regression (context only),250,106,FE,8522,202,-2.4836125950074477,-0.13814102680215767,2.3454715682052902
