method,architecture_id,context_size,energy_kev,mean_of_training_seed_context_means,sd_across_training_seed_context_means,mean_context_sd_within_training_seed,training_seed_count,context_draws_per_training_seed,mc_passes_per_cell
CNP,m0,500,500.0,0.4042306264837583,0.024831805971335955,0.0025350811167224904,3,10,50
CNP,m0,500,501.0,0.3998330855766932,0.02924653561690472,0.002611700029716831,3,10,50
CNP,m0,500,502.0,0.39920864876111345,0.027969097378639143,0.0025947752320985436,3,10,50
CNP,m0,500,503.0,0.40709992156426106,0.028342448221152502,0.0024620570121618845,3,10,50
CNP,m0,500,504.0,0.40029086313645035,0.022485699452606412,0.0025062375298942337,3,10,50
CNP,m0,500,505.0,0.40386280461152396,0.025827758988668542,0.0024796407063133684,3,10,50
CNP,m0,500,506.0,0.41009977581103646,0.024703914392502687,0.0024656815041851654,3,10,50
CNP,m0,500,507.0,0.40116031207640956,0.021120059292982055,0.002634705972364442,3,10,50
CNP,m0,500,508.0,0.4009133480787277,0.025490295903867293,0.0025372924041718405,3,10,50
CNP,m0,500,509.0,0.4028994061748186,0.030637633195650115,0.002570863760889538,3,10,50
CNP,m0,500,510.0,0.3973460666735966,0.028701652655956117,0.0025083700419841043,3,10,50
CNP,m0,500,511.0,0.40468646734952934,0.029393052502120355,0.0025952104957718586,3,10,50
CNP,m0,500,512.0,0.4071462454795837,0.02603487228955404,0.0024728548633991027,3,10,50
CNP,m0,500,513.0,0.4055939528346062,0.03349488614645451,0.0024762225844112682,3,10,50
CNP,m0,500,514.0,0.405989226102829,0.030017670053099493,0.0025617148623236635,3,10,50
CNP,m0,500,515.0,0.4064020765225092,0.024598877945826644,0.0024926336446483336,3,10,50
CNP,m0,500,516.0,0.40977945025761925,0.019035046075688258,0.002534571000003078,3,10,50
CNP,m0,500,517.0,0.40662348528703046,0.02586744701129188,0.0025098856143985528,3,10,50
CNP,m0,500,518.0,0.40487657423814144,0.023364401241975027,0.0025879745010572663,3,10,50
CNP,m0,500,519.0,0.40486307148138684,0.02452153610876887,0.0025353813269374244,3,10,50
CNP,m0,500,520.0,0.40713532489538196,0.02280931060064661,0.0024857124579313605,3,10,50
CNP,m0,500,521.0,0.4080936862627666,0.021466897110047456,0.002548871641080462,3,10,50
CNP,m0,500,522.0,0.4047349268595377,0.022984447113804252,0.0026397271850236164,3,10,50
CNP,m0,500,523.0,0.40473742570479715,0.029782883406276297,0.002569229990291125,3,10,50
CNP,m0,500,524.0,0.4040343679785729,0.03070892056825724,0.002590039814176229,3,10,50
CNP,m0,500,525.0,0.4066268027027447,0.0245672230000396,0.002552545435972354,3,10,50
CNP,m0,500,526.0,0.41321619409322735,0.021519291797460822,0.0025379875435313543,3,10,50
CNP,m0,500,527.0,0.4061991009513537,0.02508744284607668,0.0025200857486170516,3,10,50
CNP,m0,500,528.0,0.4045345746278763,0.027789728067512526,0.0025535559008826353,3,10,50
CNP,m0,500,529.0,0.4104257494211197,0.025805594095298534,0.0025133128450275603,3,10,50
CNP,m0,500,530.0,0.41182938824097315,0.027480496559398108,0.0024849295508062082,3,10,50
CNP,m0,500,531.0,0.4080287329554558,0.02702062423290957,0.0025857874443936412,3,10,50
CNP,m0,500,532.0,0.4052741924325625,0.02908912651195075,0.002555410206569094,3,10,50
CNP,m0,500,533.0,0.4100215826034546,0.022109767139754485,0.0024770137800940433,3,10,50
CNP,m0,500,534.0,0.40682634224494296,0.02837438654474958,0.0025723004825287596,3,10,50
CNP,m0,500,535.0,0.4077147188186645,0.024254061755026864,0.0025468990196644095,3,10,50
CNP,m0,500,536.0,0.4072053683598836,0.02743771609630315,0.002447562903505868,3,10,50
CNP,m0,500,537.0,0.41004254462321593,0.021649774723331818,0.002486521627817149,3,10,50
CNP,m0,500,538.0,0.4122808339794477,0.0282866394215698,0.00248965112941647,3,10,50
CNP,m0,500,539.0,0.41713951696952184,0.0274516609013989,0.002495000205762763,3,10,50
CNP,m0,500,540.0,0.41049013292789455,0.018880212973118184,0.0025107754232849256,3,10,50
CNP,m0,500,541.0,0.4148482997616132,0.022821329260786786,0.0024291571616634412,3,10,50
CNP,m0,500,542.0,0.4155645381609599,0.017795557651891024,0.0024539272910975144,3,10,50
CNP,m0,500,543.0,0.4125044159491857,0.02563261909677089,0.0024865398268427755,3,10,50
CNP,m0,500,544.0,0.40605233903725946,0.025790246942512973,0.002579019511885978,3,10,50
CNP,m0,500,545.0,0.40814804438749946,0.023805505429294646,0.0024371832366206006,3,10,50
CNP,m0,500,546.0,0.4128183586200079,0.027622645435070117,0.002519254327110963,3,10,50
CNP,m0,500,547.0,0.41943411550919213,0.01874616802827163,0.00247228081994387,3,10,50
CNP,m0,500,548.0,0.41567804723978047,0.02221166567868144,0.002475097764425473,3,10,50
CNP,m0,500,549.0,0.4125166200200716,0.024108796446422835,0.0025087611048930647,3,10,50
CNP,m0,500,550.0,0.40613977768023807,0.02726619713535812,0.0026109330492209057,3,10,50
CNP,m0,500,551.0,0.41312295611699423,0.02739409306795126,0.002477602132804391,3,10,50
CNP,m0,500,552.0,0.4150437147816022,0.02261182611177299,0.0025109987462163226,3,10,50
CNP,m0,500,553.0,0.4158124896287918,0.02353810537842449,0.002427257112952138,3,10,50
CNP,m0,500,554.0,0.41360405445098875,0.02610820177983253,0.0025239054529630025,3,10,50
CNP,m0,500,555.0,0.4123604463537534,0.029953164062167865,0.002475775775361954,3,10,50
CNP,m0,500,556.0,0.412588030954202,0.018073257136653566,0.0025731025992061386,3,10,50
CNP,m0,500,557.0,0.4129926416873932,0.02286903785452393,0.002485649434108303,3,10,50
CNP,m0,500,558.0,0.4158501826723417,0.02302386877094549,0.002446397811324502,3,10,50
CNP,m0,500,559.0,0.41532881319522863,0.02215950572895996,0.0024522065045711927,3,10,50
CNP,m0,500,560.0,0.4156720477342606,0.02230685036712812,0.0025246123679461777,3,10,50
CNP,m0,500,561.0,0.4180968515078227,0.02993286471822065,0.0024405004731711723,3,10,50
CNP,m0,500,562.0,0.4158107359806697,0.02394801809455735,0.0025226735451195606,3,10,50
CNP,m0,500,563.0,0.4145613417228063,0.02760967554254509,0.0024770976301348208,3,10,50
CNP,m0,500,564.0,0.4142799814939499,0.023597830357124348,0.0024396907428471623,3,10,50
CNP,m0,500,565.0,0.4162755915125211,0.032072722001158724,0.0024339067062818325,3,10,50
CNP,m0,500,566.0,0.41522031780083973,0.026559918922205102,0.0025581397528061482,3,10,50
CNP,m0,500,567.0,0.419366687933604,0.019308084284686652,0.0024808304997608974,3,10,50
CNP,m0,500,568.0,0.41501344960927966,0.021537225044049202,0.0024725120107728952,3,10,50
CNP,m0,500,569.0,0.41656541430950167,0.021113910222622646,0.0024299560953701515,3,10,50
CNP,m0,500,570.0,0.4166402405897776,0.021361424822360555,0.0024552913182658205,3,10,50
CNP,m0,500,571.0,0.4160754613280297,0.02152139096653859,0.002451978024560026,3,10,50
CNP,m0,500,572.0,0.41438288140296936,0.027033209771871854,0.002495423972879712,3,10,50
CNP,m0,500,573.0,0.42210260007778794,0.027610062204317987,0.002448021291924519,3,10,50
CNP,m0,500,574.0,0.4173051761388779,0.022958783781686032,0.0024045227662242087,3,10,50
CNP,m0,500,575.0,0.4183456164598465,0.02041397674271657,0.0025056520521481913,3,10,50
CNP,m0,500,576.0,0.41864458008607225,0.018000932346315793,0.002472548906397458,3,10,50
CNP,m0,500,577.0,0.4160798125267029,0.017191894129258856,0.002528086005905454,3,10,50
CNP,m0,500,578.0,0.4210809698700905,0.017933011835323174,0.002449316289627709,3,10,50
CNP,m0,500,579.0,0.42167133204142254,0.023402573023278382,0.002412004624351236,3,10,50
CNP,m0,500,580.0,0.41518809990088146,0.02125448039320549,0.002554468609652097,3,10,50
CNP,m0,500,581.0,0.41566698092222215,0.025605446355285076,0.002439056534283628,3,10,50
CNP,m0,500,582.0,0.4225362467964491,0.0183580613267093,0.0023954014733647334,3,10,50
CNP,m0,500,583.0,0.4196545129219691,0.026033483284683554,0.0024221955563189664,3,10,50
CNP,m0,500,584.0,0.42011432609955474,0.020886476950613186,0.002433775305665869,3,10,50
CNP,m0,500,585.0,0.4191866513888041,0.019329221084187095,0.002474075550588055,3,10,50
CNP,m0,500,586.0,0.4213978953361511,0.02140360542843649,0.002387513727580165,3,10,50
CNP,m0,500,587.0,0.41869439943631487,0.019440818304954303,0.002481629673235539,3,10,50
CNP,m0,500,588.0,0.4240024515787761,0.023116429181312424,0.0023410999963043456,3,10,50
CNP,m0,500,589.0,0.42316928901275,0.021192550465020145,0.0024739414558067325,3,10,50
CNP,m0,500,590.0,0.42324105664094286,0.025063517884371413,0.0024063001658372247,3,10,50
CNP,m0,500,591.0,0.41934289489189797,0.01944501524339235,0.0024498537436985794,3,10,50
CNP,m0,500,592.0,0.42420974191029864,0.022971301722505486,0.002425104515096833,3,10,50
CNP,m0,500,593.0,0.4249915035764376,0.022463601744501037,0.002446382535901077,3,10,50
CNP,m0,500,594.0,0.42245004594326013,0.02423310593994482,0.002481259329531551,3,10,50
CNP,m0,500,595.0,0.4195303309758504,0.023295990920104936,0.002518760123519025,3,10,50
CNP,m0,500,596.0,0.4217256553371747,0.0254896173351172,0.002451471817719429,3,10,50
CNP,m0,500,597.0,0.424764049688975,0.016271393012663046,0.002470030596922256,3,10,50
CNP,m0,500,598.0,0.42651701249678936,0.020662872631148556,0.0024186882525634268,3,10,50
CNP,m0,500,599.0,0.424189461906751,0.02308292781454211,0.0024730888012744656,3,10,50
CNP,m0,500,600.0,0.42555361243089046,0.01835151614390529,0.002356151868261183,3,10,50
CNP,m0,500,601.0,0.4273286559581757,0.022766676805574877,0.0024463554054516435,3,10,50
CNP,m0,500,602.0,0.4211305513978005,0.017004370729612094,0.0023821596522177312,3,10,50
CNP,m0,500,603.0,0.42520434816678376,0.023354287177549855,0.0023447123887247664,3,10,50
CNP,m0,500,604.0,0.4281113762458166,0.020314624412507358,0.0023842786202537894,3,10,50
CNP,m0,500,605.0,0.42337894288698835,0.022453915491947158,0.002506837658772444,3,10,50
CNP,m0,500,606.0,0.4235975132187207,0.022624881837875976,0.0024590144393650992,3,10,50
CNP,m0,500,607.0,0.428467323243618,0.025085205188499972,0.0024006924589399896,3,10,50
CNP,m0,500,608.0,0.4284394198060036,0.019251627678870994,0.0024656469182835774,3,10,50
CNP,m0,500,609.0,0.42552657361825313,0.02405578208556513,0.002493074350668272,3,10,50
CNP,m0,500,610.0,0.42608942252397536,0.02137254316640075,0.0023994806772485383,3,10,50
CNP,m0,500,611.0,0.4277387806971868,0.025002857990666427,0.0024779812214744245,3,10,50
CNP,m0,500,612.0,0.4253281843264898,0.020491595925996007,0.002466765398502243,3,10,50
CNP,m0,500,613.0,0.4280428460439046,0.018679778912018146,0.0023133382211510908,3,10,50
CNP,m0,500,614.0,0.4267753050923348,0.020530672330787612,0.002453142243717149,3,10,50
CNP,m0,500,615.0,0.42849901405970264,0.023225424524449135,0.0024004737400777367,3,10,50
CNP,m0,500,616.0,0.4267715751926104,0.0228937351800147,0.002402414607666846,3,10,50
CNP,m0,500,617.0,0.42485759967565534,0.02182895277437908,0.0024679210664826806,3,10,50
CNP,m0,500,618.0,0.42316900885105135,0.019975283306465218,0.002461994450713024,3,10,50
CNP,m0,500,619.0,0.42670076014598207,0.020995018075527585,0.0024425043435437454,3,10,50
CNP,m0,500,620.0,0.4249436762531598,0.022147704450908596,0.0024256271344107287,3,10,50
CNP,m0,500,621.0,0.42708415941397354,0.016916691202928286,0.002394297890898033,3,10,50
CNP,m0,500,622.0,0.42741884992520013,0.02125120480821231,0.002439280907077263,3,10,50
CNP,m0,500,623.0,0.4302474597891172,0.02705211561123899,0.0023972306917184522,3,10,50
CNP,m0,500,624.0,0.43160340476036074,0.01929040628775605,0.002385931906414398,3,10,50
CNP,m0,500,625.0,0.4302729585170746,0.022009839337598692,0.002519403471063167,3,10,50
CNP,m0,500,626.0,0.4294033496578535,0.021727487725646227,0.002521766148066359,3,10,50
CNP,m0,500,627.0,0.425974927663803,0.017133680948345626,0.0024437280397839895,3,10,50
CNP,m0,500,628.0,0.42796806198358534,0.01652056652845481,0.0024566190717612048,3,10,50
CNP,m0,500,629.0,0.43043356414635975,0.01897353464308484,0.0023992376746659154,3,10,50
CNP,m0,500,630.0,0.42887804766496024,0.018953302815613818,0.002386231589615895,3,10,50
CNP,m0,500,631.0,0.4281905345916748,0.0213064060153545,0.0024044569035629824,3,10,50
CNP,m0,500,632.0,0.4315985512932141,0.02127278847550364,0.0024684250864148317,3,10,50
CNP,m0,500,633.0,0.43160356903076175,0.02267558741863379,0.002421063507883171,3,10,50
CNP,m0,500,634.0,0.4328921388983728,0.01839118872741591,0.00237709117831453,3,10,50
CNP,m0,500,635.0,0.43529541581869124,0.01767892527364294,0.0023980772952696423,3,10,50
CNP,m0,500,636.0,0.434965349594752,0.023227843723057254,0.002329164629906701,3,10,50
CNP,m0,500,637.0,0.4323218086957932,0.01970730126191634,0.002430122201476221,3,10,50
CNP,m0,500,638.0,0.4332486572861671,0.017558051815225736,0.0024913716838281495,3,10,50
CNP,m0,500,639.0,0.43423279285430905,0.017118645045954863,0.002359569246818865,3,10,50
CNP,m0,500,640.0,0.43049437489112213,0.019518195117990446,0.0023996044733972997,3,10,50
CNP,m0,500,641.0,0.4343190393050511,0.02097198928483772,0.002418582558695969,3,10,50
CNP,m0,500,642.0,0.43630130285024643,0.015674807791985407,0.00238647467356543,3,10,50
CNP,m0,500,643.0,0.4323932175636292,0.022143007693437976,0.0023484344213491365,3,10,50
CNP,m0,500,644.0,0.4333464307188987,0.02097532268328771,0.0024660170964171603,3,10,50
CNP,m0,500,645.0,0.4339059379498164,0.022459351461401572,0.0024682034859223726,3,10,50
CNP,m0,500,646.0,0.43542118599017465,0.017269640699506154,0.0023724184152845913,3,10,50
CNP,m0,500,647.0,0.4298975544174512,0.015847704780429312,0.0024825103762527267,3,10,50
CNP,m0,500,648.0,0.43553479220469793,0.015105070878499183,0.0023778817332649727,3,10,50
CNP,m0,500,649.0,0.434061443289121,0.021748177073767295,0.0024032445702447305,3,10,50
CNP,m0,500,650.0,0.43765045013030374,0.021380315709932273,0.0023752605669219704,3,10,50
CNP,m0,500,651.0,0.4375738223195076,0.01635916058477727,0.0023634202434053356,3,10,50
CNP,m0,500,652.0,0.4348233549197515,0.017381878296434047,0.0023942616004566817,3,10,50
CNP,m0,500,653.0,0.4337625385721524,0.01992186774440353,0.002392984950938289,3,10,50
CNP,m0,500,654.0,0.4355579401055971,0.023296931478258405,0.0023997808594120006,3,10,50
CNP,m0,500,655.0,0.4369632856845856,0.023211533891268836,0.0022976758302923803,3,10,50
