method,architecture_id,training_seed,context_seed,context_size,region_id,region,valid_bin_count,excluded_bin_count,events_in_valid_bins,mae_percentage_points,rmse_percentage_points
CNP,m0,0,100,250,full,Full 500-3000 keV,442,58,114299,4.8584150066810325,6.7101770487463135
CNP,m0,0,100,250,DEP,Tl-208 DEP 1592 keV,6,0,1323,6.554328075254917,10.283843541230336
CNP,m0,0,100,250,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,8.874045224182234,13.251640874100861
CNP,m0,0,100,250,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,4.773971638164414,5.546544501046571
CNP,m0,0,100,250,SE,Tl-208 SE 2103 keV,6,0,2023,12.048713899068913,16.23198102912192
CNP,m0,0,100,250,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,4.174471644689552,5.053988087579424
CNP,m0,0,100,250,FE,Tl-208 FE 2614 keV,5,1,8709,3.096855074132552,3.6550810776354443
CNP,m0,0,100,250,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,9.798420907930455,10.553004632004908
CNP,m0,0,101,250,full,Full 500-3000 keV,442,58,114299,4.766531871718543,6.546401973938185
CNP,m0,0,101,250,DEP,Tl-208 DEP 1592 keV,6,0,1323,6.840795371131743,10.623770146776028
CNP,m0,0,101,250,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,8.960071934833723,12.886868464670014
CNP,m0,0,101,250,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,4.4288759764023595,5.193804957354202
CNP,m0,0,101,250,SE,Tl-208 SE 2103 keV,6,0,2023,11.076825180458275,15.524252623999299
CNP,m0,0,101,250,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,4.7752474490982895,5.67938234809111
CNP,m0,0,101,250,FE,Tl-208 FE 2614 keV,5,1,8709,3.6344509627609143,4.3429556171110235
CNP,m0,0,101,250,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,9.296079338451856,10.031074153802887
CNP,m0,0,102,250,full,Full 500-3000 keV,442,58,114299,4.79926453489372,6.606679894886082
CNP,m0,0,102,250,DEP,Tl-208 DEP 1592 keV,6,0,1323,6.7225349361166655,10.47625056416866
CNP,m0,0,102,250,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,8.87464898821862,13.031626144510064
CNP,m0,0,102,250,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,4.568231855581524,5.321506099911858
CNP,m0,0,102,250,SE,Tl-208 SE 2103 keV,6,0,2023,11.479767536374688,15.814204060555232
CNP,m0,0,102,250,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,4.513107747834452,5.3974952252697035
CNP,m0,0,102,250,FE,Tl-208 FE 2614 keV,5,1,8709,3.4307785614693587,4.093703121227735
CNP,m0,0,102,250,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,9.443631092872446,10.18522097071894
CNP,m0,0,103,250,full,Full 500-3000 keV,442,58,114299,4.825828075862671,6.656653399427192
CNP,m0,0,103,250,DEP,Tl-208 DEP 1592 keV,6,0,1323,6.622099366112224,10.35870274282525
CNP,m0,0,103,250,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,8.873888289974268,13.161848148671995
CNP,m0,0,103,250,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,4.6921160509367725,5.4555897244094185
CNP,m0,0,103,250,SE,Tl-208 SE 2103 keV,6,0,2023,11.824857939761262,16.066615610524103
CNP,m0,0,103,250,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,4.330839147927323,5.211384990746575
CNP,m0,0,103,250,FE,Tl-208 FE 2614 keV,5,1,8709,3.1857765303716437,3.769583500845116
CNP,m0,0,103,250,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,9.765255007110705,10.512365160985562
CNP,m0,0,104,250,full,Full 500-3000 keV,442,58,114299,4.78207631226676,6.57883080885146
CNP,m0,0,104,250,DEP,Tl-208 DEP 1592 keV,6,0,1323,6.762284656433064,10.525059281870165
