method,architecture_id,training_seed,context_seed,context_size,provenance,peak_region_mean_mae_percentage_points,continuum_region_mean_mae_percentage_points,sparse_tail_mae_percentage_points,global_brier,equal_region_brier,inference_seconds,peak_memory_mib,run_id
CNP,m0,0,100,250,new_evaluation,7.643485568159655,4.474221641426983,9.798420907930455,0.233527057672307,0.20644551848308662,0.18317641085013747,226.38232421875,20260909-m0-seed0-final-ctx-s100-n250-drop10100-mc50
CNP,m0,0,101,250,new_evaluation,7.628035862296165,4.6020617127503245,9.296079338451856,0.23274837144949734,0.20581202937758802,0.18279483495280147,226.38232421875,20260909-m0-seed0-final-ctx-s101-n250-drop10100-mc50
CNP,m0,0,102,250,new_evaluation,7.626932505544833,4.540669801707987,9.443631092872446,0.23318796024774108,0.20603852438432432,0.19204223388805985,226.38232421875,20260909-m0-seed0-final-ctx-s102-n250-drop10100-mc50
CNP,m0,0,103,250,new_evaluation,7.626655531554849,4.511477599432048,9.765255007110705,0.2331785937490443,0.20631042974387337,0.1905966680496931,226.38232421875,20260909-m0-seed0-final-ctx-s103-n250-drop10100-mc50
CNP,m0,0,104,250,new_evaluation,7.6110480739731505,4.568790059766287,9.477137988126215,0.23287454616522948,0.20598494535706463,0.19279662985354662,226.38232421875,20260909-m0-seed0-final-ctx-s104-n250-drop10100-mc50
CNP,m0,0,105,250,new_evaluation,7.645199842800487,4.476983379958195,9.766226788145982,0.233564238350279,0.2064125573408468,0.1893202899955213,226.38232421875,20260909-m0-seed0-final-ctx-s105-n250-drop10100-mc50
CNP,m0,0,106,250,new_evaluation,7.627457547392388,4.571917904107198,9.31222347496771,0.23303098114638274,0.20588968498917554,0.18395299883559346,226.38232421875,20260909-m0-seed0-final-ctx-s106-n250-drop10100-mc50
CNP,m0,0,107,250,new_evaluation,7.640613895451979,4.494617078366547,9.644407984574546,0.23346127476984782,0.20628052594123547,0.18445280520245433,226.38232421875,20260909-m0-seed0-final-ctx-s107-n250-drop10100-mc50
CNP,m0,0,108,250,new_evaluation,7.637249734667403,4.472532731008521,10.010699406882754,0.233352854483047,0.20662499709320362,0.18293354008346796,226.38232421875,20260909-m0-seed0-final-ctx-s108-n250-drop10100-mc50
CNP,m0,0,109,250,clean_provenance_rerun,7.6891296634424275,4.643885615352719,9.036532292181755,0.23283443475545434,0.2056325168110115,0.18158710515126586,226.38232421875,20260909-m0-seed0-final-ctx-s109-n250-drop10100-mc50-cleanrerun
CNP,m0,0,100,500,new_evaluation,7.66802417341681,4.597541699505396,9.108065821986235,0.23303872129689882,0.20574124847869704,0.18053693138062954,226.38232421875,20260909-m0-seed0-final-ctx-s100-n500-drop10100-mc50
CNP,m0,0,101,500,new_evaluation,7.670895401170511,4.655344336497707,9.100964255477404,0.23261327817130123,0.2056362864857643,0.18755998881533742,226.38232421875,20260909-m0-seed0-final-ctx-s101-n500-drop10100-mc50
CNP,m0,0,102,500,new_evaluation,7.690013936870042,4.634286991370586,9.01181549630172,0.23289401838096538,0.20563870174528262,0.192784802056849,226.38232421875,20260909-m0-seed0-final-ctx-s102-n500-drop10100-mc50
CNP,m0,0,103,500,new_evaluation,7.62820152268359,4.50922293794072,9.70994302975984,0.23321393983989142,0.2062800162595065,0.19123990694060922,226.38232421875,20260909-m0-seed0-final-ctx-s103-n500-drop10100-mc50
CNP,m0,0,104,500,new_evaluation,7.621248042708953,4.595884715778823,9.339263880697596,0.2327746786193802,0.20584603899858292,0.1927478858269751,226.38232421875,20260909-m0-seed0-final-ctx-s104-n500-drop10100-mc50
CNP,m0,0,105,500,new_evaluation,7.6356377145322245,4.513430804514846,9.572663361016172,0.2333649248786845,0.20618375378297762,0.18865015683695674,226.38232421875,20260909-m0-seed0-final-ctx-s105-n500-drop10100-mc50
