method,architecture_id,context_size,training_seed_count,context_draws_per_training_seed,peak_region_mean_mae_percentage_points_mean_of_seed_means,peak_region_mean_mae_percentage_points_sd_across_seed_means,peak_region_mean_mae_percentage_points_mean_context_sd_within_seed,continuum_region_mean_mae_percentage_points_mean_of_seed_means,continuum_region_mean_mae_percentage_points_sd_across_seed_means,continuum_region_mean_mae_percentage_points_mean_context_sd_within_seed,sparse_tail_mae_percentage_points_mean_of_seed_means,sparse_tail_mae_percentage_points_sd_across_seed_means,sparse_tail_mae_percentage_points_mean_context_sd_within_seed,global_brier_mean_of_seed_means,global_brier_sd_across_seed_means,global_brier_mean_context_sd_within_seed,equal_region_brier_mean_of_seed_means,equal_region_brier_sd_across_seed_means,equal_region_brier_mean_context_sd_within_seed,inference_seconds_mean_of_seed_means,inference_seconds_sd_across_seed_means,inference_seconds_mean_context_sd_within_seed,peak_memory_mib_mean_of_seed_means,peak_memory_mib_sd_across_seed_means,peak_memory_mib_mean_context_sd_within_seed
CNP,m0,250,3,10,7.9750909473000045,0.3277621659854268,0.048539293881573777,4.542815154581908,0.05664634221089734,0.07826164976045853,8.58900493370495,1.0763933496544533,0.25924516213218585,0.23323903530241416,0.0019567570389233944,0.0003181650261025725,0.20616628823673175,0.0007920698402739023,0.00024447709516189773,0.18539836027969916,0.0021707971565114166,0.005430632452397431,226.38232421875,0.0,0.0
CNP,m0,500,3,10,7.993373282596418,0.34858852760049286,0.044020856018417966,4.585335300822202,0.022054854431297836,0.07128329878996181,8.438205797362627,1.0585975618283214,0.22609468535392474,0.23312316145635728,0.0018837501489878173,0.00024871847149011473,0.206053590051652,0.0007766900698472604,0.00019447389930406784,0.1841143568356832,0.001996421722062768,0.002574715545128467,226.38232421875,0.0,0.0
CNP,m0,1000,3,10,8.01062920585822,0.36106122412216457,0.0558680744554608,4.630062433167733,0.01906353367594258,0.1064103358346483,8.317167762921654,1.0418843520149912,0.25957556615785143,0.23301693599986126,0.0017991694048368218,0.00023448876424741504,0.20596557658434353,0.0007477845043898049,0.0001866526937602319,0.1848171166454752,0.0022859874983430406,0.002594911976320983,226.38232421875,0.0,0.0
CNP,m0,2000,3,10,7.992557151983725,0.35847174286954553,0.02532241508300351,4.591841123566654,0.014445785803717914,0.04508115892919413,8.39830772485677,1.0524457781407228,0.13185314960163824,0.23307697074417655,0.001846724776733741,0.00014836003176153136,0.20601432766485808,0.0007632539471369059,0.0001158454013075651,0.17539343734582266,0.0015504397340750202,0.003444603420001619,226.38232421875,0.0,0.0
Attentive CNP,m1,250,3,10,8.265562226108633,0.3302433081897074,0.031390872932533835,5.5379504844476655,0.7145383473909512,0.045609845767612484,7.867177482905826,0.9510504479391567,0.07324723322972544,0.23232409070317428,0.0013924901830371721,3.658125763847304e-05,0.20652652016027884,0.0006602174916371925,5.588182571886785e-05,0.2389018744851152,0.00043770403060632907,0.0006165760880618878,460.47509765625,0.0,0.0
Attentive CNP,m1,500,3,10,8.245080586830714,0.32120731487428617,0.02488480808010661,5.533277345664222,0.6987334735613197,0.03991856778854099,7.814261165136831,1.0281846327893838,0.060582365712436886,0.23233775895968892,0.0014005177037734865,2.7488201012432646e-05,0.20657044259234958,0.0006966803792216386,4.12811996584e-05,0.2752210940079142,0.0011000156773018624,0.003379012066219104,821.62744140625,0.0,0.0
Attentive CNP,m1,1000,3,10,8.266019905625129,0.31962001727310596,0.023473246439017492,5.5400279554963765,0.6892904826765043,0.040517806887840284,7.813542543062117,0.9335906606757656,0.05340271523776793,0.23234586764978418,0.0014021014772149652,2.5079651056464604e-05,0.20659592342866273,0.0007432068649922854,4.489168957956228e-05,0.3471764943096787,0.0004960270467610198,0.0022978472805811312,1547.705078125,0.0,0.0
Attentive CNP,m1,2000,3,10,8.2572600553764,0.30981542831859665,0.01134168355694947,5.529759071294329,0.6902306458673091,0.01680071117938811,7.8934816675138295,0.958240995822027,0.022582999327858375,0.23235095182060486,0.0014162350347565428,1.352639182524321e-05,0.20657935127896343,0.0007380531119124962,2.4971828444631118e-05,0.4898060989721367,0.000400913291453936,0.001466115438612597,2998.14501953125,0.0,0.0
Attentive CNP + PE,m2,250,3,10,5.703771405838448,0.9834407814213223,0.36778266713904606,6.919744554857246,0.80650542768299,0.6466600021744336,23.870127129144652,1.311452405166758,0.874666247309824,0.2288162747555308,0.0006748386172301474,0.0005658980615219688,0.20209481409513205,0.0011165224580169657,0.0003636843766516498,0.2957212038493405,0.0003713549465871015,0.0017808364983031809,460.484375,0.0,0.0
Attentive CNP + PE,m2,500,3,10,5.996050425376527,1.0779570013491184,0.46801772321862695,7.379996005228072,0.8645093062068547,0.7542098683413786,23.24683771189753,1.211713057487403,0.9447038785876457,0.2292065755313943,0.0007934368746716149,0.0006688815390299913,0.20205991102659304,0.0010888717976852936,0.00029844429364620813,0.33156008437896767,0.000351979689216249,0.0018556262372533758,821.63671875,0.0,0.0
