method,architecture_id,training_seed,context_seed,context_size,feature_id,feature,status,center_event_count,sideband_event_count,empirical_contrast_percentage_points,predicted_contrast_percentage_points,absolute_contrast_error_percentage_points
CNP,m0,0,100,250,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,0.028683574655807842,20.98997376334186
CNP,m0,0,100,250,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.029312747496834657,25.576471080635187
CNP,m0,0,100,250,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,0.02693167709347799,28.500079937488675
CNP,m0,0,100,250,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,-0.415802498554263,2.0678100964531847
CNP,m0,0,101,250,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,0.029351782764885925,20.989305555232786
CNP,m0,0,101,250,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.028523687343706694,25.57568202048206
CNP,m0,0,101,250,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,0.027608450888982894,28.500756711284183
CNP,m0,0,101,250,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,-0.41211859196813305,2.071494003039315
CNP,m0,0,102,250,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,0.029143232855333157,20.989514105142337
CNP,m0,0,102,250,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.029229071331970946,25.576387404470324
CNP,m0,0,102,250,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,0.02718231083888023,28.500330571234077
CNP,m0,0,102,250,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,-0.41611952939150376,2.067493065615944
CNP,m0,0,103,250,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,0.029010040458099517,20.98964729753957
CNP,m0,0,103,250,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.028736359807579603,25.575894692945933
CNP,m0,0,103,250,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,0.026916861492576327,28.500065121887776
