method,architecture_id,training_budget_nominal_events,energy_kev,mean_of_training_seed_context_means,sd_across_training_seed_context_means,mean_context_sd_within_training_seed,training_seed_count,context_draws_per_training_seed,mc_passes_per_cell
CNP,m0,2000,500.0,0.39870371051629383,0.03052732360884041,0.004100381695239446,3,10,50
CNP,m0,2000,501.0,0.3944988847374917,0.028724854286652265,0.004236448249584361,3,10,50
CNP,m0,2000,502.0,0.3953814571897189,0.029998497063867896,0.004204209140180672,3,10,50
CNP,m0,2000,503.0,0.3976890710194905,0.03123711430535321,0.004146554388054435,3,10,50
CNP,m0,2000,504.0,0.3928041296005249,0.029103834110589397,0.004196383908888778,3,10,50
CNP,m0,2000,505.0,0.3925335912505786,0.029577979017264375,0.004255755206476361,3,10,50
CNP,m0,2000,506.0,0.39949786770343776,0.02812281055713775,0.003960687484165654,3,10,50
CNP,m0,2000,507.0,0.3916926916837693,0.03112229692131443,0.004266925612564399,3,10,50
CNP,m0,2000,508.0,0.3963402123649915,0.02889690322779951,0.004147403095242381,3,10,50
CNP,m0,2000,509.0,0.39435442397991816,0.027319895216073944,0.0041286433842195385,3,10,50
CNP,m0,2000,510.0,0.39330067835251487,0.032904331710463225,0.004205482187213123,3,10,50
CNP,m0,2000,511.0,0.3974876347382863,0.034872961469548776,0.0042785436844043016,3,10,50
CNP,m0,2000,512.0,0.39977623349428176,0.03168812127107877,0.004134598949693323,3,10,50
CNP,m0,2000,513.0,0.39643799265225727,0.03159625353724654,0.0041563839934118255,3,10,50
CNP,m0,2000,514.0,0.3967164239684741,0.03599932326602305,0.004250604852467901,3,10,50
CNP,m0,2000,515.0,0.39537624603509897,0.029070358235383734,0.004061407414159721,3,10,50
CNP,m0,2000,516.0,0.39862271253267917,0.033550930414482545,0.004009755964454373,3,10,50
CNP,m0,2000,517.0,0.39345793388287226,0.028868940145453176,0.00423604013280636,3,10,50
CNP,m0,2000,518.0,0.3940053282578786,0.031025434518610936,0.004087493573811049,3,10,50
CNP,m0,2000,519.0,0.3960441823601723,0.0292642309002078,0.004066425397470666,3,10,50
CNP,m0,2000,520.0,0.39420469156901045,0.029508056330678257,0.004004346711899735,3,10,50
CNP,m0,2000,521.0,0.39843598220745724,0.03064994173846082,0.0040807143809808355,3,10,50
CNP,m0,2000,522.0,0.39578274552027387,0.029840296661289564,0.004187053700707412,3,10,50
CNP,m0,2000,523.0,0.39537138297160473,0.03220221556062571,0.004097648276790266,3,10,50
CNP,m0,2000,524.0,0.3965462899406751,0.032040485404913506,0.004155673006579602,3,10,50
CNP,m0,2000,525.0,0.3960204120874405,0.02980275373369146,0.004149464821433795,3,10,50
CNP,m0,2000,526.0,0.39935614407062525,0.02859882855953636,0.0039024757496416702,3,10,50
CNP,m0,2000,527.0,0.3983155015905698,0.03330536598047435,0.004048017878800872,3,10,50
CNP,m0,2000,528.0,0.39507219080130257,0.029006476524476195,0.004091827457121396,3,10,50
CNP,m0,2000,529.0,0.3991663385828336,0.030365169758472275,0.004000578814288911,3,10,50
CNP,m0,2000,530.0,0.3972796369592349,0.02666554608352922,0.00397418803556589,3,10,50
CNP,m0,2000,531.0,0.3968535061081251,0.03281221065023037,0.004206615962835439,3,10,50
CNP,m0,2000,532.0,0.3963732757170995,0.032559309051061136,0.004070038706742346,3,10,50
CNP,m0,2000,533.0,0.3980695396264394,0.03191053275753917,0.004004426170204455,3,10,50
CNP,m0,2000,534.0,0.397537179450194,0.030570710671999637,0.004182465321773242,3,10,50
CNP,m0,2000,535.0,0.3955006958643596,0.030701259788766644,0.004125502927437284,3,10,50
CNP,m0,2000,536.0,0.3941801720062892,0.027620881067549136,0.0040442117489604525,3,10,50
CNP,m0,2000,537.0,0.3990460474292437,0.03016420395464053,0.003979589410956032,3,10,50
CNP,m0,2000,538.0,0.3970471774538358,0.031878171525717036,0.004026019408927523,3,10,50
CNP,m0,2000,539.0,0.39517647508780174,0.0313312804000126,0.004016074160764475,3,10,50
CNP,m0,2000,540.0,0.39849053327242534,0.03409829939276865,0.003972404581311932,3,10,50
CNP,m0,2000,541.0,0.3979632590611777,0.030800247721780995,0.0040006780448360426,3,10,50
CNP,m0,2000,542.0,0.3999869674046834,0.029860026967386526,0.003803881494680082,3,10,50
CNP,m0,2000,543.0,0.3973610000411669,0.02936036250660571,0.0038027021686164,3,10,50
CNP,m0,2000,544.0,0.39456848643223447,0.030860932275564412,0.004054724807435114,3,10,50
CNP,m0,2000,545.0,0.3961517467101414,0.030786747364525874,0.0039178108886759894,3,10,50
CNP,m0,2000,546.0,0.3948290473818779,0.03166647916762377,0.004010776148445,3,10,50
CNP,m0,2000,547.0,0.3979620175758998,0.028486445872215854,0.0038828629468788903,3,10,50
CNP,m0,2000,548.0,0.400404742260774,0.03020827829125506,0.0038716934835426784,3,10,50
CNP,m0,2000,549.0,0.3961745702624322,0.03040689832033029,0.0040145224036273975,3,10,50
CNP,m0,2000,550.0,0.3938548051913579,0.033885865081102695,0.004108743167470132,3,10,50
CNP,m0,2000,551.0,0.39777142633994417,0.031108544407380576,0.003999436721302828,3,10,50
CNP,m0,2000,552.0,0.3978385317722956,0.029278833485554982,0.003880459653327232,3,10,50
CNP,m0,2000,553.0,0.39642497559388473,0.034018881977084726,0.0038513414104592654,3,10,50
CNP,m0,2000,554.0,0.399062946955363,0.03267301204832529,0.0038292684238963484,3,10,50
CNP,m0,2000,555.0,0.39713839721679683,0.028126232379824638,0.00392803962072807,3,10,50
CNP,m0,2000,556.0,0.3956035151878993,0.033043115041329875,0.003910462012965966,3,10,50
CNP,m0,2000,557.0,0.39788166455427804,0.025031278187083967,0.0039111193013803315,3,10,50
CNP,m0,2000,558.0,0.3986011641820271,0.03302934737981325,0.00381709469022045,3,10,50
CNP,m0,2000,559.0,0.3989117608865102,0.031153422651586785,0.003855245520479758,3,10,50
CNP,m0,2000,560.0,0.3940872966647148,0.030046962644832514,0.0038518411636505588,3,10,50
CNP,m0,2000,561.0,0.3984384758671125,0.03221977714906078,0.0039013525271633653,3,10,50
CNP,m0,2000,562.0,0.39605424555142726,0.03312380489818874,0.004046974421744108,3,10,50
CNP,m0,2000,563.0,0.3973882423043251,0.033095087734302406,0.0038530311602806805,3,10,50
CNP,m0,2000,564.0,0.3957384166518847,0.028410912977699848,0.003816640845384541,3,10,50
CNP,m0,2000,565.0,0.3953260984420776,0.028646130168403682,0.003916377498144041,3,10,50
CNP,m0,2000,566.0,0.3963069333235423,0.03337216341988047,0.004058330175311911,3,10,50
CNP,m0,2000,567.0,0.3978815308014552,0.02840798767771454,0.003815854970969965,3,10,50
CNP,m0,2000,568.0,0.3964996322790782,0.030339212838621284,0.0038563920362245014,3,10,50
CNP,m0,2000,569.0,0.40056584622462593,0.02872848725273676,0.003809322876354998,3,10,50
CNP,m0,2000,570.0,0.39772730273008355,0.033127206946916614,0.0038612930147276137,3,10,50
CNP,m0,2000,571.0,0.39592312133312224,0.0297519925263165,0.00390804961134794,3,10,50
CNP,m0,2000,572.0,0.39471082838376365,0.03370673433983631,0.003956611126169207,3,10,50
CNP,m0,2000,573.0,0.3990904626846314,0.032415642683575295,0.003797975435105117,3,10,50
CNP,m0,2000,574.0,0.3984294552008311,0.03130443356257754,0.0037974419264311023,3,10,50
CNP,m0,2000,575.0,0.39768506191174197,0.031262501573972847,0.003866644066164198,3,10,50
CNP,m0,2000,576.0,0.3954488512277603,0.03194488764161258,0.003847725002848182,3,10,50
CNP,m0,2000,577.0,0.39561770476897556,0.031366160176338566,0.0038263573623531356,3,10,50
CNP,m0,2000,578.0,0.39920274847745896,0.03085785068154235,0.0036775368182787593,3,10,50
CNP,m0,2000,579.0,0.3988898322780927,0.030384147457781754,0.0037503505416944436,3,10,50
CNP,m0,2000,580.0,0.3981444539229075,0.030967469012611815,0.0039013864774398877,3,10,50
CNP,m0,2000,581.0,0.39935529422760013,0.02964626154065407,0.0038273226760566163,3,10,50
CNP,m0,2000,582.0,0.39784725743532184,0.026899100512368154,0.0037274407591421483,3,10,50
CNP,m0,2000,583.0,0.39771991320451106,0.030404294938401445,0.0038384330989931475,3,10,50
CNP,m0,2000,584.0,0.39627886919180555,0.03453126421531309,0.0038238610353061794,3,10,50
CNP,m0,2000,585.0,0.3978932810624441,0.033250314762538785,0.0038205352191715493,3,10,50
CNP,m0,2000,586.0,0.39882409036159516,0.029896223692217713,0.0037936492000012222,3,10,50
CNP,m0,2000,587.0,0.3972587266763052,0.03128819713947699,0.0038108303488600327,3,10,50
CNP,m0,2000,588.0,0.3972776945034662,0.03044481902327783,0.003767198151322782,3,10,50
CNP,m0,2000,589.0,0.4004280281066894,0.029632146496251677,0.0037286667077739816,3,10,50
CNP,m0,2000,590.0,0.39949516304334004,0.03032696328583167,0.0037111209356862486,3,10,50
CNP,m0,2000,591.0,0.39833272431294126,0.031143101241474194,0.0038162937238768947,3,10,50
CNP,m0,2000,592.0,0.39952746146917345,0.030300139843928774,0.003678277078713087,3,10,50
CNP,m0,2000,593.0,0.40202893584966654,0.031648941898834514,0.003719065484095082,3,10,50
CNP,m0,2000,594.0,0.39672750659783684,0.027863133339448398,0.003802833029354629,3,10,50
CNP,m0,2000,595.0,0.3985522008736928,0.029549674265840414,0.0037826110396236828,3,10,50
CNP,m0,2000,596.0,0.39887114574511845,0.028499417787919576,0.003806472489298475,3,10,50
