method,architecture_id,training_budget,training_seed,context_seed,context_size,region_id,region,valid_bin_count,excluded_bin_count,events_in_valid_bins,mae_percentage_points,rmse_percentage_points
CNP,m0,18866,0,100,500,full,Full 500-3000 keV,442,58,114299,4.773334275049495,6.550354661371979
CNP,m0,18866,0,100,500,DEP,Tl-208 DEP 1592 keV,6,0,1323,6.856362945410672,10.643888062720189
CNP,m0,18866,0,100,500,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,8.976780328865582,12.868034910948142
CNP,m0,18866,0,100,500,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,4.408600206175362,5.176430916992104
CNP,m0,18866,0,100,500,SE,Tl-208 SE 2103 keV,6,0,2023,11.022789692658296,15.485546262476724
CNP,m0,18866,0,100,500,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,4.786483192835429,5.687276321615101
CNP,m0,18866,0,100,500,FE,Tl-208 FE 2614 keV,5,1,8709,3.8161637267326887,4.494001308047918
CNP,m0,18866,0,100,500,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,9.108065821986235,9.848206894421166
CNP,m0,18866,0,101,500,full,Full 500-3000 keV,442,58,114299,4.759199126307816,6.518744055173792
CNP,m0,18866,0,101,500,DEP,Tl-208 DEP 1592 keV,6,0,1323,6.929088480371987,10.740303774415286
CNP,m0,18866,0,101,500,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,9.049375913393796,12.783821975004258
CNP,m0,18866,0,101,500,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,4.33231578849564,5.113905332825299
CNP,m0,18866,0,101,500,SE,Tl-208 SE 2103 keV,6,0,2023,10.774051067097496,15.309642563293885
CNP,m0,18866,0,101,500,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,4.978372884499775,5.882714410675037
CNP,m0,18866,0,101,500,FE,Tl-208 FE 2614 keV,5,1,8709,3.931066143818761,4.593850748246901
CNP,m0,18866,0,101,500,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,9.100964255477404,9.835336709400424
CNP,m0,18866,0,102,500,full,Full 500-3000 keV,442,58,114299,4.764886643794231,6.530186857377627
CNP,m0,18866,0,102,500,DEP,Tl-208 DEP 1592 keV,6,0,1323,6.911908865029197,10.716881574939148
CNP,m0,18866,0,102,500,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,9.032731920334976,12.80370545462223
CNP,m0,18866,0,102,500,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,4.34883040457189,5.127143291168566
CNP,m0,18866,0,102,500,SE,Tl-208 SE 2103 keV,6,0,2023,10.833289660315874,15.351225921732452
CNP,m0,18866,0,102,500,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,4.91974357816928,5.820558070506677
CNP,m0,18866,0,102,500,FE,Tl-208 FE 2614 keV,5,1,8709,3.98212530180012,4.636035817505375
CNP,m0,18866,0,102,500,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,9.01181549630172,9.752552572969382
CNP,m0,18866,0,103,500,full,Full 500-3000 keV,442,58,114299,4.823485172362671,6.652970512971952
CNP,m0,18866,0,103,500,DEP,Tl-208 DEP 1592 keV,6,0,1323,6.628362038153372,10.36594658162879
