method,architecture_id,training_budget,training_seed,context_seed,context_size,provenance,peak_region_mean_mae_percentage_points,continuum_region_mean_mae_percentage_points,sparse_tail_mae_percentage_points,global_brier,equal_region_brier,inference_seconds,peak_memory_mib,run_id
CNP,m0,18866,0,100,500,phase1_full_budget_reuse,7.66802417341681,4.597541699505396,9.108065821986235,0.2330387212968988,0.205741248478697,0.1805369313806295,226.38232421875,20260909-m0-seed0-final-ctx-s100-n500-drop10100-mc50
CNP,m0,18866,0,101,500,phase1_full_budget_reuse,7.670895401170511,4.655344336497707,9.100964255477404,0.2326132781713012,0.2056362864857643,0.1875599888153374,226.38232421875,20260909-m0-seed0-final-ctx-s101-n500-drop10100-mc50
CNP,m0,18866,0,102,500,phase1_full_budget_reuse,7.690013936870042,4.634286991370586,9.01181549630172,0.2328940183809653,0.2056387017452826,0.192784802056849,226.38232421875,20260909-m0-seed0-final-ctx-s102-n500-drop10100-mc50
CNP,m0,18866,0,103,500,phase1_full_budget_reuse,7.62820152268359,4.50922293794072,9.70994302975984,0.2332139398398914,0.2062800162595065,0.1912399069406092,226.38232421875,20260909-m0-seed0-final-ctx-s103-n500-drop10100-mc50
CNP,m0,18866,0,104,500,phase1_full_budget_reuse,7.621248042708953,4.595884715778823,9.339263880697596,0.2327746786193802,0.2058460389985829,0.1927478858269751,226.38232421875,20260909-m0-seed0-final-ctx-s104-n500-drop10100-mc50
CNP,m0,18866,0,105,500,phase1_full_budget_reuse,7.635637714532224,4.513430804514846,9.572663361016172,0.2333649248786845,0.2061837537829776,0.1886501568369567,226.38232421875,20260909-m0-seed0-final-ctx-s105-n500-drop10100-mc50
CNP,m0,18866,0,106,500,phase1_full_budget_reuse,7.627068228963941,4.573546810021134,9.301088221220514,0.2330047139569399,0.2058786396900045,0.1822888310998678,226.38232421875,20260909-m0-seed0-final-ctx-s106-n500-drop10100-mc50
CNP,m0,18866,0,107,500,phase1_full_budget_reuse,7.632277319831019,4.510625913824889,9.632337981297791,0.2332979524381883,0.2062266030646514,0.1821507858112454,226.38232421875,20260909-m0-seed0-final-ctx-s107-n500-drop10100-mc50
CNP,m0,18866,0,108,500,phase1_full_budget_reuse,7.6318912981770115,4.501346901148567,9.718641631263816,0.233279688757606,0.2063078850002103,0.1834859172813594,226.38232421875,20260909-m0-seed0-final-ctx-s108-n500-drop10100-mc50
CNP,m0,18866,0,109,500,phase1_full_budget_reuse,7.665154066304345,4.617561992577248,9.137717767188944,0.2328645830217489,0.2057143833174386,0.1819273405708372,226.38232421875,20260909-m0-seed0-final-ctx-s109-n500-drop10100-mc50-cleanrerun
