method,architecture_id,training_budget,training_seed,context_seed,context_size,feature_id,feature,status,center_event_count,sideband_event_count,empirical_contrast_percentage_points,predicted_contrast_percentage_points,absolute_contrast_error_percentage_points
CNP,m0,18866,0,100,500,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,0.0290713396116304,20.98958599838604
CNP,m0,18866,0,100,500,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.0295890292592693,25.576747362397622
CNP,m0,18866,0,100,500,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,0.0273813843338577,28.500529644729056
CNP,m0,18866,0,100,500,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.483612595007448,-0.4195071732665228,2.064105421740925
CNP,m0,18866,0,101,500,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,0.029346653385176,20.98931068461249
CNP,m0,18866,0,101,500,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.0286974754423963,25.575855808580748
CNP,m0,18866,0,101,500,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,0.0275091286067397,28.500657389001937
CNP,m0,18866,0,101,500,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.483612595007448,-0.412928613963523,2.070683981043925
CNP,m0,18866,0,102,500,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,0.0293428106207138,20.989314527376955
CNP,m0,18866,0,102,500,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.0298336095410078,25.57699194267936
CNP,m0,18866,0,102,500,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,0.0274054929328082,28.50055375332801
CNP,m0,18866,0,102,500,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.483612595007448,-0.4182380865020346,2.065374508505413
CNP,m0,18866,0,103,500,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,0.0289050904764165,20.989752247521253
CNP,m0,18866,0,103,500,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.0283293103723547,25.57548764351071
CNP,m0,18866,0,103,500,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,0.0270105371744433,28.50015879756964
CNP,m0,18866,0,103,500,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.483612595007448,-0.4138164978766206,2.069796097130827
