method,architecture_id,training_budget_nominal_events,training_budget_sampling_eligible_events,context_size,training_seed_count,context_draws_per_training_seed,peak_region_mean_mae_percentage_points_mean_of_seed_means,peak_region_mean_mae_percentage_points_sd_across_seed_means,peak_region_mean_mae_percentage_points_mean_context_sd_within_seed,continuum_region_mean_mae_percentage_points_mean_of_seed_means,continuum_region_mean_mae_percentage_points_sd_across_seed_means,continuum_region_mean_mae_percentage_points_mean_context_sd_within_seed,sparse_tail_mae_percentage_points_mean_of_seed_means,sparse_tail_mae_percentage_points_sd_across_seed_means,sparse_tail_mae_percentage_points_mean_context_sd_within_seed,global_brier_mean_of_seed_means,global_brier_sd_across_seed_means,global_brier_mean_context_sd_within_seed,equal_region_brier_mean_of_seed_means,equal_region_brier_sd_across_seed_means,equal_region_brier_mean_context_sd_within_seed,inference_seconds_mean_of_seed_means,inference_seconds_sd_across_seed_means,inference_seconds_mean_context_sd_within_seed,peak_memory_mib_mean_of_seed_means,peak_memory_mib_sd_across_seed_means,peak_memory_mib_mean_context_sd_within_seed
CNP,m0,18866,18836,500,3,10,7.993373282596418,0.34858852760049286,0.04402085601841801,4.585335300822202,0.022054854431297836,0.07128329878996181,8.438205797362627,1.0585975618283214,0.22609468535392474,0.23312316145635728,0.0018837501489878303,0.0002487184714901248,0.20605359005165194,0.0007766900698472732,0.0001944738993040783,0.1841143568356832,0.0019964217220627906,0.0025747155451284636,226.38232421875,0.0,0.0
Attentive CNP,m1,18866,18836,500,3,10,8.245080586830714,0.32120731487428617,0.024884808080106628,5.533277345664222,0.6987334735613197,0.03991856778854105,7.814261165136831,1.0281846327893827,0.06058236571243684,0.2323377589596889,0.0014005177037734865,2.7488201012427005e-05,0.20657044259234958,0.0006966803792216705,4.128119965839043e-05,0.2752210940079142,0.0011000156773018624,0.003379012066219104,821.62744140625,0.0,0.0
Attentive CNP + PE,m2,18866,18836,500,3,10,5.996050425376527,1.0779570013491184,0.46801772321862695,7.379996005228072,0.8645093062068547,0.7542098683413784,23.24683771189753,1.2117130574874035,0.9447038785876455,0.2292065755313943,0.0007934368746716149,0.0006688815390299996,0.20205991102659301,0.0010888717976852936,0.0002984442936462008,0.33156008437896767,0.000351979689216249,0.0018556262372533766,821.63671875,0.0,0.0
Density-guided CNP (ours),ours,18866,18836,500,3,10,3.5565860653454764,0.33220474658131,0.16412399099417035,4.072397312596024,0.10909678675255599,0.05198663754531221,14.701375968868163,1.9581971578712023,5.284722472697046,0.22367321218326178,0.00021087328384776957,7.333239035586814e-05,0.1913782978425318,0.0007315488440343187,0.0025217119686534446,10.32727372155835,0.004400381497578015,0.005960080226518421,6726.35791015625,0.0,0.0
CNP,m0,2000,1895,500,3,10,8.109126024495103,0.32920193216282445,0.11806647183050901,4.4733260124240575,0.5643460906076011,0.17306378605829387,7.443811547449475,0.3631726102941474,0.35547173265790244,0.2315126225153533,0.001584195697948732,0.00012762321426808626,0.20684305407638648,0.002061749831793554,0.00014431707586088445,0.18711145035922527,0.0011528948428710202,0.0012674615307136797,226.38232421875,0.0,0.0
Attentive CNP,m1,2000,1895,500,3,10,8.037016492918134,0.11655546652628981,0.042309683102678596,4.831805567386907,0.8555382722213347,0.03173753137493653,10.436477270907934,0.5634186426354798,0.17482059763142213,0.23184116169714863,0.0009253416148491242,7.69429922606707e-05,0.20817126127732977,0.00040867644322410256,0.00011636946534169704,0.27560261146475873,0.00018285819909426038,0.0010212283544973751,821.62744140625,0.0,0.0
Attentive CNP + PE,m2,2000,1895,500,3,10,13.770704676856809,2.617123022846665,0.35931196385998837,16.648505574080904,0.40159202488865453,0.36153223057281686,30.884519884442636,6.752684740896847,1.7200863074350063,0.28417787831660163,0.00173618459020401,0.0014057174260108396,0.2675857705035441,0.008908246213957432,0.0024843986680403844,0.33583795504334074,0.0027660475979885937,0.005044430052530718,821.63671875,0.0,0.0
Density-guided CNP (ours),ours,2000,1895,500,3,10,9.40195262155006,1.5881774108908722,0.494547211667477,12.888382595130716,1.0536834914106123,0.18904261821265425,10.796277517438092,2.4149127434513065,7.903029667932317,0.24438289337342264,0.0033097968266799357,0.00034426072281760274,0.20769325958766507,0.002891155414993175,0.004551070970484919,1.5830658445755639,0.0030319455378918655,0.004465792484412017,3922.55908203125,0.0,0.0
CNP,m0,5000,4984,500,3,10,7.535666979336823,0.09191182134321121,0.14166220977213842,5.208057328239026,0.4870396141585724,0.1640692331379016,8.827140945965242,1.476352673629253,0.2696224056591973,0.23149333528724267,0.0015305476008679899,0.00017376031605453044,0.20572551963646876,0.0012639840893071365,0.00013839584016140348,0.1848646644037217,0.00459854169655461,0.0028994981122860883,226.38232421875,0.0,0.0
Attentive CNP,m1,5000,4984,500,3,10,7.730786305268238,0.8166502207687502,0.03213972733696438,5.941305959289227,0.6761622068180129,0.023243532786910024,11.907508800396352,3.4427042906258185,0.11818288960424513,0.23142450891758345,0.002263387381527568,5.091310802605515e-05,0.20737997969091695,0.002524758810659153,5.8317433733556935e-05,0.2805616204161197,0.0011746998743904678,0.0033737436561935012,821.62744140625,0.0,0.0
