training_budget,sampling_eligible_unique_events,architecture,method,training_seed,steps,parameter_count,final_training_loss,wall_seconds,status,warning_count,density_pool_unique_events,checkpoint_sha256,run_id
2000,1895,m0,CNP,0,3000,116482,0.44782987236976624,58.007197526749223,completed,0,2000,702d905c7593835942182d8982c2447e327c922bf53335acfc228b26b3a8a2f4,20260909-phase2-b2000-m0-seed0-train3000
2000,1895,m0,CNP,1,3000,116482,0.44267356395721436,59.036994609050453,completed,0,2000,848536efcd52273d5daa79a35d681bbfce10a53b5fe5620cf6bb68c2ba49bce1,20260909-phase2-b2000-m0-seed1-train3000
2000,1895,m0,CNP,2,3000,116482,0.49160358309745789,58.126677841879427,completed,0,2000,33c7b0550737ae0ed197d110e3aed76289639621ec02960a68c80f6db23684d2,20260909-phase2-b2000-m0-seed2-train3000
2000,1895,m1,Attentive CNP,0,3000,149250,0.44746553897857666,59.101870501413941,completed,0,2000,db27e380511b68108e74cfe198d4c94e53e138f56bfad71210b54fdee3a368e8,20260909-phase2-b2000-m1-seed0-train3000
2000,1895,m1,Attentive CNP,1,3000,149250,0.44304719567298889,60.073888870887458,completed,0,2000,e3c5cc7662c2d992f798d015d0d444f0484764fb06cda15c5d872bd46fb6137a,20260909-phase2-b2000-m1-seed1-train3000
2000,1895,m1,Attentive CNP,2,3000,149250,0.49107402563095093,61.292281301226467,completed,0,2000,1cdd074bc286002b0479bec04e9c5bb43cb2f056a65eb4e25817b5cb04f1b18c,20260909-phase2-b2000-m1-seed2-train3000
2000,1895,m2,Attentive CNP + PE,0,3000,151682,0.22351056337356567,75.999105010181665,completed,0,2000,26332a1c1663785b9a81679fa7e3cd0ec821714604f0887b9317ad7b275d2119,20260909-phase2-b2000-m2-seed0-train3000
2000,1895,m2,Attentive CNP + PE,1,3000,151682,0.22521305084228516,74.064596415031701,completed,0,2000,96f52fdcbe3df107d4ce7d737039707de2641814771ae96f96122136080f802a,20260909-phase2-b2000-m2-seed1-train3000
2000,1895,m2,Attentive CNP + PE,2,3000,151682,0.22924257814884186,75.024245937820524,completed,0,2000,ca8edc9b83985c6be2948fe33b68e48c4e01ab93ea9a41714f060f0408774209,20260909-phase2-b2000-m2-seed2-train3000
2000,1895,ours,Density-guided CNP (ours),0,3000,130693,0.41381102800369263,81.171310029923916,completed,0,2000,b6847cc3b63612a655f515831dbb65a912630099abb1c16ae4d7125dc8cb2417,20260909-phase2-b2000-ours-seed0-train3000-attempt2
2000,1895,ours,Density-guided CNP (ours),1,3000,130693,0.40230646729469299,80.645890241023153,completed,0,2000,7f9d5f3a28e957d9a4366517910943f201979d49591fcd1b085ffe6b01e1efe0,20260909-phase2-b2000-ours-seed1-train3000
2000,1895,ours,Density-guided CNP (ours),2,3000,130693,0.45556005835533142,80.654284677933902,completed,0,2000,6e3cc4b8176865428ac00d6aba9d85f67fa210da7c278d2a8dcfef6feada8c37,20260909-phase2-b2000-ours-seed2-train3000
5000,4984,m0,CNP,0,3000,116482,0.45237943530082703,70.455601217225194,completed,0,5000,7642d3cfe823c2c150aeab4bf9a9ab48c257c1bd1bb2218f4fdb211bb375727c,20260909-phase2-b5000-m0-seed0-train3000
5000,4984,m0,CNP,1,3000,116482,0.42794954776763916,68.038695557974279,completed,0,5000,31b0d1124be0e6e45d02166d1f7dff1dbdb1a364a0055a1a22292ec723d53b17,20260909-phase2-b5000-m0-seed1-train3000
5000,4984,m0,CNP,2,3000,116482,0.48829299211502075,68.568130122963339,completed,0,5000,5f7bb4558ccc959f5f087799cac9bbd7aa8fb7dabea4a53da335600833d3b323,20260909-phase2-b5000-m0-seed2-train3000
5000,4984,m1,Attentive CNP,0,3000,149250,0.45163950324058533,71.369065844919533,completed,0,5000,d8b991231961530871ece4b9c33c13d5150bbc8da547c0e3b69a0bac740fdbbd,20260909-phase2-b5000-m1-seed0-train3000
5000,4984,m1,Attentive CNP,1,3000,149250,0.42859447002410889,70.127834144979715,completed,0,5000,838720887f984944a13d368097dc15257558aeaa71f4235fda2bc9a02c512c34,20260909-phase2-b5000-m1-seed1-train3000
5000,4984,m1,Attentive CNP,2,3000,149250,0.48924368619918823,70.722046752925962,completed,0,5000,07414074d0ec7493df92bcaf5436191283b529cd1c1b42ef78d4b1ce3a8c3125,20260909-phase2-b5000-m1-seed2-train3000
5000,4984,m2,Attentive CNP + PE,0,3000,151682,0.33371710777282715,86.808766439557076,completed,0,5000,c050b302fdaec11e88e1f868b3547b783229dcddda1c8353b15607403145d44a,20260909-phase2-b5000-m2-seed0-train3000
5000,4984,m2,Attentive CNP + PE,1,3000,151682,0.32541903853416443,87.725509013049304,completed,0,5000,4073b74be2f07ee70b5321992b6e8db73a384cf6ec058ea0bd4f448cc564710d,20260909-phase2-b5000-m2-seed1-train3000
5000,4984,m2,Attentive CNP + PE,2,3000,151682,0.37071850895881653,84.065785005688667,completed,0,5000,cecf97be6b316cbbf58a9e1782a57f760ffe83646bf720809eb14d9f333ac30a,20260909-phase2-b5000-m2-seed2-train3000
5000,4984,ours,Density-guided CNP (ours),0,3000,130693,0.4470706582069397,97.258099236991256,completed,0,5000,7dddb8ef16eea4c1b34d514effa1ea74bb14f2b82437d62a1dae5a4f17e44005,20260909-phase2-b5000-ours-seed0-train3000
5000,4984,ours,Density-guided CNP (ours),1,3000,130693,0.42646074295043945,96.608580264728516,completed,0,5000,083bed45923670adf5b9a99ca749d064150f66aead9bc38ae6cc8a6434d7310f,20260909-phase2-b5000-ours-seed1-train3000
