subset_id,ordering_id,nominal_events,sampling_eligible_events,method,architecture_id,peak_mae_percentage_points,peak_initialization_sd,peak_context_sd,peak_between_subset_sd,peak_delta_vs_full_same_method_percentage_points,continuum_mae_percentage_points,continuum_initialization_sd,continuum_context_sd,continuum_between_subset_sd,continuum_delta_vs_full_same_method_percentage_points,sparse_tail_mae_percentage_points
original_n5000,original,5000,4984,CNP,m0,7.535666979336823,0.09191182134321121,0.14166220977213842,0.5462546858251786,-0.45770630325959516,5.208057328239026,0.4870396141585724,0.1640692331379016,0.5195185476840642,0.6227220274168239,8.827140945965242
original_n5000,original,5000,4984,Attentive CNP,m1,7.730786305268238,0.8166502207687502,0.03213972733696433,0.24414617630481344,-0.5142942815624751,5.941305959289227,0.6761622068180129,0.023243532786910024,0.6321128503604143,0.40802861362500487,11.907508800396352
original_n5000,original,5000,4984,Attentive CNP + PE,m2,11.392841181746343,0.15397838928678997,0.2568265959271819,1.0523125245485252,5.396790756369816,11.959429429889658,1.0619701454061847,0.21517355806679192,0.4418319554699234,4.579433424661586,30.04886389868118
original_n5000,original,5000,4984,Density-guided CNP (ours),ours,5.2889929450114685,0.312248274212574,0.2616242167133213,0.11104117502641768,1.7324068796659922,3.963207173239122,0.36903658933438654,0.03330673798305377,0.3448629742852097,-0.10919013935690236,19.388904935281804
seed20260910_n5000,seed20260910,5000,4981,CNP,m0,8.549429821371087,1.08050429239651,0.12302611760869893,0.5462546858251786,0.5560565387746683,5.62103044093081,0.7855304034569031,0.08825336822148783,0.5195185476840642,1.0356951401086079,15.733949467802413
seed20260910_n5000,seed20260910,5000,4981,Attentive CNP,m1,8.066829180044158,0.2384442782451078,0.051371300611194236,0.24414617630481344,-0.17825140678655593,6.426124498964353,0.4779802994772082,0.020772997725295065,0.6321128503604143,0.8928471533001314,17.802357611353518
seed20260910_n5000,seed20260910,5000,4981,Attentive CNP + PE,m2,9.821218158401452,0.373987812519283,0.17940348364745987,1.0523125245485252,3.8251677330249247,11.12940978432473,0.8953128343534907,0.2743564195788903,0.4418319554699234,3.749413779096658,31.11625630958058
seed20260910_n5000,seed20260910,5000,4981,Density-guided CNP (ours),ours,5.113456640516605,0.2689812730622384,0.21732386560375197,0.11104117502641768,1.556870575171129,4.55585202395216,0.20697472400668346,0.03512230079719982,0.3448629742852097,0.4834547113561358,18.956622234291334
seed20260911_n5000,seed20260911,5000,4980,CNP,m0,8.395246884105804,1.2827477170746513,0.10316977982057997,0.5462546858251786,0.40187360150938556,4.588839052148701,0.5513649548997387,0.09515559987814882,0.5195185476840642,0.0035037513264981612,13.440244481471026
seed20260911_n5000,seed20260911,5000,4980,Attentive CNP,m1,8.205611354021897,0.6732177596929156,0.02199599095450742,0.24414617630481344,-0.0394692328088162,5.172570726860788,0.5787152324877924,0.021273297911241634,0.6321128503604143,-0.3607066188034338,13.968437137769506
seed20260911_n5000,seed20260911,5000,4980,Attentive CNP + PE,m2,11.819294390477106,2.133870083295779,0.482707655253296,1.0523125245485252,5.823243965100579,11.281842053600935,1.1997184723982448,0.39124651861766563,0.4418319554699234,3.901846048372862,34.57037723644107
seed20260911_n5000,seed20260911,5000,4980,Density-guided CNP (ours),ours,5.319041098965503,0.42172892892646446,0.4773307706735805,0.11104117502641768,1.7624550336200264,3.953963772968798,0.2384265690489615,0.04516175797605174,0.3448629742852097,-0.11843353962722603,21.116314042751682
