subset_id,training_budget_nominal_events,method,architecture_id,training_seed,context_seed,region_id,valid_bin_count,excluded_bin_count,events_in_valid_bins,mae_percentage_points,rmse_percentage_points
seed20260910_n5000,5000,CNP,m0,0,100,full,442,58,114299,6.475678444205586,8.95667184038195
seed20260910_n5000,5000,CNP,m0,0,100,DEP,6,0,1323,6.4764924062477025,10.052796327479484
seed20260910_n5000,5000,CNP,m0,0,100,feature_1620kev,6,0,1361,9.050050448208285,13.606812236883462
seed20260910_n5000,5000,CNP,m0,0,100,continuum_1700_2000,60,0,8230,5.496084249068877,6.428155352268801
seed20260910_n5000,5000,CNP,m0,0,100,SE,6,0,2023,13.399483735568626,17.267729881641642
seed20260910_n5000,5000,CNP,m0,0,100,continuum_2200_2400,40,0,9093,4.278676587862046,5.039846857377785
seed20260910_n5000,5000,CNP,m0,0,100,FE,5,1,8709,9.721958825008906,9.990456269180696
seed20260910_n5000,5000,CNP,m0,0,100,sparse_tail,13,47,68,16.930079858625334,17.619954593896328
seed20260910_n5000,5000,CNP,m0,0,101,full,442,58,114299,6.383692292751072,8.844596395018666
seed20260910_n5000,5000,CNP,m0,0,101,DEP,6,0,1323,6.476194258894717,10.08693086105735
seed20260910_n5000,5000,CNP,m0,0,101,feature_1620kev,6,0,1361,9.01293590053645,13.55256876923257
seed20260910_n5000,5000,CNP,m0,0,101,continuum_1700_2000,60,0,8230,5.4285610922048155,6.35155414073611
seed20260910_n5000,5000,CNP,m0,0,101,SE,6,0,2023,13.234043058081832,17.140162362538618
seed20260910_n5000,5000,CNP,m0,0,101,continuum_2200_2400,40,0,9093,4.417146524583072,5.178854205809377
seed20260910_n5000,5000,CNP,m0,0,101,FE,5,1,8709,9.42689578108104,9.703732999629608
seed20260910_n5000,5000,CNP,m0,0,101,sparse_tail,13,47,68,16.801334659649648,17.48371084934795
seed20260910_n5000,5000,CNP,m0,0,102,full,442,58,114299,6.430961057244092,8.899312881288253
seed20260910_n5000,5000,CNP,m0,0,102,DEP,6,0,1323,6.476567927349652,10.078912474082538
seed20260910_n5000,5000,CNP,m0,0,102,feature_1620kev,6,0,1361,9.021286811911274,13.564839577739937
seed20260910_n5000,5000,CNP,m0,0,102,continuum_1700_2000,60,0,8230,5.445312953923396,6.371027173522137
seed20260910_n5000,5000,CNP,m0,0,102,SE,6,0,2023,13.300419518848047,17.19102188231056
seed20260910_n5000,5000,CNP,m0,0,102,continuum_2200_2400,40,0,9093,4.3472248973554475,5.107024032799714
seed20260910_n5000,5000,CNP,m0,0,102,FE,5,1,8709,9.563524418824212,9.836326998986832
seed20260910_n5000,5000,CNP,m0,0,102,sparse_tail,13,47,68,16.81377521827092,17.498620052092758
seed20260910_n5000,5000,CNP,m0,0,103,full,442,58,114299,6.526822436006325,9.036065991663339
seed20260910_n5000,5000,CNP,m0,0,103,DEP,6,0,1323,6.474848756198239,9.978858562470094
seed20260910_n5000,5000,CNP,m0,0,103,feature_1620kev,6,0,1361,9.135989128973147,13.73492056593576
seed20260910_n5000,5000,CNP,m0,0,103,continuum_1700_2000,60,0,8230,5.644881356829556,6.594970190623027
seed20260910_n5000,5000,CNP,m0,0,103,SE,6,0,2023,13.599614565847013,17.424203694701678
seed20260910_n5000,5000,CNP,m0,0,103,continuum_2200_2400,40,0,9093,4.200268445383874,4.968545705624079
seed20260910_n5000,5000,CNP,m0,0,103,FE,5,1,8709,9.975452814774574,10.238307803025833
seed20260910_n5000,5000,CNP,m0,0,103,sparse_tail,13,47,68,17.343914149447613,18.047068955241635
seed20260910_n5000,5000,CNP,m0,0,104,full,442,58,114299,6.377861975872776,8.842754093179234
seed20260910_n5000,5000,CNP,m0,0,104,DEP,6,0,1323,6.4755331635232745,10.074391936120952
seed20260910_n5000,5000,CNP,m0,0,104,feature_1620kev,6,0,1361,9.026718826272608,13.572500630016018
seed20260910_n5000,5000,CNP,m0,0,104,continuum_1700_2000,60,0,8230,5.4509584595663005,6.375790211865652
seed20260910_n5000,5000,CNP,m0,0,104,SE,6,0,2023,13.246545139632499,17.150127701175883
seed20260910_n5000,5000,CNP,m0,0,104,continuum_2200_2400,40,0,9093,4.429581378708673,5.192662712873926
seed20260910_n5000,5000,CNP,m0,0,104,FE,5,1,8709,9.445114986177702,9.721878214712646
seed20260910_n5000,5000,CNP,m0,0,104,sparse_tail,13,47,68,16.90968282377712,17.59464248375684
seed20260910_n5000,5000,CNP,m0,0,105,full,442,58,114299,6.518943960891329,9.023614445689763
seed20260910_n5000,5000,CNP,m0,0,105,DEP,6,0,1323,6.475419333595165,10.000757516668205
seed20260910_n5000,5000,CNP,m0,0,105,feature_1620kev,6,0,1361,9.109834215575301,13.695529778404433
seed20260910_n5000,5000,CNP,m0,0,105,continuum_1700_2000,60,0,8230,5.5979988688544715,6.543606711926277
seed20260910_n5000,5000,CNP,m0,0,105,SE,6,0,2023,13.542485452476555,17.379375737643375
seed20260910_n5000,5000,CNP,m0,0,105,continuum_2200_2400,40,0,9093,4.21702068077235,4.982867805296882
seed20260910_n5000,5000,CNP,m0,0,105,FE,5,1,8709,9.944691519435867,10.208147659513864
seed20260910_n5000,5000,CNP,m0,0,105,sparse_tail,13,47,68,17.263826700998134,17.96411429840359
seed20260910_n5000,5000,CNP,m0,0,106,full,442,58,114299,6.4656573883726685,8.950018019468915
seed20260910_n5000,5000,CNP,m0,0,106,DEP,6,0,1323,6.475743977974591,10.039028464645925
seed20260910_n5000,5000,CNP,m0,0,106,feature_1620kev,6,0,1361,9.06572901251355,13.629661310731562
seed20260910_n5000,5000,CNP,m0,0,106,continuum_1700_2000,60,0,8230,5.521218643882478,6.455862588868758
seed20260910_n5000,5000,CNP,m0,0,106,SE,6,0,2023,13.413902357171825,17.279281466566594
seed20260910_n5000,5000,CNP,m0,0,106,continuum_2200_2400,40,0,9093,4.2928702246207,5.054957999221733
seed20260910_n5000,5000,CNP,m0,0,106,FE,5,1,8709,9.72347116202251,9.992338005731044
seed20260910_n5000,5000,CNP,m0,0,106,sparse_tail,13,47,68,17.026486505898593,17.718020535191332
seed20260910_n5000,5000,CNP,m0,0,107,full,442,58,114299,6.53221634670661,9.041540948073504
seed20260910_n5000,5000,CNP,m0,0,107,DEP,6,0,1323,6.475179307451458,9.985934742699424
seed20260910_n5000,5000,CNP,m0,0,107,feature_1620kev,6,0,1361,9.127394654066677,13.721953321846017
seed20260910_n5000,5000,CNP,m0,0,107,continuum_1700_2000,60,0,8230,5.629915527323675,6.578691243597117
seed20260910_n5000,5000,CNP,m0,0,107,SE,6,0,2023,13.588791129832254,17.415591198451637
seed20260910_n5000,5000,CNP,m0,0,107,continuum_2200_2400,40,0,9093,4.194822362666368,4.9626111217472
seed20260910_n5000,5000,CNP,m0,0,107,FE,5,1,8709,9.991115742066583,10.253460657701398
seed20260910_n5000,5000,CNP,m0,0,107,sparse_tail,13,47,68,17.32242582134302,18.024949170024207
seed20260910_n5000,5000,CNP,m0,0,108,full,442,58,114299,6.586389279125836,9.109988973219009
seed20260910_n5000,5000,CNP,m0,0,108,DEP,6,0,1323,6.4748105936721085,9.95289489446582
seed20260910_n5000,5000,CNP,m0,0,108,feature_1620kev,6,0,1361,9.167488012110567,13.783134446503134
seed20260910_n5000,5000,CNP,m0,0,108,continuum_1700_2000,60,0,8230,5.704863386389595,6.661772217191674
seed20260910_n5000,5000,CNP,m0,0,108,SE,6,0,2023,13.716999413370834,17.515819782957298
seed20260910_n5000,5000,CNP,m0,0,108,continuum_2200_2400,40,0,9093,4.113931399366703,4.888883612682665
seed20260910_n5000,5000,CNP,m0,0,108,FE,5,1,8709,10.168405553261591,10.42645857721589
