budget_label,training_budget_nominal_events,sampling_eligible_unique_events,subset_id,method,architecture_id,peak_mae_percentage_points,peak_training_seed_sd,peak_context_sd,peak_delta_vs_full_same_method_percentage_points,continuum_mae_percentage_points,continuum_training_seed_sd,continuum_context_sd,continuum_delta_vs_full_same_method_percentage_points,sparse_tail_mae_percentage_points,global_brier
2k,2000,1895,original_n2000,CNP,m0,8.109126024495103,0.32920193216282445,0.11806647183050901,0.11575274189868434,4.4733260124240575,0.5643460906076011,0.17306378605829387,-0.11200928839814495,7.443811547449475,0.23151262251535323
2k,2000,1895,original_n2000,Attentive CNP,m1,8.037016492918134,0.11655546652628981,0.042309683102678596,-0.2080640939125793,4.831805567386907,0.8555382722213345,0.03173753137493654,-0.7014717782773143,10.436477270907934,0.2318411616971486
2k,2000,1895,original_n2000,Attentive CNP + PE,m2,13.770704676856809,2.617123022846665,0.3593119638599884,7.774654251480282,16.648505574080904,0.40159202488865453,0.36153223057281686,9.268509568852831,30.884519884442636,0.28417787831660163
2k,2000,1895,original_n2000,Density-guided CNP (ours),ours,9.40195262155006,1.5881774108908722,0.49454721166747717,5.845366556204585,12.888382595130716,1.0536834914106123,0.18904261821265436,8.815985282534692,10.796277517438092,0.2443828933734226
5k,5000,4984,original_n5000,CNP,m0,7.535666979336823,0.09191182134321121,0.14166220977213842,-0.45770630325959516,5.208057328239026,0.4870396141585724,0.1640692331379016,0.6227220274168239,8.827140945965242,0.23149333528724267
5k,5000,4984,original_n5000,Attentive CNP,m1,7.730786305268238,0.8166502207687502,0.03213972733696433,-0.5142942815624751,5.941305959289227,0.6761622068180129,0.023243532786910024,0.40802861362500487,11.907508800396352,0.23142450891758345
5k,5000,4984,original_n5000,Attentive CNP + PE,m2,11.392841181746343,0.15397838928678997,0.2568265959271819,5.396790756369816,11.959429429889658,1.0619701454061847,0.21517355806679192,4.579433424661586,30.04886389868118,0.25418523323084413
5k,5000,4984,original_n5000,Density-guided CNP (ours),ours,5.2889929450114685,0.312248274212574,0.2616242167133213,1.7324068796659922,3.963207173239122,0.36903658933438654,0.03330673798305377,-0.10919013935690236,19.388904935281804,0.22496544072772404
10k,10000,9980,original_n10000,CNP,m0,8.141654410997068,0.795214361723675,0.06381294033206204,0.14828112840065,4.91481125353359,0.19472349615071624,0.12336594968242044,0.3294759527113875,6.685962043266303,0.23215200182459073
10k,10000,9980,original_n10000,Attentive CNP,m1,8.145188231726292,0.1968764288247194,0.035420468308765246,-0.09989235510442107,5.209180656048052,0.4592699201881444,0.03577506833157141,-0.32409668961616944,7.743678862170829,0.23179280553210155
10k,10000,9980,original_n10000,Attentive CNP + PE,m2,7.063545943909214,1.0225115842328436,0.3842332167966815,1.067495518532687,9.117268330571028,0.6320209161724374,0.48369173796003034,1.7372723253429552,26.65385664792028,0.23711625221238486
10k,10000,9980,original_n10000,Density-guided CNP (ours),ours,5.837202066231736,0.462048325732129,0.4067453284807998,2.2806160008862597,4.012926941604994,0.30396635464251137,0.06163925889080372,-0.05947037099103003,8.526621265598893,0.22454908259791417
18.9k,18866,18836,full_n18866,CNP,m0,7.993373282596418,0.34858852760049286,0.04402085601841801,0.0,4.585335300822202,0.022054854431297836,0.07128329878996181,0.0,8.438205797362627,0.23312316145635728
18.9k,18866,18836,full_n18866,Attentive CNP,m1,8.245080586830714,0.32120731487428617,0.024884808080106628,0.0,5.533277345664222,0.6987334735613197,0.03991856778854105,0.0,7.814261165136831,0.2323377589596889
18.9k,18866,18836,full_n18866,Attentive CNP + PE,m2,5.996050425376527,1.0779570013491184,0.46801772321862695,0.0,7.379996005228072,0.8645093062068547,0.7542098683413784,0.0,23.24683771189753,0.2292065755313943
18.9k,18866,18836,full_n18866,Density-guided CNP (ours),ours,3.5565860653454764,0.33220474658131,0.16412399099417035,0.0,4.072397312596024,0.10909678675255599,0.05198663754531221,0.0,14.701375968868163,0.22367321218326178
