subset_id,ordering_seed,training_budget,region,nominal_events,sampling_eligible_events,region_definition_kev,target_region_removed
original_n10000,,10000,DEP,112,112,"[1577.0, 1606.0)",False
original_n10000,,10000,"1,620.74-keV feature",97,97,"[1606.0, 1635.0)",False
original_n10000,,10000,continuum 1700-2000 keV,709,709,"[1700.0, 2000.0)",False
original_n10000,,10000,SE,166,166,"[2088.0, 2118.0)",False
original_n10000,,10000,continuum 2200-2400 keV,780,780,"[2200.0, 2400.0)",False
original_n10000,,10000,FE,724,724,"[2599.0, 2629.0)",False
original_n10000,,10000,sparse tail,10,0,"[2700.0, 3000.0)",False
seed20260910_n5000,20260910,5000,DEP,56,56,"[1577.0, 1606.0)",False
seed20260910_n5000,20260910,5000,"1,620.74-keV feature",41,41,"[1606.0, 1635.0)",False
seed20260910_n5000,20260910,5000,continuum 1700-2000 keV,351,351,"[1700.0, 2000.0)",False
seed20260910_n5000,20260910,5000,SE,74,74,"[2088.0, 2118.0)",False
seed20260910_n5000,20260910,5000,continuum 2200-2400 keV,403,403,"[2200.0, 2400.0)",False
seed20260910_n5000,20260910,5000,FE,386,385,"[2599.0, 2629.0)",False
seed20260910_n5000,20260910,5000,sparse tail,8,0,"[2700.0, 3000.0)",False
seed20260911_n5000,20260911,5000,DEP,62,62,"[1577.0, 1606.0)",False
seed20260911_n5000,20260911,5000,"1,620.74-keV feature",43,43,"[1606.0, 1635.0)",False
seed20260911_n5000,20260911,5000,continuum 1700-2000 keV,385,385,"[1700.0, 2000.0)",False
seed20260911_n5000,20260911,5000,SE,84,84,"[2088.0, 2118.0)",False
seed20260911_n5000,20260911,5000,continuum 2200-2400 keV,369,369,"[2200.0, 2400.0)",False
seed20260911_n5000,20260911,5000,FE,383,383,"[2599.0, 2629.0)",False
seed20260911_n5000,20260911,5000,sparse tail,4,0,"[2700.0, 3000.0)",False
